neuron_id,working_mean_shift,working_p,working_n,heldout_mean_shift,heldout_p,heldout_n,replicates
L30_N5509,0.0016809599917559396,0.6237267241004032,84,0.003764866954750485,0.7859226790606044,36,False
L29_N9228,-0.0016095025376195,0.7179185826134389,84,0.0017690592341952855,0.7978891460807063,36,False
L26_N11322,0.0044052864291838235,0.9750953337837938,84,0.003857472704516517,0.560126525873784,36,False
L29_N10092,0.0012253571656488237,0.005691200162156554,84,0.001633383333683014,0.181412478297716,36,False
L30_N7102,0.0015576140334208806,1.0,84,-0.0003421877821286519,0.7268787069479004,36,False
L24_N7891,0.002843108649055163,0.5681003222932781,84,0.0023683499958780077,0.4696585594501812,36,False
L30_N13513,-0.00030382900010971793,0.4731635831901846,84,0.000528168347146776,0.5812918253068347,36,False
L30_N6621,0.0006120065670637857,0.8444299939583013,84,0.0061434706052144366,0.46011761703994125,36,False
L30_N3533,-0.0012971743763912293,0.018758155285694904,84,0.00241191436847051,0.05531932313789742,36,False
L29_N11308,0.009135450724334944,0.09891889325446203,84,0.008755874302652147,0.5290791585575789,36,False
L29_N10191,0.0011517733690284547,0.3700310432870314,84,-0.007342508269680871,0.00014762088540010154,36,False
L31_N2477,-0.003623414695972488,0.30501002644045894,84,-0.0014831225077311199,0.7978891460807063,36,False
L29_N8568,0.0038064938215982345,0.834568112766981,84,0.0001383241679933336,0.12272018878138624,36,False
L26_N2788,0.0020632028047527584,0.09801026311975636,84,-0.0011797762579388088,0.13477486031479202,36,False
L23_N12156,0.004554504351246925,0.018758155285694904,84,0.0011667807896931965,0.7036759513430297,36,False
