neuron_id,layer,neuron_idx,category,prompt_id,orig_entropy,ablated_entropy,entropy_shift,orig_top1_prob,ablated_top1_prob,split
L30_N5509,30,5509,ambiguity,amb_0000,0.84765625,0.84765625,0.0,0.48828125,0.48828125,working
L30_N5509,30,5509,ambiguity,amb_0001,1.2421875,1.2265625,-0.015625,0.6640625,0.66796875,working
L30_N5509,30,5509,ambiguity,amb_0002,0.83203125,0.83203125,0.0,0.78515625,0.78515625,working
L30_N5509,30,5509,ambiguity,amb_0003,0.8125,0.80078125,-0.01171875,0.75,0.75390625,working
L30_N5509,30,5509,ambiguity,amb_0004,0.056640625,0.056640625,0.0,0.9921875,0.9921875,working
L30_N5509,30,5509,ambiguity,amb_0005,0.47265625,0.47265625,0.0,0.89453125,0.89453125,working
L30_N5509,30,5509,ambiguity,amb_0006,0.609375,0.60546875,-0.00390625,0.859375,0.859375,working
L30_N5509,30,5509,ambiguity,amb_0007,0.94140625,0.94140625,0.0,0.7578125,0.7578125,working
L30_N5509,30,5509,ambiguity,amb_0008,2.3125,2.328125,0.015625,0.447265625,0.4453125,working
L30_N5509,30,5509,ambiguity,amb_0009,0.44921875,0.44921875,0.0,0.91796875,0.91796875,working
L30_N5509,30,5509,ambiguity,amb_0010,0.05615234375,0.048583984375,-0.007568359375,0.9921875,0.99609375,working
L30_N5509,30,5509,ambiguity,amb_0011,1.703125,1.703125,0.0,0.41796875,0.3984375,working
L30_N5509,30,5509,ambiguity,amb_0012,0.1572265625,0.1591796875,0.001953125,0.9765625,0.9765625,working
L30_N5509,30,5509,ambiguity,amb_0013,0.271484375,0.271484375,0.0,0.94140625,0.94140625,working
L30_N5509,30,5509,ambiguity,amb_0014,0.72265625,0.72265625,0.0,0.71484375,0.71484375,working
L30_N5509,30,5509,ambiguity,amb_0015,0.25390625,0.2470703125,-0.0068359375,0.9609375,0.9609375,working
L30_N5509,30,5509,ambiguity,amb_0016,1.6953125,1.703125,0.0078125,0.4296875,0.42578125,working
L30_N5509,30,5509,ambiguity,amb_0017,1.3515625,1.3515625,0.0,0.5703125,0.5703125,working
L30_N5509,30,5509,ambiguity,amb_0018,1.4453125,1.4375,-0.0078125,0.42578125,0.42578125,working
L30_N5509,30,5509,ambiguity,amb_0019,1.2421875,1.25,0.0078125,0.53515625,0.53515625,working
L30_N5509,30,5509,ambiguity,amb_0020,1.3515625,1.3515625,0.0,0.59765625,0.59765625,working
L30_N5509,30,5509,ambiguity,amb_0021,0.85546875,0.85546875,0.0,0.796875,0.796875,working
L30_N5509,30,5509,ambiguity,amb_0022,1.8984375,1.8984375,0.0,0.466796875,0.46875,working
L30_N5509,30,5509,ambiguity,amb_0023,0.64453125,0.64453125,0.0,0.8046875,0.8046875,working
L30_N5509,30,5509,ambiguity,amb_0024,1.2578125,1.2734375,0.015625,0.5625,0.5546875,working
L30_N5509,30,5509,ambiguity,amb_0025,1.3515625,1.34375,-0.0078125,0.51953125,0.5234375,working
L30_N5509,30,5509,ambiguity,amb_0026,1.4921875,1.3984375,-0.09375,0.671875,0.69921875,working
L30_N5509,30,5509,ambiguity,amb_0027,1.984375,2.015625,0.03125,0.3125,0.28515625,working
L30_N5509,30,5509,ambiguity,amb_0028,1.171875,1.171875,0.0,0.52734375,0.52734375,working
L30_N5509,30,5509,ambiguity,amb_0029,0.06494140625,0.06494140625,0.0,0.9921875,0.9921875,working
L30_N5509,30,5509,ambiguity,amb_0030,1.6171875,1.6171875,0.0,0.47265625,0.47265625,working
L30_N5509,30,5509,ambiguity,amb_0031,0.09619140625,0.095703125,-0.00048828125,0.984375,0.984375,working
L30_N5509,30,5509,ambiguity,amb_0032,0.8203125,0.8203125,0.0,0.80859375,0.80859375,working
L30_N5509,30,5509,ambiguity,amb_0033,1.46875,1.4765625,0.0078125,0.4140625,0.4140625,working
L30_N5509,30,5509,ambiguity,amb_0034,1.1796875,1.1796875,0.0,0.73046875,0.73046875,working
L30_N5509,30,5509,ambiguity,amb_0035,0.87890625,0.87890625,0.0,0.578125,0.578125,working
L30_N5509,30,5509,ambiguity,amb_0036,0.13671875,0.13671875,0.0,0.98046875,0.98046875,working
L30_N5509,30,5509,ambiguity,amb_0037,0.7265625,0.7265625,0.0,0.55859375,0.55859375,working
L30_N5509,30,5509,ambiguity,amb_0038,0.6328125,0.63671875,0.00390625,0.859375,0.859375,working
L30_N5509,30,5509,ambiguity,amb_0039,0.8828125,0.8828125,0.0,0.828125,0.828125,working
L30_N5509,30,5509,ambiguity,amb_0040,0.66015625,0.66015625,0.0,0.69921875,0.69921875,working
L30_N5509,30,5509,ambiguity,amb_0041,1.8359375,1.8359375,0.0,0.2734375,0.2734375,working
L30_N5509,30,5509,ambiguity,amb_0042,0.67578125,0.67578125,0.0,0.796875,0.796875,working
