neuron_id,category,is_control_neuron,n_unc,n_ctrl,H_unc,H_ctrl,raw_inter,raw_p,ancova_arm,ancova_p,ancova_H,ancova_H_p,slope_H_unc,matched_window,matched_n_unc,matched_n_ctrl,matched_inter,matched_p,strat_inter,strat_p,strat_bins,ancova_fdr,raw_fdr,strat_fdr
L29_N1141,ambiguity,False,120,120,2.0880373641227683,2.3424814114967982,-0.0007565429434180332,0.7632560616702059,-0.0009144498526514572,0.7231669628765169,-0.0006205958082458117,0.34845904148185103,-0.03466907424126675,"[0.56,3.45]",90,87,-0.0017029585966205274,0.6130787510090443,0.00025243244431802966,0.9261477045908184,5,False,False,False
L29_N1141,contradictory_context,False,120,120,0.9196175378126402,1.2473513918851191,-0.0023653918372777403,0.1748464762544715,-0.0027578568472650246,0.10646545328233321,-0.001197511349866499,0.24622586210277297,0.026564344746162923,"[0.13,1.78]",96,78,-0.002498739410955919,0.23411153693467424,-0.0025917821000412135,0.17365269461077845,5,False,False,False
L29_N1141,lack_of_knowledge,False,120,120,2.8453548630078633,1.2391928654474518,0.002564930186296507,0.23151989605117318,0.004887339879338365,0.12822032806366285,-0.001445937393967328,0.2203988825772465,-0.19029793735676087,"[2.04,2.49]",31,11,0.013565274627327558,0.1254268709896938,0.0021869097093067513,0.5109780439121756,4,False,False,False
L29_N12149,ambiguity,True,120,120,2.0880373641227683,2.3424814114967982,-0.00014749988913534732,0.9511359647547537,-0.0002209228991981303,0.9285820732276435,-0.0002885624985946428,0.7179868359972461,0.001020904229460379,"[0.56,3.45]",90,87,7.245332801937413e-05,0.9808489659553723,0.0007871883782090159,0.720558882235529,5,False,False,False
L29_N12149,contradictory_context,True,120,120,0.9196175378126402,1.2473513918851191,0.0003889792443563577,0.8220701059654709,-9.88660768813468e-05,0.953131667143974,-0.0014885411292597539,0.12258517907357833,-0.0437460934787138,"[0.13,1.78]",96,78,0.0008354914995531249,0.7140577319549508,-0.001192085935113636,0.5129740518962076,5,False,False,False
L29_N12149,lack_of_knowledge,True,120,120,2.8453548630078633,1.2391928654474518,-0.0006590318555633167,0.741286919955267,-0.0014968606781473183,0.58169697634676,0.000521634071691758,0.6275673479786718,0.04621848739495798,"[2.04,2.49]",31,11,0.002789958830802701,0.6723625304453766,-0.0014930767505937686,0.6227544910179641,4,False,False,False
L29_N2286,ambiguity,True,120,120,2.0880373641227683,2.3424814114967982,0.0021014219149947215,0.43273604125101484,0.002004472891205211,0.46121086815858303,-0.00038102295883933276,0.6011332044638624,-0.005792068893673171,"[0.56,3.45]",90,87,0.0030149839161913113,0.3957386166767033,0.002594441467552855,0.34930139720558884,5,False,False,False
L29_N2286,contradictory_context,True,120,120,0.9196175378126402,1.2473513918851191,0.0011190269802076184,0.601357697266151,0.00012882567437818172,0.9503733478884704,-0.003021358012072952,0.01287719230465777,-0.030641016737273413,"[0.13,1.78]",96,78,0.002117565874822248,0.4387126092714104,-0.00036435450904059445,0.8762475049900199,5,False,False,False
L29_N2286,lack_of_knowledge,True,120,120,2.8453548630078633,1.2391928654474518,0.0028452148195356177,0.2132698470509673,0.005049375072611616,0.15669171295433518,-0.0013723150319979458,0.25058015615958296,-0.12565455934439887,"[2.04,2.49]",31,11,0.006684789909295692,0.28892931086270546,0.003514026235092675,0.34930139720558884,4,False,False,False
L29_N4169,ambiguity,False,120,120,2.0880373641227683,2.3424814114967982,0.005468865421911071,0.037304109066969064,0.005503385914270202,0.03833341960807446,0.00013567026902535273,0.8767634808204097,-0.06857420654212097,"[0.56,3.45]",90,87,0.006969091033570151,0.0369636957030126,0.005867653083406328,0.027944111776447105,5,False,False,False
L29_N4169,contradictory_context,False,120,120,0.9196175378126402,1.2473513918851191,-0.0005258718971162934,0.8074277007230038,-0.0013212538263394588,0.5459092105477447,-0.0024269141540905984,0.08148036119839337,0.06520591707757482,"[0.13,1.78]",96,78,-0.0004647310035159858,0.8455528433258905,-0.0022004110428690297,0.3393213572854291,5,False,False,False
L29_N4169,lack_of_knowledge,False,120,120,2.8453548630078633,1.2391928654474518,-0.00015381958025196407,0.9510179158115171,0.002488931684684971,0.48969443591605266,-0.0016453827627294097,0.2170620799109162,0.04545454545454545,"[2.04,2.49]",31,11,0.012885549201294129,0.13466692045927306,0.001621103686357128,0.6506986027944112,4,False,False,False
L29_N4803,ambiguity,False,120,120,2.0880373641227683,2.3424814114967982,0.0005482268830140386,0.8479014029696788,0.0003694495174753935,0.8977750862239985,-0.0007026195636474931,0.45187381943008176,-0.04681575109382595,"[0.56,3.45]",90,87,0.0019388239045709397,0.5941760668740836,0.0012423485501625597,0.656686626746507,5,False,False,False
L29_N4803,contradictory_context,False,120,120,0.9196175378126402,1.2473513918851191,-0.0005920289278340747,0.7748026851286411,-0.0011092448864347222,0.5970724833014358,-0.0015781584727169015,0.14282253709334203,-0.022793249531217443,"[0.13,1.78]",96,78,-0.0011292663104354498,0.6859498088785569,-0.002114758732113969,0.35129740518962077,5,False,False,False
