neuron_id,category,is_control_neuron,n_unc,n_ctrl,H_unc,H_ctrl,raw_inter,raw_p,ancova_arm,ancova_p,ancova_H,ancova_H_p,slope_H_unc,matched_window,matched_n_unc,matched_n_ctrl,matched_inter,matched_p,strat_inter,strat_p,strat_bins,ancova_fdr,raw_fdr,strat_fdr
L29_N1141,ambiguity,False,120,120,2.0880373641227683,2.3424814114967982,-0.0022167828554908514,0.4062245773844848,-0.002522023555526989,0.35784910840369244,-0.0011996378110879548,0.15605184508656014,-0.020918119313841237,"[0.56,3.45]",90,87,-0.0022864789113231166,0.5026888526368088,-0.001976060671450871,0.4411177644710579,5,False,False,False
L29_N1141,contradictory_context,False,120,120,0.9196175378126402,1.2473513918851191,-2.5365183440346855e-05,0.9906344317171036,-0.0003798876272284356,0.861010648461459,-0.001081738854203586,0.2921548777962991,0.10354209240603911,"[0.13,1.78]",96,78,0.00019738214233746654,0.9454267945119584,-0.0008215772412572166,0.7225548902195609,5,False,False,False
L29_N1141,lack_of_knowledge,False,120,120,2.8453548630078633,1.2391928654474518,-0.0004802734591066865,0.8370290228364217,0.0012816225277224938,0.6799760426602781,-0.0010969603249892047,0.30195403938570453,-0.022265435099659697,"[2.04,2.49]",31,11,0.009886947195550866,0.13166592364032492,0.0015572383187376997,0.6467065868263473,4,False,False,False
L29_N4169,ambiguity,False,120,120,2.0880373641227683,2.3424814114967982,0.001658800089110931,0.5507918150432396,0.0015095797010409985,0.5990674704826573,-0.0005864565888255057,0.5108628504984445,-0.07274810750746577,"[0.56,3.45]",90,87,0.0012149247401518912,0.7363586182022912,0.002489045962959925,0.36127744510978044,5,False,False,False
L29_N4169,contradictory_context,False,120,120,0.9196175378126402,1.2473513918851191,-0.0009762640887250359,0.6145056775999578,-0.0014627562308406235,0.462909946264089,-0.001484412232884557,0.2770084094532457,-0.0009722897423432181,"[0.13,1.78]",96,78,-0.002160142331073663,0.2526136495126064,-0.0020362949296720253,0.29740518962075846,5,False,False,False
L29_N4169,lack_of_knowledge,False,120,120,2.8453548630078633,1.2391928654474518,-0.0027065671514719656,0.23590251757540137,-0.0022986623393948884,0.4990786067464168,-0.00025396243510719305,0.8434170583598631,0.0487325508715883,"[2.04,2.49]",31,11,0.009220687525013685,0.2871237088707664,-0.004657438082374427,0.21157684630738524,4,False,False,False
L29_N4803,ambiguity,False,120,120,2.0880373641227683,2.3424814114967982,-6.0274979720514594e-05,0.9825250736208502,-9.31386151747159e-05,0.973335073384042,-0.00012915859417175941,0.8724250725015179,0.08088756163622472,"[0.56,3.45]",90,87,-0.0007231198051423406,0.8404996186000929,0.00030153509834541056,0.9241516966067864,5,False,False,False
L29_N4803,contradictory_context,False,120,120,0.9196175378126402,1.2473513918851191,-0.00021253822681803285,0.9125029543057595,-0.0006706764365196885,0.7397804593186846,-0.0013978971168487797,0.3285258185502997,0.040197235919161044,"[0.13,1.78]",96,78,0.0008641753393488125,0.7103146066461699,-0.000963842844281849,0.6407185628742516,5,False,False,False
L29_N4803,lack_of_knowledge,False,120,120,2.8453548630078633,1.2391928654474518,-0.001574006583541627,0.4610787791942266,-0.0015691164587882393,0.6062064724991698,-3.0446024503219494e-06,0.9979989840675321,-0.07140079172164734,"[2.04,2.49]",31,11,0.0011380564781927232,0.790496719895727,-0.002461042306882614,0.48902195608782434,4,False,False,False
L30_N10549,ambiguity,False,120,120,2.0880373641227683,2.3424814114967982,-0.00017608193059762654,0.9413590502509146,-3.4104431684259164e-05,0.9887714744237132,0.0005579910411685222,0.3474642424649228,-0.0071463296062226535,"[0.56,3.45]",90,87,0.00033711469036409,0.9156949608932035,7.654461361322118e-05,0.9640718562874252,5,False,False,False
L30_N10549,contradictory_context,False,120,120,0.9196175378126402,1.2473513918851191,0.0023075841638880417,0.20629144529410895,0.0015053641013970556,0.3761041312229718,-0.0024477790515763185,0.03116287042155998,-0.04555177442877977,"[0.13,1.78]",96,78,0.0020958259582328394,0.3111046573965434,0.0008840798783803597,0.656686626746507,5,False,False,False
L30_N10549,lack_of_knowledge,False,120,120,2.8453548630078633,1.2391928654474518,-0.0022170934515694657,0.29170734216419825,-0.0005212908648270372,0.8410218741926789,-0.0010558104284114373,0.20844602352320896,0.015126050420168064,"[2.04,2.49]",31,11,0.004095474645888706,0.4351334089074602,-0.0018216827237837175,0.6027944111776448,4,False,False,False
L30_N1217,ambiguity,False,120,120,2.0880373641227683,2.3424814114967982,0.0006401893993218711,0.7788472980757419,0.0006190675436353795,0.7921862663135426,-8.301178944635347e-05,0.9194165281936881,0.08149177026182372,"[0.56,3.45]",90,87,-0.0012385727801998954,0.6646198503423789,0.0009606465588477778,0.6766467065868264,5,False,False,False
L30_N1217,contradictory_context,False,120,120,0.9196175378126402,1.2473513918851191,-0.0017169422547643285,0.2365574289766093,-0.0016757098452660551,0.23829050654383488,0.00012581065088610556,0.8997334402959996,0.005316350643022533,"[0.13,1.78]",96,78,-0.0017508738077221695,0.3109423908603323,-0.0016834966733794005,0.2754491017964072,5,False,False,False
