neuron_id,category,is_control_neuron,n_unc,n_ctrl,H_unc,H_ctrl,raw_inter,raw_p,ancova_arm,ancova_p,ancova_H,ancova_H_p,slope_H_unc,matched_window,matched_n_unc,matched_n_ctrl,matched_inter,matched_p,strat_inter,strat_p,strat_bins,ancova_fdr,raw_fdr,strat_fdr
L20_N4060,familiarity,False,195,195,3.690766302133218,0.9292152771105369,-0.0009526550865326053,0.7432890881542057,-0.005905493219967819,0.42502791467706325,0.0017934986855419482,0.3872275360404793,0.03517454563109938,"[2.56,2.10]",0,0,,,-0.00361091051346216,0.6786427145708582,1,False,False,False
L22_N11087,familiarity,True,195,195,3.690766302133218,0.9292152771105369,-0.0016789898753930429,0.5684201353510501,-0.006884724588408768,0.36568066795894294,0.0018850764175081455,0.3697397918136921,-0.046775315994756345,"[2.56,2.10]",0,0,,,-0.0010005571903326622,0.9341317365269461,1,False,False,False
L22_N2446,familiarity,False,195,195,3.690766302133218,0.9292152771105369,-0.007401627569626535,0.012619543618919735,-0.008919010627992817,0.26397371737111797,0.0005494676884899433,0.8044256498719984,-0.04408875366165498,"[2.56,2.10]",0,0,,,-0.0007297687041453827,0.9341317365269461,1,False,False,False
L22_N409,familiarity,True,195,195,3.690766302133218,0.9292152771105369,0.0005515306328351652,0.8602745796413543,0.002049390805583064,0.790857875326477,-0.000542398152044149,0.8035741440034583,-0.056077156159335596,"[2.56,2.10]",0,0,,,0.00816242205790983,0.3592814371257485,1,False,False,False
L22_N9674,familiarity,True,195,195,3.690766302133218,0.9292152771105369,-0.0008126865308254159,0.7900016738692012,0.000329990675884367,0.9633135198192632,-0.0004137809500370907,0.8329145312472759,-0.13552735923869944,"[2.56,2.10]",0,0,,,0.006137309930263411,0.44510978043912175,1,False,False,False
L26_N8053,familiarity,False,195,195,3.690766302133218,0.9292152771105369,0.000790202951966182,0.7406115683834086,0.010263481044444446,0.0985517059807178,-0.003430419357324919,0.04268446433930916,-0.13432412497538077,"[2.56,2.10]",0,0,,,0.018042845603747228,0.02594810379241517,1,False,False,False
L27_N2286,familiarity,True,195,195,3.690766302133218,0.9292152771105369,0.0011831232561514884,0.606729685549144,0.005535039371957695,0.3149227720736565,-0.0015758956022804123,0.2891871551833327,-0.13368237064849728,"[2.56,2.10]",0,0,,,0.009398741599840969,0.16367265469061876,1,False,False,False
L27_N45,familiarity,False,195,195,3.690766302133218,0.9292152771105369,0.0020012535632420803,0.4460821302130584,-0.0038221210783977353,0.5665592812467333,0.0021087333128642694,0.24756482523839607,0.0737777249096683,"[2.56,2.10]",0,0,,,-0.0007667938868204684,0.9341317365269461,1,False,False,False
L28_N11622,familiarity,False,195,195,3.690766302133218,0.9292152771105369,-0.0006881916274627067,0.7343083101801764,0.0020030284384140343,0.6984183075334203,-0.0009745320805197376,0.5138430092248607,-0.09887844114648235,"[2.56,2.10]",0,0,,,0.003137230873107895,0.5888223552894212,1,False,False,False
L28_N14222,familiarity,False,195,195,3.690766302133218,0.9292152771105369,-0.0008175864338110662,0.7235930352638401,-0.0015423358373628428,0.7809396009353722,0.0002624428797385082,0.865985873013887,0.024904109145640806,"[2.56,2.10]",0,0,,,0.002174939864721048,0.7245508982035929,1,False,False,False
L28_N4012,familiarity,True,195,195,3.690766302133218,0.9292152771105369,-0.0016980362339661713,0.4225918021451786,-0.004505902114939699,0.3304422448277974,0.0010167713200050206,0.4042965682405908,-0.005267927948340319,"[2.56,2.10]",0,0,,,-0.00041464658883902817,0.9441117764471058,1,False,False,False
L28_N5085,familiarity,False,195,195,3.690766302133218,0.9292152771105369,-0.001132481421033567,0.6241368337463614,0.0021244117076628607,0.6720160166837346,-0.0011793709763771904,0.40339957362135825,-0.07496318114874814,"[2.56,2.10]",0,0,,,0.0037606007013565182,0.5868263473053892,1,False,False,False
L29_N10877,familiarity,False,195,195,3.690766302133218,0.9292152771105369,-0.00022422486008743636,0.9091218874639154,0.00470033055232032,0.2564923421434957,-0.0017832570782816922,0.13056043297031641,-0.03369371315837769,"[2.56,2.10]",0,0,,,0.007441468727894292,0.10578842315369262,1,False,False,False
L29_N11791,familiarity,False,195,195,3.690766302133218,0.9292152771105369,-0.003188458295204715,0.13263019222999786,0.000629467434084502,0.8994183075195746,-0.00138252948965803,0.32934170629754567,-0.12905533347359563,"[2.56,2.10]",0,0,,,0.0014541271405341962,0.8203592814371258,1,False,False,False
L29_N12400,familiarity,False,195,195,3.690766302133218,0.9292152771105369,0.004727965354537351,0.04719627198844575,0.0017629622572484082,0.709975162640992,0.001073673117180442,0.4244401527922682,0.06708961141950832,"[2.56,2.10]",0,0,,,0.0051147846075204634,0.37924151696606784,1,False,False,False
L29_N13925,familiarity,False,195,195,3.690766302133218,0.9292152771105369,0.0004887683937946799,0.814803249776983,0.009300651912144381,0.03915395783740751,-0.0031909182334508316,0.009406652179304104,-0.16159186910291473,"[2.56,2.10]",0,0,,,0.00922727279174021,0.1437125748502994,1,False,False,False
L29_N2646,familiarity,False,195,195,3.690766302133218,0.9292152771105369,0.00012597578267257742,0.959210413141741,-0.001040310410614922,0.8717708065725719,0.0004223301263382956,0.8048542094860303,-0.034710061661460775,"[2.56,2.10]",0,0,,,-0.0024666633361425127,0.7584830339321357,1,False,False,False
L29_N3447,familiarity,False,195,195,3.690766302133218,0.9292152771105369,-0.00043609595069519537,0.8462180069871758,-0.0025479218145784436,0.6733205723619589,0.0007647245496272858,0.650154499525603,0.050636844745828545,"[2.56,2.10]",0,0,,,-0.0037023776616805764,0.6087824351297405,1,False,False,False
L29_N4718,familiarity,False,195,195,3.690766302133218,0.9292152771105369,-0.0009427246374961776,0.5995849091116188,0.0016746362713429366,0.7302893176475631,-0.0009477865464454403,0.4823574427794889,-0.15011247956756055,"[2.56,2.10]",0,0,,,0.0008208140348776481,0.8842315369261478,1,False,False,False
L29_N578,familiarity,False,195,195,3.690766302133218,0.9292152771105369,-0.0021738493958344857,0.3198741664379733,0.005969768453296224,0.23493572860409995,-0.0029489289806129268,0.04015316212223034,-0.16594377640033015,"[2.56,2.10]",0,0,,,0.0041357553922213,0.4630738522954092,1,False,False,False
L29_N5866,familiarity,False,195,195,3.690766302133218,0.9292152771105369,-0.012506832765080963,1.1201435776293055e-07,-0.013180016305566098,0.0005275571903646978,0.00024377008948426484,0.8234379351583094,-0.08440337276861576,"[2.56,2.10]",0,0,,,-0.010643882629198902,0.007984031936127744,1,False,True,False
L29_N6625,familiarity,False,195,195,3.690766302133218,0.9292152771105369,0.0005822768673682819,0.7675790369530596,0.005681257703970775,0.27240823379937484,-0.0018464192008042365,0.21689607368570119,-0.08301477609283203,"[2.56,2.10]",0,0,,,0.0062080071522639165,0.35528942115768464,1,False,False,False
L30_N11103,familiarity,False,195,195,3.690766302133218,0.9292152771105369,-0.0015759102427042341,0.2655595574107671,-0.0007061340983439719,0.8228327206602538,-0.0003149592879070986,0.7428860345613564,-0.015371668096263088,"[2.56,2.10]",0,0,,,0.002347668011983244,0.5588822355289421,1,False,False,False
L30_N13098,familiarity,False,195,195,3.690766302133218,0.9292152771105369,-0.0004287437464182228,0.7882952047151693,0.0020311238845228223,0.5947055186413346,-0.0008907558139074554,0.4055816941617657,-0.05574133573182402,"[2.56,2.10]",0,0,,,0.005499586080893482,0.27345309381237526,1,False,False,False
L30_N1457,familiarity,False,195,195,3.690766302133218,0.9292152771105369,0.006423828989649413,0.01977710271947218,-0.002845837801695315,0.645196674829535,0.003356688580928394,0.046579042365325445,0.16792801628447226,"[2.56,2.10]",0,0,,,-0.0009775436841524669,0.8922155688622755,1,False,False,False
L31_N11541,familiarity,False,195,195,3.690766302133218,0.9292152771105369,0.005722376713768014,0.06974806835143658,0.012756598138757326,0.06242325602330294,-0.0025471995126114077,0.1761257778969858,-0.09057764754959047,"[2.56,2.10]",0,0,,,0.00989975379063534,0.249500998003992,1,False,False,False
L31_N14143,familiarity,False,195,195,3.690766302133218,0.9292152771105369,-0.002394647571520926,0.031424142893381676,-0.00018133388431117064,0.9311083183624245,-0.0008014748477050421,0.2292244652285862,-0.1272079687355332,"[2.56,2.10]",0,0,,,0.0005518442545181738,0.8562874251497006,1,False,False,False
L31_N368,familiarity,False,195,195,3.690766302133218,0.9292152771105369,0.0004163250422630424,0.780802099904282,0.0017210982146291364,0.591041671398584,-0.00047247838643697587,0.6219684420898792,0.07334641819192454,"[2.56,2.10]",0,0,,,0.00165963784242288,0.716566866267465,1,False,False,False
L31_N377,familiarity,False,195,195,3.690766302133218,0.9292152771105369,0.000920340342399407,0.4228461303348456,0.004109079494393746,0.11974845819243826,-0.0011546913756439298,0.12775123222939777,-0.05715744596831859,"[2.56,2.10]",0,0,,,0.0057526001563438945,0.10978043912175649,1,False,False,False
L31_N4425,familiarity,False,195,195,3.690766302133218,0.9292152771105369,0.0020829426650053368,0.22933095712284227,0.002860160795485858,0.5629038603103675,-0.0002814426108509678,0.837402801881283,0.002239881791209699,"[2.56,2.10]",0,0,,,0.004975459514520095,0.43912175648702595,1,False,False,False
L31_N5966,familiarity,False,195,195,3.690766302133218,0.9292152771105369,-0.0001916368420307674,0.8921592106696532,0.006618139548108667,0.034099769401748886,-0.002465924521558864,0.007935197832648695,-0.07876081453043036,"[2.56,2.10]",0,0,,,0.007990393883142691,0.043912175648702596,1,False,False,False
L31_N7853,familiarity,False,195,195,3.690766302133218,0.9292152771105369,0.0008935944774212023,0.4873274708900171,0.0002904609446932022,0.9439158381268453,0.00021840390681284694,0.8454960950664508,0.09723255645526553,"[2.56,2.10]",0,0,,,0.002822542801881457,0.6067864271457086,1,False,False,False
