neuron_id,condition,arm,n,clamp_value,hedge_rate_clean,hedge_rate,hedge_delta,n_gained_hedge,n_lost_hedge,hedge_delta_p,changed_rate,mean_edit_ratio,first_token_flip_rate,hedge_delta_interaction
L31_N11541,mean,uncertain,120,1.5949835096086775,0.7666666666666667,0.7833333333333333,0.016666666666666607,3,1,0.625,0.23333333333333334,0.9362838785529574,0.041666666666666664,0.016666666666666607
L31_N11541,mean,control,120,1.5949835096086775,0.008333333333333333,0.008333333333333333,0.0,0,0,1.0,0.10833333333333334,0.9647258695249464,0.008333333333333333,0.016666666666666607
L31_N11541,minus2,uncertain,120,-3.043590747248571,0.7666666666666667,0.7583333333333333,-0.008333333333333415,1,2,1.0,0.20833333333333334,0.9291657940176399,0.075,-0.016666666666666746
L31_N11541,minus2,control,120,-3.043590747248571,0.008333333333333333,0.016666666666666666,0.008333333333333333,1,0,1.0,0.1,0.9703711900374087,0.03333333333333333,-0.016666666666666746
L31_N11541,plus2,uncertain,120,6.2335577664659265,0.7666666666666667,0.7666666666666667,0.0,2,2,1.0,0.36666666666666664,0.8882835945441381,0.05,0.0
L31_N11541,plus2,control,120,6.2335577664659265,0.008333333333333333,0.008333333333333333,0.0,0,0,1.0,0.3,0.9247638115779178,0.008333333333333333,0.0
L31_N2477,mean,uncertain,120,-0.16313189551943824,0.7666666666666667,0.7833333333333333,0.016666666666666607,2,0,0.5,0.1,0.9759253730539459,0.016666666666666666,0.008333333333333274
L31_N2477,mean,control,120,-0.16313189551943824,0.008333333333333333,0.016666666666666666,0.008333333333333333,1,0,1.0,0.1,0.9728145974973234,0.0,0.008333333333333274
L31_N2477,minus2,uncertain,120,-3.165011744292938,0.7666666666666667,0.775,0.008333333333333304,1,0,1.0,0.14166666666666666,0.9488313235991753,0.058333333333333334,0.008333333333333304
L31_N2477,minus2,control,120,-3.165011744292938,0.008333333333333333,0.008333333333333333,0.0,0,0,1.0,0.06666666666666667,0.9831813840753959,0.0,0.008333333333333304
L31_N2477,plus2,uncertain,120,2.838747953254062,0.7666666666666667,0.7666666666666667,0.0,1,1,1.0,0.23333333333333334,0.9346607657158508,0.06666666666666667,-0.008333333333333333
L31_N2477,plus2,control,120,2.838747953254062,0.008333333333333333,0.016666666666666666,0.008333333333333333,1,0,1.0,0.175,0.9363904701507143,0.008333333333333333,-0.008333333333333333
L31_N4012,mean,uncertain,120,0.014465924529802231,0.7666666666666667,0.7666666666666667,0.0,0,0,1.0,0.0,1.0,0.0,0.0
L31_N4012,mean,control,120,0.014465924529802231,0.008333333333333333,0.008333333333333333,0.0,0,0,1.0,0.03333333333333333,0.9905798167594545,0.0,0.0
L31_N4012,minus2,uncertain,120,-0.09849294402012254,0.7666666666666667,0.775,0.008333333333333304,1,0,1.0,0.075,0.9763865102346384,0.008333333333333333,0.008333333333333304
L31_N4012,minus2,control,120,-0.09849294402012254,0.008333333333333333,0.008333333333333333,0.0,0,0,1.0,0.008333333333333333,0.9961805555555556,0.0,0.008333333333333304
L31_N4012,plus2,uncertain,120,0.127424793079727,0.7666666666666667,0.775,0.008333333333333304,1,0,1.0,0.03333333333333333,0.9856577710204654,0.016666666666666666,0.008333333333333304
L31_N4012,plus2,control,120,0.127424793079727,0.008333333333333333,0.008333333333333333,0.0,0,0,1.0,0.041666666666666664,0.9831174441873693,0.0,0.008333333333333304
L31_N409,mean,uncertain,120,-0.32259695870535715,0.7666666666666667,0.775,0.008333333333333304,1,0,1.0,0.03333333333333333,0.986183645837111,0.008333333333333333,0.008333333333333304
L31_N409,mean,control,120,-0.32259695870535715,0.008333333333333333,0.008333333333333333,0.0,0,0,1.0,0.008333333333333333,0.9961805555555556,0.0,0.008333333333333304
L31_N409,minus2,uncertain,120,-0.528621707830242,0.7666666666666667,0.775,0.008333333333333304,1,0,1.0,0.05,0.9868030714565369,0.008333333333333333,0.008333333333333304
L31_N409,minus2,control,120,-0.528621707830242,0.008333333333333333,0.008333333333333333,0.0,0,0,1.0,0.025,0.9844632778652057,0.0,0.008333333333333304
L31_N409,plus2,uncertain,120,-0.11657220958047237,0.7666666666666667,0.7666666666666667,0.0,0,0,1.0,0.06666666666666667,0.9795927220005843,0.016666666666666666,0.0
L31_N409,plus2,control,120,-0.11657220958047237,0.008333333333333333,0.008333333333333333,0.0,0,0,1.0,0.025,0.9903620016155252,0.0,0.0
L31_N6772,mean,uncertain,120,-0.0691424324398949,0.7666666666666667,0.775,0.008333333333333304,1,0,1.0,0.09166666666666666,0.9701811508437136,0.03333333333333333,0.008333333333333304
L31_N6772,mean,control,120,-0.0691424324398949,0.008333333333333333,0.008333333333333333,0.0,0,0,1.0,0.041666666666666664,0.987688319751521,0.0,0.008333333333333304
L31_N6772,minus2,uncertain,120,-0.2575020910798704,0.7666666666666667,0.7583333333333333,-0.008333333333333415,0,1,1.0,0.1,0.9853984503488759,0.016666666666666666,-0.008333333333333415
L31_N6772,minus2,control,120,-0.2575020910798704,0.008333333333333333,0.008333333333333333,0.0,0,0,1.0,0.06666666666666667,0.9786461666349832,0.008333333333333333,-0.008333333333333415
L31_N6772,plus2,uncertain,120,0.11921722620008057,0.7666666666666667,0.7833333333333333,0.016666666666666607,2,0,0.5,0.15,0.9410845664072796,0.05,0.016666666666666607
L31_N6772,plus2,control,120,0.11921722620008057,0.008333333333333333,0.008333333333333333,0.0,0,0,1.0,0.058333333333333334,0.9808883400272712,0.0,0.016666666666666607
