layer,cos,ci_lo,ci_hi,boot_mean
20,0.676780,0.385376,0.719313,0.582528
21,0.690215,0.398308,0.723109,0.591149
22,0.690470,0.384694,0.719054,0.585053
23,0.686093,0.361263,0.722458,0.577863
24,0.666520,0.319865,0.715822,0.554433
25,0.673374,0.327391,0.727433,0.565866
26,0.672958,0.314097,0.730722,0.564815
27,0.674050,0.327877,0.723788,0.564100
28,0.692566,0.345926,0.739457,0.583094
29,0.662131,0.338535,0.703336,0.554998
30,0.655241,0.348163,0.691027,0.550145
31,0.660669,0.413764,0.667963,0.558515
