layer,cos,null_mean,null_sd,null_p95,null_p99,null_max,p_one_sided,p_two_sided
20,0.67678,-0.00208013,0.278569,0.453335,0.568123,0.703931,0.00039996,0.00109989
21,0.690215,-0.00189055,0.278155,0.453477,0.569597,0.70491,0.00019998,0.00069993
22,0.69047,-0.00167201,0.273614,0.447919,0.565071,0.693961,0.00019998,0.00029997
23,0.686093,-0.00127001,0.279287,0.454088,0.572474,0.689472,0.00019998,0.00049995
24,0.66652,-0.00085287,0.277925,0.449192,0.567259,0.670956,0.00019998,0.00119988
25,0.673374,-0.000779498,0.288678,0.46694,0.584021,0.685637,0.00089991,0.00209979
26,0.672958,-0.000475375,0.295272,0.476125,0.594752,0.697804,0.00119988,0.0029997
27,0.67405,-0.000497706,0.287758,0.466,0.583071,0.68288,0.00059994,0.00179982
28,0.692566,-0.000462111,0.298049,0.482383,0.597279,0.703842,0.00069993,0.00169983
29,0.662131,-0.000855894,0.274984,0.447369,0.561547,0.670156,0.00019998,0.00079992
30,0.655241,-0.000778406,0.265681,0.432259,0.547542,0.665543,0.00019998,0.00049995
31,0.660669,-0.000850549,0.240077,0.393068,0.505542,0.655745,9.999e-05,9.999e-05
