pair,prompt_id,arm,layer,lens_logodds,lens_entropy
0,ale_01_3_u,uncertain,0,0.43715715408325195,7.541656970977783
0,ale_01_3_u,uncertain,1,-0.12261581420898438,0.05385260656476021
0,ale_01_3_u,uncertain,2,-1.0435004234313965,9.77055549621582
0,ale_01_3_u,uncertain,3,-0.2771759033203125,9.913997650146484
0,ale_01_3_u,uncertain,4,-0.9907011985778809,6.542534351348877
0,ale_01_3_u,uncertain,5,-0.8681824207305908,6.791151523590088
0,ale_01_3_u,uncertain,6,-1.1288881301879883,7.542154788970947
0,ale_01_3_u,uncertain,7,-0.8407673835754395,7.62974739074707
0,ale_01_3_u,uncertain,8,-0.7138948440551758,4.174624443054199
0,ale_01_3_u,uncertain,9,-0.6328978538513184,3.8886470794677734
0,ale_01_3_u,uncertain,10,-1.0489003658294678,3.9082231521606445
0,ale_01_3_u,uncertain,11,0.0529322624206543,1.871583342552185
0,ale_01_3_u,uncertain,12,0.5561633110046387,2.187065601348877
0,ale_01_3_u,uncertain,13,-2.3538594245910645,8.471125602722168
0,ale_01_3_u,uncertain,14,-3.248790740966797,9.02348518371582
0,ale_01_3_u,uncertain,15,-2.828103542327881,5.5260491371154785
0,ale_01_3_u,uncertain,16,-3.664304733276367,9.385059356689453
0,ale_01_3_u,uncertain,17,-3.86002779006958,8.46133041381836
0,ale_01_3_u,uncertain,18,-2.7157344818115234,8.929041862487793
0,ale_01_3_u,uncertain,19,-3.1734161376953125,3.334174156188965
0,ale_01_3_u,uncertain,20,-3.403326988220215,1.3135478496551514
0,ale_01_3_u,uncertain,21,-2.168778419494629,1.8217536211013794
0,ale_01_3_u,uncertain,22,-1.1568889617919922,3.071108102798462
0,ale_01_3_u,uncertain,23,-1.2252655029296875,1.9825519323349
0,ale_01_3_u,uncertain,24,-0.4096107482910156,2.6529173851013184
0,ale_01_3_u,uncertain,25,0.3751382827758789,1.8335355520248413
0,ale_01_3_u,uncertain,26,0.7752342224121094,1.8012839555740356
0,ale_01_3_u,uncertain,27,0.4871368408203125,1.9892600774765015
