layer,control,uncertain,gap
0,-2.9643961588541665,-2.9254575876089244,0.03893857124524214
1,-2.7539141728327823,-2.733617978218274,0.020296194614508156
2,-4.748590616079477,-4.690121357257549,0.058469258821927994
3,-1.2898765955215845,-1.255074109786596,0.03480248573498845
4,-1.1008798403617663,-1.050968585870205,0.04991125449156142
5,-0.7419711381961138,-0.7088215167705829,0.033149621425530906
6,-2.2979274896474986,-2.24015989059057,0.05776759905692863
7,-3.100110005109738,-3.012088751181578,0.08802125392815974
8,-2.294359427232009,-2.140490140670385,0.15386928656162402
9,-2.5451074013343225,-2.0402954786251755,0.504811922709147
10,-1.9240521651047926,-1.7404256967397838,0.18362646836500884
11,-3.273067498818422,-3.1551068868392553,0.11796061197916652
12,-3.001837608141777,-2.9382235453679013,0.06361406277387571
13,-3.8580086536896534,-3.80240912315173,0.055599530537923325
14,-5.050701740460518,-4.344948927561442,0.7057528128990755
15,-3.1721606865907326,-2.49429927728115,0.6778614093095827
16,-2.6694190685565653,-1.933595828520946,0.7358232400356193
17,-2.9911674108260717,-2.4575380423130135,0.5336293685130582
18,-3.914575919126853,-3.090937003111228,0.823638916015625
19,-3.1586879094441733,-3.5550017723670373,-0.39631386292286397
20,-3.7594662935305863,-3.6652792661617966,0.0941870273687897
21,-2.433294638609275,-1.6588555360451722,0.7744391025641026
22,-1.562053924951798,-1.2199799464299128,0.34207397852188515
23,-1.0225208478096204,-0.6565307470468374,0.36599010076278293
24,-0.8844261658497345,-0.16219415420140976,0.7222320116483247
25,-3.220045493199275,-0.7986894509731195,2.4213560422261553
26,-3.975160696567633,-0.30121967120048326,3.67394102536715
27,-9.50236499003875,-3.1282469003628464,6.374118089675903
