layer,side,token,control,uncertain,p_gain
24,answer,' yes',6.23291730126494e-08,3.7072209545262724e-06,3.644891781513623e-06
24,answer,' Yes',4.378841443340846e-08,6.811034935092297e-07,6.373150790758213e-07
24,answer,' a',6.06133688070188e-10,7.099454262707928e-10,1.0381173820060483e-10
24,answer,' in',3.8753979880427876e-10,1.4920006465305896e-10,-2.383397341512198e-10
24,answer,' the',6.454782913229797e-07,3.190821343846794e-09,-6.42287469979133e-07
24,answer,' that',1.0572302896829037e-06,5.764229313821298e-08,-9.995879965446907e-07
24,hedge,' unclear',1.624510445384506e-07,5.02925553450636e-07,3.4047450891218537e-07
24,hedge,' not',1.0190200331064348e-07,3.2715155609114736e-07,2.2524955278050388e-07
24,hedge,' no',5.926571639719254e-09,1.181924634601284e-08,5.892674706293586e-09
24,hedge,' unknown',1.1900166930955384e-08,1.2044339927651782e-08,1.4417299669639785e-10
24,hedge,' I',1.636475510780285e-10,1.1183856874826582e-10,-5.180898232976268e-11
25,answer,' yes',1.745860282697577e-07,1.0740683807535347e-05,1.0566097779265589e-05
25,answer,' Yes',7.876225866359592e-08,2.326155352364664e-06,2.247393093701068e-06
25,answer,' a',5.2967641899019225e-09,1.0092669547812855e-08,4.795905357910932e-09
25,answer,' in',3.871729016705152e-09,2.559414356732954e-09,-1.3123146599721977e-09
25,answer,' the',4.1843214763543665e-05,5.4736404169591876e-08,-4.178847835937407e-05
25,answer,' that',4.738165608167616e-05,1.1079565233671142e-06,-4.627369955830905e-05
25,hedge,' not',1.2596735096829808e-06,1.7553390753810286e-06,4.956655656980478e-07
25,hedge,' unclear',2.0395268123248204e-07,5.699010772414335e-07,3.659483960089515e-07
25,hedge,' unknown',5.250141645864354e-09,3.52734606687206e-08,3.002331902285625e-08
25,hedge,' no',4.433630490896491e-08,5.533300583734414e-08,1.0996700928379232e-08
25,hedge,' I',4.306755338492343e-10,4.321315481485281e-10,1.4560142992937982e-12
26,answer,' yes',6.163088578544697e-07,5.9861418532519265e-06,5.369832995397457e-06
26,answer,' a',1.9141415777414575e-06,3.3418028187872424e-06,1.427661241045785e-06
26,answer,' Yes',9.186660727450731e-08,1.161892658900025e-06,1.0700260516255176e-06
26,answer,' in',2.443334135126384e-07,5.484444783221694e-08,-1.8948896568042145e-07
26,answer,' that',0.0001791430607288349,3.688585343443498e-06,-0.0001754544753853914
26,answer,' the',0.004648078649506418,1.591635646240419e-05,-0.004632162293044014
26,hedge,' not',8.712446290782215e-06,9.856855461757383e-06,1.1444091709751675e-06
26,hedge,' unclear',1.0691372038639207e-06,2.040676791491245e-06,9.71539587627324e-07
26,hedge,' unknown',3.267893057963936e-08,1.6013447423919757e-07,1.2745554365955823e-07
26,hedge,' I',2.363947916112297e-09,2.6548842042163372e-09,2.9093628810404005e-10
26,hedge,' no',4.832017291853688e-07,2.5981447240934875e-07,-2.2338725677602008e-07
27,answer,' a',5.4110769495865704e-05,0.021961286890178854,0.02190717612068299
27,answer,' yes',1.5502304102392354e-09,3.4083390660126857e-06,3.4067888356024462e-06
27,answer,' in',3.772308819021433e-08,3.0336330384947073e-06,2.995909950304493e-06
27,answer,' Yes',8.597455720792342e-11,3.6617375954320364e-08,3.653140139711244e-08
27,answer,' that',0.0024907837021877232,0.0023584963930258886,-0.00013228730916183462
27,answer,' the',0.25626007616879803,0.09247405376890064,-0.1637860223998974
27,hedge,' not',1.2881598787268633e-06,0.00048716386367376487,0.000485875703795038
27,hedge,' no',2.8988899091910668e-08,1.0728508792302895e-05,1.0699519893210985e-05
27,hedge,' unclear',1.419369499140965e-10,5.9012972619498495e-08,5.88710356695844e-08
27,hedge,' unknown',4.036770019146234e-11,9.519865478384284e-09,9.47949777819282e-09
27,hedge,' I',1.8801133414620308e-11,7.602607853136843e-09,7.583806719722222e-09
