layer,rank,token,token_id,p_uncertain,p_control,p_gain
25,1,' February',7400,0.07094807177782059,0.00011387651466066018,0.0708341971039772
25,2,' Mars',21048,0.07001791149377823,1.2281509953027125e-05,0.0700056329369545
25,3,' Africa',10174,0.07209677249193192,0.0030239252373576164,0.06907285004854202
25,4,' Mercury',43562,0.04638276249170303,4.240172711433843e-05,0.04634036123752594
25,5,' straightforward',30339,0.03037293814122677,0.00896447617560625,0.021408461034297943
25,6,' subjective',43022,0.013641057536005974,1.6845828554323816e-07,0.013640888966619968
25,7,' Berlin',19846,0.013359978795051575,6.365134908037362e-08,0.0133599154651165
25,8,' Venus',48976,0.011967421509325504,3.548201857483946e-05,0.01193193905055523
25,9,'大熊猫',117172,0.011041826568543911,0.00021305192785803229,0.01082877442240715
25,10,' Rainbow',46645,0.009449662640690804,0.00038986894651316106,0.009059793315827847
25,11,'多样',101725,0.008593293838202953,3.972269553287333e-07,0.008592896163463593
25,12,' simple',4285,0.013761780224740505,0.00582879688590765,0.007932983338832855
25,13,' bones',24854,0.009447022341191769,0.0016171259339898825,0.007829896174371243
25,14,'广阔',103362,0.007706992793828249,9.206010872730985e-06,0.007697786670178175
25,15,' Europe',4505,0.006537304259836674,9.673858585301787e-05,0.0064405654557049274
26,1,' Mars',21048,0.060207001864910126,1.0704769920266699e-05,0.060196295380592346
26,2,' Africa',10174,0.057483989745378494,1.1238586239414872e-06,0.05748286470770836
26,3,' February',7400,0.042302001267671585,2.134707392542623e-05,0.0422806553542614
26,4,' Mercury',43562,0.03837978467345238,7.129709501896286e-06,0.03837265446782112
26,5,' Berlin',19846,0.024112403392791748,1.265339165001933e-06,0.02411113865673542
26,6,' subjective',43022,0.02036101184785366,3.556853471309296e-06,0.02035745419561863
26,7,'柏林',114121,0.019605891779065132,4.5096129497324e-07,0.019605441018939018
26,8,' Earth',9237,0.01706940121948719,8.524010809196625e-06,0.01706087775528431
26,9,'ksz',139438,0.017517143860459328,0.0028319787234067917,0.014685165137052536
26,10,'广阔',103362,0.008966324850916862,4.8951496864901856e-05,0.008917373605072498
26,11,' straightforward',30339,0.01590844988822937,0.00716522429138422,0.00874322559684515
26,12,'agini',90069,0.00856443028897047,0.0001805064093787223,0.008383924141526222
26,13,' quite',5008,0.008412976749241352,0.0007006678497418761,0.007712308783084154
26,14,' Venus',48976,0.007567385211586952,1.0181483048654627e-05,0.0075572035275399685
26,15,'redni',127752,0.01484940480440855,0.007979979738593102,0.006869425065815449
