pair,prompt_id,arm,layer,lens_logodds,lens_entropy
0,ale_01_3_u,uncertain,0,-2.971830368041992,0.8702786564826965
0,ale_01_3_u,uncertain,1,-2.7725515365600586,5.265824794769287
0,ale_01_3_u,uncertain,2,-4.72601318359375,0.09168761223554611
0,ale_01_3_u,uncertain,3,-1.2550945281982422,7.248416423797607
0,ale_01_3_u,uncertain,4,-1.0404777526855469,0.20602025091648102
0,ale_01_3_u,uncertain,5,-0.7542200088500977,8.523064613342285
0,ale_01_3_u,uncertain,6,-2.149515151977539,1.827093243598938
0,ale_01_3_u,uncertain,7,-2.715677261352539,0.7574483752250671
0,ale_01_3_u,uncertain,8,-1.870863914489746,1.4576835632324219
0,ale_01_3_u,uncertain,9,-1.9769287109375,1.1999309062957764
0,ale_01_3_u,uncertain,10,-1.6554222106933594,1.5081759691238403
0,ale_01_3_u,uncertain,11,-3.321164131164551,1.337060570716858
0,ale_01_3_u,uncertain,12,-2.6176347732543945,1.1973276138305664
0,ale_01_3_u,uncertain,13,-3.788954734802246,2.826524496078491
0,ale_01_3_u,uncertain,14,-4.732147693634033,6.938037872314453
0,ale_01_3_u,uncertain,15,-2.698396682739258,9.913640975952148
0,ale_01_3_u,uncertain,16,-2.34527587890625,9.156318664550781
0,ale_01_3_u,uncertain,17,-3.4784631729125977,9.834413528442383
0,ale_01_3_u,uncertain,18,-3.4762744903564453,10.094436645507812
0,ale_01_3_u,uncertain,19,-5.653058052062988,9.679107666015625
0,ale_01_3_u,uncertain,20,-6.938640594482422,9.294806480407715
0,ale_01_3_u,uncertain,21,-5.650228500366211,8.925420761108398
0,ale_01_3_u,uncertain,22,-5.336259841918945,7.454720497131348
0,ale_01_3_u,uncertain,23,-5.373785018920898,7.700930595397949
0,ale_01_3_u,uncertain,24,-4.567017555236816,7.020308017730713
0,ale_01_3_u,uncertain,25,-4.195904731750488,6.345745086669922
0,ale_01_3_u,uncertain,26,-2.659759521484375,7.282759666442871
0,ale_01_3_u,uncertain,-1,-2.3860692977905273,1.4714505672454834
0,ale_01_3_c,control,0,-3.0250062942504883,0.8436858057975769
0,ale_01_3_c,control,1,-2.839519500732422,5.239447116851807
0,ale_01_3_c,control,2,-4.821127891540527,0.0899689793586731
0,ale_01_3_c,control,3,-1.359013557434082,7.100799560546875
0,ale_01_3_c,control,4,-1.1932907104492188,0.22610217332839966
0,ale_01_3_c,control,5,-0.843653678894043,8.758336067199707
0,ale_01_3_c,control,6,-2.2642459869384766,2.044694423675537
0,ale_01_3_c,control,7,-2.849991798400879,0.7024276256561279
0,ale_01_3_c,control,8,-2.148540496826172,1.3092539310455322
0,ale_01_3_c,control,9,-2.4041309356689453,1.4466049671173096
0,ale_01_3_c,control,10,-1.7458925247192383,1.5772912502288818
0,ale_01_3_c,control,11,-3.088857650756836,1.3100612163543701
0,ale_01_3_c,control,12,-2.719179153442383,1.627397060394287
0,ale_01_3_c,control,13,-3.7264347076416016,2.429966688156128
0,ale_01_3_c,control,14,-4.930807113647461,4.898006916046143
0,ale_01_3_c,control,15,-3.164015769958496,9.614055633544922
0,ale_01_3_c,control,16,-2.7481184005737305,7.474408149719238
0,ale_01_3_c,control,17,-3.433812141418457,9.171282768249512
0,ale_01_3_c,control,18,-3.8663787841796875,10.027826309204102
0,ale_01_3_c,control,19,-3.571168899536133,10.171542167663574
0,ale_01_3_c,control,20,-3.974940299987793,9.528916358947754
0,ale_01_3_c,control,21,-3.4639892578125,9.26288890838623
0,ale_01_3_c,control,22,-2.9409236907958984,8.783137321472168
0,ale_01_3_c,control,23,-1.6666946411132812,7.140391826629639
0,ale_01_3_c,control,24,-1.7131471633911133,6.084842681884766
0,ale_01_3_c,control,25,-3.10733699798584,3.789332866668701
0,ale_01_3_c,control,26,-3.1180295944213867,3.6133737564086914
0,ale_01_3_c,control,-1,-6.918477535247803,0.0944160670042038
1,ale_14_0_u,uncertain,0,-2.8505611419677734,0.8912248015403748
1,ale_14_0_u,uncertain,1,-2.69295597076416,5.555283546447754
1,ale_14_0_u,uncertain,2,-4.683065414428711,0.10336197167634964
1,ale_14_0_u,uncertain,3,-1.1577634811401367,7.240907669067383
1,ale_14_0_u,uncertain,4,-0.9674816131591797,0.23282799124717712
1,ale_14_0_u,uncertain,5,-0.465972900390625,9.126834869384766
1,ale_14_0_u,uncertain,6,-1.9318656921386719,6.859914779663086
1,ale_14_0_u,uncertain,7,-3.203181266784668,2.7282488346099854
1,ale_14_0_u,uncertain,8,-2.4156599044799805,2.049492597579956
1,ale_14_0_u,uncertain,9,-2.219906806945801,1.9294068813323975
1,ale_14_0_u,uncertain,10,-1.7412376403808594,1.543000340461731
1,ale_14_0_u,uncertain,11,-2.7737207412719727,1.070497751235962
1,ale_14_0_u,uncertain,12,-2.6777896881103516,1.0507640838623047
1,ale_14_0_u,uncertain,13,-3.7554683685302734,2.4692304134368896
1,ale_14_0_u,uncertain,14,-4.511189937591553,6.821342468261719
1,ale_14_0_u,uncertain,15,-2.6644201278686523,9.933021545410156
