pair,set,direction,logodds_rec,entropy_rec
0,direction,control_to_uncertain,-1.0,0.5280872192133305
0,direction,uncertain_to_control,1.4521849227435881,0.7973918053371446
0,random0,control_to_uncertain,-0.011121311466818187,-0.00715376653766758
0,random1,control_to_uncertain,-0.011583166297655939,-0.0044762679772072005
0,random2,control_to_uncertain,0.043249265563470536,-0.011897157426952824
0,random3,control_to_uncertain,0.030290361471829803,-0.010199482725045263
0,random4,control_to_uncertain,-0.012106274215987776,-0.006266528868674082
0,random5,control_to_uncertain,-0.007608375928431936,-0.016736493134197363
0,random6,control_to_uncertain,-0.009362332430223344,-0.01881794710794211
0,random7,control_to_uncertain,-0.0022550089412038056,0.006844660770589846
0,random8,control_to_uncertain,-0.00867282575014287,-0.004956215975563684
0,random9,control_to_uncertain,-0.01180972629150661,-0.018832725072902002
1,direction,control_to_uncertain,2.0,0.6157734373715271
1,direction,uncertain_to_control,1.2259094068439758,0.8223778453082528
1,random0,control_to_uncertain,-0.019751093547761205,-0.005068670154201778
1,random1,control_to_uncertain,0.15527211594430704,0.005946963414029359
1,random2,control_to_uncertain,0.03878226303599804,0.004910828567333162
1,random3,control_to_uncertain,0.10507882631195031,0.009203498204632878
1,random4,control_to_uncertain,-0.02386770835124189,-0.008624443588983616
1,random5,control_to_uncertain,0.14860644806354242,0.004447792049989298
1,random6,control_to_uncertain,-0.04438784657666132,-0.0007124236349065827
1,random7,control_to_uncertain,-0.006706806398451718,-0.0008085011225657402
1,random8,control_to_uncertain,0.0633791055626644,-0.0001577121023839
1,random9,control_to_uncertain,-0.03455052178376613,-0.01036626887738117
2,direction,control_to_uncertain,-1.0,0.6463826661074187
2,direction,uncertain_to_control,0.9066512028822686,0.9343455978514124
2,random0,control_to_uncertain,-0.03435538778909852,0.0172868682721888
2,random1,control_to_uncertain,-0.05402104801844032,0.05801509719161687
2,random2,control_to_uncertain,-9.999806299151591e-05,0.0020124058794259102
2,random3,control_to_uncertain,-0.03326297553558285,0.020091879750632435
2,random4,control_to_uncertain,-0.006536071940495099,0.003980190151689509
2,random5,control_to_uncertain,-0.028261680161159104,0.005559251576942971
2,random6,control_to_uncertain,0.026497610215782744,-0.03307505121920497
2,random7,control_to_uncertain,-0.00473344341998218,-0.006750019209101321
2,random8,control_to_uncertain,-0.0020104332119474685,0.017278144175916683
2,random9,control_to_uncertain,-0.0012854472552589781,0.018210764369203325
3,direction,control_to_uncertain,0.34817379779637214,0.6727957754030423
3,direction,uncertain_to_control,1.1802419902544525,0.3776705500199077
3,random0,control_to_uncertain,0.003264824375737675,0.013771762506147681
3,random1,control_to_uncertain,-0.025773940221154035,0.0010123007152432113
3,random2,control_to_uncertain,-0.025815282970347953,0.009929951313611182
3,random3,control_to_uncertain,0.0014709974350351775,0.0005340574392729479
3,random4,control_to_uncertain,-0.03877217969259984,0.05579371085243328
3,random5,control_to_uncertain,0.024071568452910808,-0.05424639697594276
3,random6,control_to_uncertain,0.028143005031023547,-0.04864739536134605
3,random7,control_to_uncertain,-0.001168212898673999,-0.018867098640256118
3,random8,control_to_uncertain,-0.034478468142345654,0.006105343116613181
3,random9,control_to_uncertain,-0.007616560837141218,-0.005826463444494631
4,direction,control_to_uncertain,0.2392799482300141,0.7871264562497489
4,direction,uncertain_to_control,0.9562627981785157,0.7458053223678838
4,random0,control_to_uncertain,0.015973225365883588,-0.013058773663045746
4,random1,control_to_uncertain,3.808750362997228e-05,0.0297044055511076
4,random2,control_to_uncertain,0.033709280313040935,-0.056699062098036615
4,random3,control_to_uncertain,0.006544003140690367,-0.004648030760177168
4,random4,control_to_uncertain,-0.0005109425657027574,0.009948492517134954
4,random5,control_to_uncertain,0.007818975847237087,0.008755537562094365
4,random6,control_to_uncertain,0.015556750173129727,-0.039972200390508035
4,random7,control_to_uncertain,0.006536385639964373,0.0015552485913323461
4,random8,control_to_uncertain,0.02578490312922784,-0.009004195865834263
4,random9,control_to_uncertain,0.007820426799756322,0.019749215894601716
5,direction,control_to_uncertain,0.20094811845499233,0.7102126879842644
5,direction,uncertain_to_control,0.8595250908977257,0.9575664610245932
5,random0,control_to_uncertain,-0.019338461783617724,0.0260545025492228
5,random1,control_to_uncertain,-0.004848712666806208,0.03382427570198519
5,random2,control_to_uncertain,0.0003780557097535987,0.00745745755870637
5,random3,control_to_uncertain,0.007164198039606782,0.0037703590284245167
5,random4,control_to_uncertain,-0.015519991341130883,0.005191891847097241
5,random5,control_to_uncertain,-0.0008376732245334522,0.004464622397847691
5,random6,control_to_uncertain,0.007926237027766195,0.001975041228320196
5,random7,control_to_uncertain,0.01185286635280319,0.0014815825897116783
5,random8,control_to_uncertain,-0.016364669874071498,0.009226157552499097
5,random9,control_to_uncertain,-0.0011956752767039085,0.007999750999294557
6,direction,control_to_uncertain,-1.0,0.4157162565570479
6,direction,uncertain_to_control,0.618314368157144,1.211456312586183
6,random0,control_to_uncertain,-0.04799087213692372,0.06013305127659766
6,random1,control_to_uncertain,-0.048853903466682724,0.051301433559478846
6,random2,control_to_uncertain,-0.05071832331704251,0.04340878878408335
6,random3,control_to_uncertain,0.0033372744169512508,-0.011844118031118192
6,random4,control_to_uncertain,-0.054858729266525436,0.05435218664336934
6,random5,control_to_uncertain,0.0024398084361183614,-0.008403565434634268
6,random6,control_to_uncertain,0.005103854495247812,-0.009598945556716847
6,random7,control_to_uncertain,-0.05405023665059304,0.0552062460107403
6,random8,control_to_uncertain,-0.05889232593902469,0.06134305077410398
6,random9,control_to_uncertain,-0.0025857948610304086,0.00024057583598848428
7,direction,control_to_uncertain,-0.8054453781261347,0.6500090394862881
7,direction,uncertain_to_control,1.104307113690213,0.859509635666834
7,random0,control_to_uncertain,0.0007445969767251076,-0.002194666469724379
7,random1,control_to_uncertain,-0.03896739750976273,0.03560548634358065
7,random2,control_to_uncertain,-0.0007334780107029859,-0.011536223973898191
7,random3,control_to_uncertain,-0.0021795042137143757,-0.008253455939059174
7,random4,control_to_uncertain,-0.012781017850705737,-0.008866109352937511
7,random5,control_to_uncertain,-8.03555527649131e-06,-0.012690011099967521
7,random6,control_to_uncertain,0.04534921682301428,-0.006975298659959647
7,random7,control_to_uncertain,-0.04132471174314179,0.033867941959497064
7,random8,control_to_uncertain,-0.010753628567109126,-0.009355353531082793
7,random9,control_to_uncertain,0.00128325949031781,0.034791795303750074
8,direction,control_to_uncertain,-0.20331968217449453,0.7878011290837454
8,direction,uncertain_to_control,0.6431524309909253,0.972157430365152
8,random0,control_to_uncertain,0.02057648670339746,-0.046001416820811526
8,random1,control_to_uncertain,-0.04325914834777484,-0.01940271965459891
8,random2,control_to_uncertain,0.022820489732515107,-0.03653203953688034
8,random3,control_to_uncertain,0.017818172603092042,0.002205109592255879
8,random4,control_to_uncertain,-0.006493488987636854,-0.0017003307372861467
8,random5,control_to_uncertain,0.01516553793662523,-0.03912917994936178
8,random6,control_to_uncertain,0.01912096817458458,0.0010054763331161457
8,random7,control_to_uncertain,0.022493139598488244,-0.008089580390733526
8,random8,control_to_uncertain,-0.043850764463996335,-0.02465953300303334
8,random9,control_to_uncertain,-0.015518903543523078,-0.017727897522458506
9,direction,control_to_uncertain,-0.2192944530631452,0.853177728128437
9,direction,uncertain_to_control,0.926567084018136,0.9626158717558619
9,random0,control_to_uncertain,-0.01811234802267145,0.015945956845949568
9,random1,control_to_uncertain,-0.01925479617897543,0.005971416239515659
9,random2,control_to_uncertain,0.000591187793499343,0.021057025468832504
