layer,head,attr_score,attr_abs,rec_control_to_uncertain,rec_uncertain_to_control,n_pairs
29,0,-0.4251210131675799,0.4274832696773303,0.18041574439054534,0.5226611579665346,80
15,10,-0.38131333651661875,0.4805249833865062,0.1641434016416054,-0.32614644735165954,80
14,22,-0.2892986515602968,0.3505069120447607,0.12328549049939944,-0.18042289942455203,80
13,17,-0.2889765483960449,0.39819930708321594,0.08028606415564521,0.0854919668677341,80
12,28,-0.21174207080123061,0.4340335612852433,0.06022217227085521,0.24596917221181397,80
11,13,-0.13083662663263143,0.4611186047861576,0.05567792374830399,-0.13669937379662053,80
8,9,-0.11020810042179861,0.3997570962911752,0.04471971266486339,0.1214344633009122,80
10,0,-0.03518805369715246,0.4356363916872599,0.04367393423678505,0.03626869254287816,80
11,11,0.003659091653932467,0.38793611450891485,0.017865936101101397,-0.04286818644577679,80
15,4,-0.020696770668663822,0.41307088341815307,0.015468156165528291,0.43303868706891874,80
12,12,-0.03447744589861586,0.5155967858509534,-0.0023105931319695196,-0.08937023197797973,80
7,6,-0.022548990622172485,0.3605754066579664,-0.010525567822056676,-0.007483360963487883,80
15,7,0.09636791321488514,0.3581554856832617,-0.021780404330394458,0.4489455960589492,80
15,6,0.15104801302525867,0.6110697683235964,-0.030560342126923257,-0.4340952905051233,80
12,11,-0.021855979143485273,0.5002269366741783,-0.03688952824661269,0.17905909489386795,80
13,0,-0.005180093932611388,0.3951102867734505,-0.047764921004845785,-0.0508706546557627,80
14,30,0.17930757550370202,0.37036843887558746,-0.057116777019733764,-0.3343976950746364,80
13,18,-0.1328733365314161,0.4968882408988769,-0.057664825231519834,0.558853296127652,80
13,16,0.09805624264362062,0.39642411859634397,-0.05869953978096156,0.21801758445088898,80
13,21,0.17122358578138622,0.37131149383151707,-0.060122789873076156,0.3999536691427325,80
12,15,0.06106440909949749,0.3732075840049359,-0.06040088648690041,0.3277516317001206,80
8,11,0.0503490942116115,0.44231280907723947,-0.0654547660672419,-0.015109281660343666,80
11,26,0.08982686940975242,0.42887281610837247,-0.07515128349607023,0.4984994920549079,80
15,11,0.27610621452334094,0.37209625155377096,-0.08484737553467847,0.38896606517837706,80
15,8,0.38257007646801355,0.45690547237478507,-0.09120425754949521,0.21337910940012078,80
14,31,0.24188092729634716,0.37885718098545274,-0.0933897468275076,0.487962173766753,80
31,14,0.33954026857391,0.34506363375112414,-0.1313391316701505,-0.06147457088872512,80
13,1,0.30832249293084324,0.3840538520179001,-0.13273056660984364,0.08707051015436687,80
10,1,0.12956237553049038,0.35742028885292654,-0.14431958267499856,0.13516567171542423,80
11,20,0.3606458113659297,0.5364559801737567,-0.18102508108857746,0.24836457924211608,80
