pair,layer,positions,rec
0,0,last,0.01273984419297713
0,0,all,0.01854517409379056
0,1,last,-0.0008532033418698456
0,1,all,0.013781424083713356
0,2,last,0.0024848506020793974
0,2,all,0.025697033539624912
0,3,last,0.0024822708376441376
0,3,all,0.06477380034235623
0,4,last,-0.0013483568781625628
0,4,all,0.03801659111002426
0,5,last,0.002893850755252911
0,5,all,-0.008388856492541525
0,6,last,0.005564659377040634
0,6,all,0.14251478661854688
0,7,last,-0.007530332386523956
0,7,all,0.13281954816500818
0,8,last,0.005249175684645296
0,8,all,-0.04807611379985865
0,9,last,-0.02511793016900144
0,9,all,-0.1347595847654161
0,10,last,0.025438250919712895
0,10,all,0.07137289151284373
0,11,last,0.008965756314376544
0,11,all,0.32499383275064697
0,12,last,-0.040636556874400404
0,12,all,-0.09616136426542551
0,13,last,0.17543166714589373
0,13,all,0.40308512953910897
0,14,last,0.11120122968771413
0,14,all,0.2088947590473145
0,15,last,-0.04591797961448645
0,15,all,-0.09228387082904492
0,16,last,0.1116038341748919
0,16,all,0.23697366759197802
0,17,last,-0.197739696393973
0,17,all,-0.2697708040534549
0,18,last,0.05557457534658866
0,18,all,0.05539635662018612
0,19,last,0.157136945182693
0,19,all,0.28242771956885687
0,20,last,0.024611221437842456
0,20,all,0.03829187347330347
0,21,last,0.40179508608620174
0,21,all,0.5108046446508853
0,22,last,0.0005020866532124786
0,22,all,0.02611216063333217
0,23,last,0.028909968908464045
0,23,all,0.036282129488051124
0,24,last,0.09487035340085509
0,24,all,0.12519489314132004
0,25,last,-0.14333445302275835
0,25,all,-0.07766413079405687
0,26,last,0.015076627065491082
0,26,all,0.02084723763661331
0,27,last,-0.052077650909501325
0,27,all,-0.0691190373179049
0,28,last,-0.010011259596858063
0,28,all,0.027923262757069495
0,29,last,-0.07733193237792474
0,29,all,-0.07733569453439283
0,30,last,-0.2586677666495578
0,30,all,-0.26860066590169485
0,31,last,0.2178374855895971
0,31,all,0.2178374855895971
1,0,last,-0.003494019840294473
1,0,all,-0.01422047105677502
1,1,last,-0.0005879951026814268
1,1,all,0.011920171271424758
1,2,last,-0.02429501348788876
1,2,all,0.022831573380802626
1,3,last,-0.011307763944243772
1,3,all,-0.0307505648897136
1,4,last,-0.0053472471875689286
1,4,all,-0.06267059928023277
1,5,last,-0.006471287316954797
1,5,all,-0.00837080627757389
1,6,last,-0.011304853877747137
1,6,all,-0.05239245997459512
1,7,last,0.0032379878787107998
1,7,all,0.02972217972387457
1,8,last,0.0110323854294695
1,8,all,0.04394620752858992
1,9,last,-0.006278145125770649
1,9,all,0.036879757722952725
1,10,last,-0.0072647115582506125
1,10,all,-0.0756334365993782
1,11,last,0.04509762383909229
1,11,all,0.36263933762144207
1,12,last,-0.01846076128309574
1,12,all,-0.06988497746611565
1,13,last,0.12995354617739324
1,13,all,0.15359438749486226
1,14,last,0.07712683961335563
1,14,all,0.30243399578482255
1,15,last,-0.011520468249099752
1,15,all,-0.10028989112417323
1,16,last,0.04800402580754749
1,16,all,0.12593646882938855
1,17,last,-0.21222053324597387
1,17,all,-0.2466383747127724
1,18,last,0.0013627194722303402
1,18,all,-0.046721117603493414
1,19,last,-0.04464640186175276
1,19,all,0.04031886353065327
1,20,last,-0.00325226876059244
1,20,all,0.04610299792355978
1,21,last,0.5180073028657635
1,21,all,0.6507573151661834
1,22,last,-0.07277057784813193
1,22,all,-0.04379208178450882
1,23,last,0.07817112236468554
1,23,all,0.08016451791488131
1,24,last,0.07463679271440063
1,24,all,0.10014600450295068
1,25,last,-0.10741653619419456
1,25,all,-0.03399528903346291
1,26,last,0.062160098170554366
1,26,all,0.04100289082772369
1,27,last,-0.030771420366272825
1,27,all,-0.014577061982853565
1,28,last,-0.010204148170454666
1,28,all,0.04250006615012268
1,29,last,-0.041139394502464045
1,29,all,-0.04517323167788452
1,30,last,-0.18129498713561992
1,30,all,-0.1739653918725184
1,31,last,0.42731890669663963
1,31,all,0.42731890669663963
2,0,last,-6.694246172177786e-05
2,0,all,0.014771953454975378
2,1,last,-0.0003394446181267764
2,1,all,-0.03331777586579328
2,2,last,0.008210458423752487
2,2,all,0.02830458406006326
2,3,last,-0.0003405291057246255
2,3,all,0.07731632501856692
2,4,last,-0.009395507598856713
2,4,all,0.20745626631229555
2,5,last,-0.011417091071029107
2,5,all,-0.016885718372964948
2,6,last,0.0007246348949264614
2,6,all,0.0018442697499240612
2,7,last,0.0023232189090468844
2,7,all,-0.04349066389274457
2,8,last,0.010552162916853618
2,8,all,-0.017826314184535817
2,9,last,-0.015171439250110347
2,9,all,-0.36225277256648625
2,10,last,0.014915105817891463
