pair,alpha,layer,rankunknown,rankI,ranknot
0,-3.0,20,144123,151377,151946
0,-3.0,21,134191,151159,151640
0,-3.0,22,132070,151682,151390
0,-3.0,23,125588,151820,150043
0,-3.0,24,109032,151577,137515
0,-3.0,25,105672,150637,132970
0,-3.0,26,122669,150975,133278
0,0.0,20,146126,151687,149611
0,0.0,21,133297,151218,148598
0,0.0,22,122965,151620,148834
0,0.0,23,121714,151722,142880
0,0.0,24,90033,151522,115302
0,0.0,25,56971,141605,37504
0,0.0,26,53081,130784,26782
0,3.0,20,126892,151106,63078
0,3.0,21,62124,151509,46737
0,3.0,22,82157,150973,35919
0,3.0,23,94115,150293,19896
0,3.0,24,71538,147513,2832
0,3.0,25,44233,115977,405
0,3.0,26,61833,112902,54
1,-3.0,20,147433,151547,151849
1,-3.0,21,137600,151631,151241
1,-3.0,22,141075,151717,151241
1,-3.0,23,98802,151752,150069
1,-3.0,24,93367,151763,141436
1,-3.0,25,84761,150322,135085
1,-3.0,26,104582,150415,131801
1,0.0,20,148895,151759,147816
1,0.0,21,139481,151727,143192
1,0.0,22,140501,151783,147629
1,0.0,23,123770,151787,142623
1,0.0,24,101202,151714,101078
1,0.0,25,96856,150125,63403
1,0.0,26,108010,150366,43514
1,3.0,20,123729,150866,28901
1,3.0,21,62930,150794,10188
1,3.0,22,130090,149956,8844
1,3.0,23,106005,148817,6074
1,3.0,24,91339,147035,1255
1,3.0,25,80864,145326,249
1,3.0,26,96642,142519,56
2,-3.0,20,142671,150848,151922
2,-3.0,21,132733,150305,151432
2,-3.0,22,129327,150997,150975
2,-3.0,23,118305,151432,149843
2,-3.0,24,67029,150086,126233
2,-3.0,25,69857,150558,135159
2,-3.0,26,88097,151032,135367
2,0.0,20,146173,151081,148626
2,0.0,21,133578,150519,144932
2,0.0,22,122972,150905,145164
2,0.0,23,99739,151045,134925
2,0.0,24,38005,149039,79841
2,0.0,25,23816,131206,33032
2,0.0,26,54830,140408,49025
2,3.0,20,120727,149391,35100
2,3.0,21,55234,150808,17221
2,3.0,22,73758,150283,8519
2,3.0,23,76896,148707,6652
2,3.0,24,44327,143367,851
2,3.0,25,29607,134286,223
2,3.0,26,48635,135059,35
3,-3.0,20,140390,150710,151886
3,-3.0,21,129238,150445,151407
3,-3.0,22,127890,151047,150853
3,-3.0,23,105414,151426,149501
3,-3.0,24,56731,150284,128533
3,-3.0,25,42969,149625,134228
3,-3.0,26,68679,149962,132221
3,0.0,20,144163,150699,148264
3,0.0,21,124524,150005,144951
3,0.0,22,95436,150767,144506
3,0.0,23,56723,150239,130990
3,0.0,24,13714,147047,80330
3,0.0,25,4549,117991,27848
3,0.0,26,8797,132602,27541
3,3.0,20,122889,148414,38522
3,3.0,21,49845,149867,21046
3,3.0,22,67747,149192,13217
3,3.0,23,62985,147234,7295
3,3.0,24,27254,137654,757
3,3.0,25,15616,122775,250
3,3.0,26,30136,124247,54
4,-3.0,20,144529,151287,151911
4,-3.0,21,135788,151221,151369
4,-3.0,22,136320,151560,151210
4,-3.0,23,124616,151724,150264
4,-3.0,24,119737,151532,142543
4,-3.0,25,108824,150124,144141
4,-3.0,26,117314,149829,140646
4,0.0,20,146871,151622,149442
4,0.0,21,136183,151205,147937
4,0.0,22,128809,150583,149303
4,0.0,23,122303,150938,146570
4,0.0,24,107111,149640,126717
4,0.0,25,92502,128607,104806
4,0.0,26,110177,135842,117725
4,3.0,20,128447,150984,62012
4,3.0,21,62414,151380,45458
4,3.0,22,81718,150354,23723
4,3.0,23,93140,149813,15779
4,3.0,24,88435,146784,3488
4,3.0,25,84361,126015,1897
4,3.0,26,99132,115141,301
5,-3.0,20,146161,151489,152001
5,-3.0,21,139507,151522,151839
5,-3.0,22,140085,151872,151696
5,-3.0,23,133431,151903,151265
5,-3.0,24,121013,151677,144431
5,-3.0,25,118176,150543,142056
5,-3.0,26,136474,150577,142969
5,0.0,20,147516,151670,150367
5,0.0,21,138270,151412,149678
5,0.0,22,133405,151715,149687
5,0.0,23,131442,151575,145958
5,0.0,24,103577,150731,110695
5,0.0,25,63226,115476,41145
5,0.0,26,93825,124784,56433
5,3.0,20,132725,151059,54517
5,3.0,21,84540,151349,30687
5,3.0,22,93203,150288,17199
5,3.0,23,98408,149052,9737
5,3.0,24,71889,145887,1168
5,3.0,25,51445,122203,285
5,3.0,26,72225,119354,41
6,-3.0,20,139099,151142,151927
6,-3.0,21,123461,150911,151569
6,-3.0,22,117543,151376,151329
6,-3.0,23,105163,151442,150044
6,-3.0,24,73179,150872,140458
6,-3.0,25,56641,149875,139408
6,-3.0,26,72915,149994,136106
6,0.0,20,143835,151254,150035
6,0.0,21,121155,150744,148448
6,0.0,22,96340,151268,148251
6,0.0,23,76260,150813,139122
6,0.0,24,27910,148770,112448
6,0.0,25,6961,112414,40038
6,0.0,26,10633,100190,32630
6,3.0,20,120890,149612,59693
6,3.0,21,30639,150943,27574
6,3.0,22,37542,150891,15115
6,3.0,23,37724,149822,8161
6,3.0,24,10543,145116,1024
6,3.0,25,3936,118317,125
6,3.0,26,9374,115058,20
7,-3.0,20,150623,151564,151882
7,-3.0,21,147484,151683,151417
7,-3.0,22,149192,151655,151535
7,-3.0,23,132392,151673,150434
7,-3.0,24,125142,151724,145268
7,-3.0,25,120517,150772,140058
7,-3.0,26,137395,151241,139518
7,0.0,20,151285,151737,148862
7,0.0,21,148532,151640,147289
7,0.0,22,149835,151568,150567
7,0.0,23,145923,151594,148248
7,0.0,24,142792,151179,128313
7,0.0,25,129838,142572,101081
7,0.0,26,142377,149929,119606
7,3.0,20,137433,151048,26037
7,3.0,21,102363,150879,13189
7,3.0,22,139631,149756,12982
7,3.0,23,126697,148332,8709
7,3.0,24,113338,146971,1694
7,3.0,25,90507,141676,395
7,3.0,26,101711,144409,77
8,-3.0,20,141410,150269,151902
8,-3.0,21,131453,150269,151404
8,-3.0,22,128996,150686,150654
8,-3.0,23,108506,151417,147932
8,-3.0,24,35556,148468,101345
8,-3.0,25,37436,147970,116297
8,-3.0,26,73627,148908,124306
8,0.0,20,147244,150077,149486
8,0.0,21,131552,149318,146670
8,0.0,22,117469,149967,140727
8,0.0,23,76805,150690,119155
8,0.0,24,13877,145103,57214
8,0.0,25,8189,112444,18216
8,0.0,26,20511,127273,28330
8,3.0,20,117232,147087,31313
8,3.0,21,34689,148833,13363
8,3.0,22,68060,146210,6542
8,3.0,23,62881,145385,2990
8,3.0,24,18096,131649,217
8,3.0,25,10309,113435,25
8,3.0,26,18896,114341,8
9,-3.0,20,144804,151367,151899
9,-3.0,21,136406,151145,151215
9,-3.0,22,135597,151556,150770
9,-3.0,23,123877,151648,147415
9,-3.0,24,102074,150525,118180
9,-3.0,25,96924,148164,122513
9,-3.0,26,109361,148826,130431
9,0.0,20,147846,151554,149109
9,0.0,21,138487,150813,147576
9,0.0,22,125957,151249,148149
9,0.0,23,104402,151117,139704
9,0.0,24,58705,148996,97536
9,0.0,25,35111,128676,43423
9,0.0,26,26906,125140,36906
