layer,head,group,mean_score,mean_abs,n
0,0,prefix,-1.7053929695975967e-05,4.9679967196425424e-05,80
0,1,prefix,7.297205934264639e-06,1.7716165643832937e-05,80
0,2,prefix,1.4336086587718455e-05,7.959793547342997e-05,80
0,3,prefix,1.167719983641291e-06,6.908076647960115e-06,80
0,4,prefix,-9.933461058153625e-07,1.943856131561006e-05,80
0,5,prefix,1.0323586081995018e-05,2.2568335350570123e-05,80
0,6,prefix,-1.2539324649196714e-05,4.13059072627675e-05,80
0,7,prefix,1.3743389104092785e-06,8.161999255662522e-06,80
0,8,prefix,-7.34255377210502e-07,3.7040015058664722e-06,80
0,9,prefix,-1.4348025842991774e-06,2.0410687170624442e-05,80
0,10,prefix,-1.157106810296682e-05,4.640064933028043e-05,80
0,11,prefix,-6.550866544330347e-06,1.9421647527906317e-05,80
0,12,prefix,-3.124161474943321e-06,1.6791949593653045e-05,80
0,13,prefix,-1.4106606784025645e-06,5.469153433068641e-06,80
0,14,prefix,-5.555953208613573e-06,6.073109017279421e-06,80
0,15,prefix,1.3509329647831692e-06,4.464469841991558e-06,80
0,16,prefix,1.445749860025103e-05,2.4254168062753935e-05,80
0,17,prefix,1.645833336283431e-06,2.7661849259175143e-06,80
0,18,prefix,-3.540822177683367e-07,1.3542471634764297e-06,80
0,19,prefix,7.038810784365523e-06,1.8359689713065562e-05,80
0,20,prefix,-2.5002993277212225e-05,5.214169849523387e-05,80
0,21,prefix,6.205829919281313e-07,1.0096913200641211e-06,80
0,22,prefix,7.097495071661797e-07,2.6952931321488905e-06,80
0,23,prefix,-9.278455755179493e-06,2.577025792618315e-05,80
0,24,prefix,2.0819064610577696e-05,4.965762365713999e-05,80
0,25,prefix,2.443534299345629e-07,1.0159003352328e-05,80
0,26,prefix,-3.906575813061863e-06,7.700819679712367e-06,80
0,27,prefix,9.373731467121616e-06,1.7826440074486528e-05,80
0,28,prefix,7.509995140253523e-06,1.070865301358026e-05,80
0,29,prefix,-1.66239729537665e-08,5.478990952667573e-06,80
0,30,prefix,-3.3688744139226403e-06,6.94500410247656e-06,80
0,31,prefix,1.916477776831016e-06,2.8870228561572732e-06,80
0,0,entity,0.014195528245181777,0.1052056869462831,80
0,1,entity,-0.06127396938027232,0.14611596503891633,80
0,2,entity,-0.0750136394490255,0.4510833040199941,80
0,3,entity,0.07751294948684517,0.34355181361024734,80
0,4,entity,-0.0025092564919759752,0.029408979096115218,80
0,5,entity,0.0003613456015955308,0.03165399909830739,80
0,6,entity,0.07995169497735333,0.18445182606665184,80
0,7,entity,0.007367792947843554,0.038515973724497596,80
0,8,entity,0.004779645892995177,0.03866647676113644,80
0,9,entity,-0.0009528537280857563,0.03635283838957548,80
0,10,entity,-0.01225834397773724,0.0319660201887018,80
0,11,entity,0.02031942748290021,0.10525089419388678,80
0,12,entity,0.03080756346535054,0.05351005150369019,80
0,13,entity,0.0009911967003063183,0.01095998409891763,80
0,14,entity,-0.0005211413827055367,0.008484305131423753,80
0,15,entity,0.007033372731530108,0.02694649187324103,80
0,16,entity,0.011787543007267231,0.014974845006145187,80
0,17,entity,0.0006981273916608188,0.009132325515201956,80
0,18,entity,-0.0035237813967796683,0.006083545505589427,80
0,19,entity,-9.446556673537998e-05,0.003516965006792816,80
0,20,entity,-0.002817499036245863,0.012021499612819753,80
0,21,entity,0.014465879611452691,0.021028634698086534,80
0,22,entity,-0.0014828293960817973,0.008164129007673182,80
0,23,entity,0.019051036675227805,0.07459502611600329,80
0,24,entity,0.16801179814938222,0.3872821850396576,80
0,25,entity,-0.014379598358209478,0.048668060395721115,80
0,26,entity,-0.0038418540731072425,0.10168212282587774,80
0,27,entity,0.011721319580829004,0.034740288773173235,80
0,28,entity,0.0019675181347338366,0.006093751005209924,80
0,29,entity,1.7345822698189295e-05,0.001260278468771503,80
0,30,entity,0.0009468180280236993,0.004922788069961825,80
0,31,entity,-1.3485670024238062e-06,4.080857888766332e-06,80
0,0,last,-2.1898721388424747e-05,0.0017744530665368074,80
0,1,last,0.00012359550019027665,0.0016753733609220945,80
0,2,last,-0.00020649049110943452,0.0009490041149547324,80
0,3,last,-0.00018573872293927706,0.0011138608999317512,80
