pair,arm,layer,group,pos,rank_unknown
0,uncertain,0,entity,35,57701
0,uncertain,0,readout,45,16499
0,uncertain,1,entity,35,58508
0,uncertain,1,readout,45,14173
0,uncertain,2,entity,35,19367
0,uncertain,2,readout,45,324
0,uncertain,3,entity,35,42882
0,uncertain,3,readout,45,1065
0,uncertain,4,entity,35,16305
0,uncertain,4,readout,45,530
0,uncertain,5,entity,35,13383
0,uncertain,5,readout,45,452
0,uncertain,6,entity,35,38833
0,uncertain,6,readout,45,332
0,uncertain,7,entity,35,6489
0,uncertain,7,readout,45,744
0,uncertain,8,entity,35,519
0,uncertain,8,readout,45,747
0,uncertain,9,entity,35,468
0,uncertain,9,readout,45,195
0,uncertain,10,entity,35,305
0,uncertain,10,readout,45,239
0,uncertain,11,entity,35,635
0,uncertain,11,readout,45,480
0,uncertain,12,entity,35,450
0,uncertain,12,readout,45,505
0,uncertain,13,entity,35,2549
0,uncertain,13,readout,45,2362
0,uncertain,14,entity,35,4650
0,uncertain,14,readout,45,745
0,uncertain,15,entity,35,5722
0,uncertain,15,readout,45,338
0,uncertain,16,entity,35,14699
0,uncertain,16,readout,45,1215
0,uncertain,17,entity,35,10348
0,uncertain,17,readout,45,35
0,uncertain,18,entity,35,12163
0,uncertain,18,readout,45,211
0,uncertain,19,entity,35,15380
0,uncertain,19,readout,45,37
0,uncertain,20,entity,35,21443
0,uncertain,20,readout,45,60
0,uncertain,21,entity,35,20813
0,uncertain,21,readout,45,38
0,uncertain,22,entity,35,20507
0,uncertain,22,readout,45,52
0,uncertain,23,entity,35,13600
0,uncertain,23,readout,45,40
0,uncertain,24,entity,35,20386
0,uncertain,24,readout,45,161
0,uncertain,25,entity,35,13402
0,uncertain,25,readout,45,24
0,uncertain,26,entity,35,13634
0,uncertain,26,readout,45,27
0,uncertain,27,entity,35,6263
0,uncertain,27,readout,45,10
0,uncertain,28,entity,35,6135
0,uncertain,28,readout,45,7
0,uncertain,29,entity,35,7650
0,uncertain,29,readout,45,25
0,uncertain,30,entity,35,5627
0,uncertain,30,readout,45,68
