pair,alpha,layer,rankunknown,rankI,ranknot
0,-3.0,16,2178,42429,2429
0,-3.0,17,492,56036,1011
0,-3.0,18,90,61359,432
0,-3.0,19,11,14281,350
0,-3.0,20,15,30846,402
0,-3.0,21,6,31461,454
0,-3.0,22,6,31590,1101
0,-3.0,23,14,48122,681
0,-3.0,24,14,70755,642
0,-3.0,25,8,73531,371
0,-3.0,26,6,60432,288
0,-3.0,27,3,28511,133
0,-3.0,28,3,27587,65
0,-3.0,29,7,9057,17
0,-3.0,30,18,1140,2
0,0.0,16,84,3115,3295
0,0.0,17,17,5012,3486
0,0.0,18,29,8395,2155
0,0.0,19,1,4862,2234
0,0.0,20,2,8547,1840
0,0.0,21,2,8453,2021
0,0.0,22,1,7622,3170
0,0.0,23,2,11682,1831
0,0.0,24,9,15821,1985
0,0.0,25,4,26598,1153
0,0.0,26,4,29151,1056
0,0.0,27,3,9990,479
0,0.0,28,2,6792,155
0,0.0,29,7,5907,64
0,0.0,30,12,554,5
0,3.0,16,47,1155,4410
0,3.0,17,7,1997,5505
0,3.0,18,8,4297,3753
0,3.0,19,1,2463,3241
0,3.0,20,1,2999,2633
0,3.0,21,1,3729,2610
0,3.0,22,1,3648,3164
0,3.0,23,1,5309,2225
0,3.0,24,2,6123,1623
0,3.0,25,2,7304,1242
0,3.0,26,2,8634,1034
0,3.0,27,3,4225,815
0,3.0,28,2,2731,284
0,3.0,29,6,2557,110
0,3.0,30,3,289,5
1,-3.0,16,100559,118856,67561
1,-3.0,17,66489,126363,37982
1,-3.0,18,44734,122281,17686
1,-3.0,19,24699,80921,9506
1,-3.0,20,10547,112722,6755
1,-3.0,21,665,117332,3116
1,-3.0,22,267,111110,2200
1,-3.0,23,84,106454,483
1,-3.0,24,162,113533,957
1,-3.0,25,6,115703,363
1,-3.0,26,4,107988,341
1,-3.0,27,1,78185,110
1,-3.0,28,1,76612,33
1,-3.0,29,1,30984,2
1,-3.0,30,10,1475,1
1,0.0,16,2862,9337,13933
1,0.0,17,2624,32506,15101
1,0.0,18,2221,23034,15784
1,0.0,19,1516,13344,22079
1,0.0,20,1694,48472,16726
1,0.0,21,173,70205,13215
1,0.0,22,131,61581,10162
1,0.0,23,86,56557,5027
1,0.0,24,232,82407,14553
1,0.0,25,67,93477,9391
1,0.0,26,25,83739,8494
1,0.0,27,145,39714,3545
1,0.0,28,78,32077,1454
1,0.0,29,125,12253,188
1,0.0,30,148,1269,13
1,3.0,16,534,3247,9626
1,3.0,17,372,6402,9285
1,3.0,18,435,5458,9747
1,3.0,19,82,4317,12314
1,3.0,20,181,13677,12052
1,3.0,21,10,21707,8270
1,3.0,22,29,18167,6311
1,3.0,23,23,21872,3448
1,3.0,24,59,47313,9608
1,3.0,25,16,57992,7385
1,3.0,26,6,58875,5222
1,3.0,27,38,22812,3598
1,3.0,28,35,11626,1247
1,3.0,29,133,5245,300
1,3.0,30,326,709,24
2,-3.0,16,1089,91883,188
2,-3.0,17,28,108071,110
2,-3.0,18,17,115979,134
2,-3.0,19,5,73958,208
2,-3.0,20,10,76961,223
2,-3.0,21,8,86158,198
2,-3.0,22,21,88365,153
2,-3.0,23,15,103529,83
2,-3.0,24,14,100894,29
2,-3.0,25,12,80562,22
2,-3.0,26,10,89021,20
2,-3.0,27,7,60875,14
2,-3.0,28,6,38032,7
2,-3.0,29,10,17601,3
2,-3.0,30,20,2309,1
2,0.0,16,6,5565,58
2,0.0,17,1,12100,43
2,0.0,18,3,42346,52
2,0.0,19,2,17499,91
2,0.0,20,2,21335,120
2,0.0,21,3,38300,149
2,0.0,22,5,46668,116
2,0.0,23,3,64753,60
2,0.0,24,5,56641,22
2,0.0,25,5,34958,16
2,0.0,26,5,48303,16
2,0.0,27,5,26617,11
2,0.0,28,4,12849,7
2,0.0,29,6,7158,5
2,0.0,30,8,1623,1
2,3.0,16,2,926,157
2,3.0,17,1,1643,68
2,3.0,18,1,4355,31
2,3.0,19,1,3084,52
2,3.0,20,1,5190,74
2,3.0,21,1,8584,97
2,3.0,22,1,13580,87
2,3.0,23,2,21102,56
2,3.0,24,2,19479,23
2,3.0,25,1,12414,18
2,3.0,26,3,17522,16
2,3.0,27,2,9391,10
2,3.0,28,2,4307,8
2,3.0,29,4,3307,5
2,3.0,30,5,1045,1
3,-3.0,16,97442,104159,26971
3,-3.0,17,14313,115361,5124
3,-3.0,18,10060,119814,4602
3,-3.0,19,4808,83004,3322
3,-3.0,20,3222,102652,3016
3,-3.0,21,274,108575,2015
3,-3.0,22,511,100064,2672
3,-3.0,23,249,112510,794
3,-3.0,24,341,115953,771
3,-3.0,25,39,113547,567
3,-3.0,26,37,116754,491
3,-3.0,27,17,103616,233
3,-3.0,28,33,86796,105
3,-3.0,29,52,29419,12
3,-3.0,30,69,5144,2
3,0.0,16,2846,5688,7292
3,0.0,17,127,10024,4293
3,0.0,18,674,24522,4274
3,0.0,19,167,9610,4051
3,0.0,20,115,37942,5211
3,0.0,21,9,46930,3807
3,0.0,22,31,37255,5173
3,0.0,23,9,52779,2285
3,0.0,24,19,63448,2076
3,0.0,25,3,83962,801
3,0.0,26,1,104446,874
3,0.0,27,4,75361,505
3,0.0,28,4,57345,105
3,0.0,29,6,15178,11
3,0.0,30,7,921,2
3,3.0,16,444,1894,6712
3,3.0,17,3,2994,4197
3,3.0,18,23,5410,3503
3,3.0,19,2,3098,2702
3,3.0,20,8,5406,5527
3,3.0,21,1,6471,3696
3,3.0,22,6,6376,3229
3,3.0,23,3,11158,1753
3,3.0,24,4,14583,1024
3,3.0,25,1,27637,645
3,3.0,26,1,51941,787
3,3.0,27,1,24882,592
3,3.0,28,1,13491,132
3,3.0,29,2,6618,9
3,3.0,30,4,814,2
4,-3.0,16,120485,125090,109161
4,-3.0,17,115714,126075,91239
4,-3.0,18,104420,126831,77338
4,-3.0,19,63197,112352,34662
4,-3.0,20,53920,124202,32257
4,-3.0,21,32104,117554,32201
4,-3.0,22,46727,115212,29297
4,-3.0,23,14575,115404,12540
4,-3.0,24,23836,122248,18759
4,-3.0,25,12108,117745,9932
4,-3.0,26,6499,111737,8110
4,-3.0,27,2811,96037,2476
4,-3.0,28,2416,79369,1473
4,-3.0,29,2704,39573,562
4,-3.0,30,3239,4658,115
4,0.0,16,6756,43676,65503
4,0.0,17,5063,80023,62475
4,0.0,18,10444,113048,79096
4,0.0,19,5207,67952,52064
4,0.0,20,12984,121584,73389
4,0.0,21,6241,112678,66905
4,0.0,22,8187,110982,52106
4,0.0,23,2239,100737,23259
4,0.0,24,6543,116299,37569
4,0.0,25,4646,114277,17294
4,0.0,26,4545,101818,20522
4,0.0,27,2507,96224,12368
4,0.0,28,2652,107040,9234
4,0.0,29,1963,62037,1900
4,0.0,30,3017,2750,284
4,3.0,16,1328,7737,22619
4,3.0,17,1147,11236,27839
4,3.0,18,2337,39133,51980
4,3.0,19,542,20606,35415
4,3.0,20,1139,73395,45895
4,3.0,21,655,67633,49983
4,3.0,22,978,62701,39338
4,3.0,23,506,49340,21178
4,3.0,24,898,82389,31505
4,3.0,25,666,90419,18900
4,3.0,26,635,78136,22757
4,3.0,27,498,79142,18869
4,3.0,28,664,91433,10355
4,3.0,29,716,41823,3071
4,3.0,30,1638,1767,478
5,-3.0,16,123333,122191,108396
5,-3.0,17,118870,125307,94748
5,-3.0,18,120381,126812,93275
5,-3.0,19,104431,109376,61220
5,-3.0,20,102007,121813,51338
5,-3.0,21,74038,116472,66998
5,-3.0,22,78248,106877,84162
5,-3.0,23,22213,106043,40199
5,-3.0,24,30075,102207,31868
5,-3.0,25,10572,89384,24551
5,-3.0,26,3117,64340,18075
5,-3.0,27,998,36400,3983
5,-3.0,28,400,29384,1456
5,-3.0,29,430,25419,842
5,-3.0,30,264,2549,113
5,0.0,16,13165,29897,67912
5,0.0,17,12938,81702,77817
5,0.0,18,51563,109267,98338
5,0.0,19,53271,43497,90365
5,0.0,20,100887,114020,110668
5,0.0,21,64643,99208,109884
5,0.0,22,86648,82420,114487
5,0.0,23,29125,86023,91428
5,0.0,24,50281,77184,86008
5,0.0,25,17603,67108,57829
5,0.0,26,7143,49679,52231
5,0.0,27,8159,40012,33464
5,0.0,28,4182,47619,24090
5,0.0,29,3162,24660,11111
5,0.0,30,1197,2566,570
5,3.0,16,1587,4955,17193
5,3.0,17,748,6937,18266
5,3.0,18,2904,23102,42530
5,3.0,19,2145,9046,43831
5,3.0,20,8030,55402,73995
5,3.0,21,4470,45530,84262
5,3.0,22,10403,36495,96524
5,3.0,23,2250,45358,76845
5,3.0,24,5947,43773,73393
5,3.0,25,1830,46281,51260
5,3.0,26,792,32660,47658
5,3.0,27,803,21052,30683
5,3.0,28,509,28840,15754
5,3.0,29,1319,16357,9205
5,3.0,30,655,1535,584
6,-3.0,16,117516,119603,36224
6,-3.0,17,110255,122650,23116
6,-3.0,18,94294,124450,23237
6,-3.0,19,51223,105495,5236
6,-3.0,20,32824,107399,2015
6,-3.0,21,8954,91273,2319
6,-3.0,22,19762,104362,4541
6,-3.0,23,4929,109462,3043
6,-3.0,24,3315,112989,3682
6,-3.0,25,2037,116260,2269
6,-3.0,26,2217,121556,3556
6,-3.0,27,444,82612,673
6,-3.0,28,365,58783,381
6,-3.0,29,381,13330,181
6,-3.0,30,331,737,32
6,0.0,16,5967,24509,7437
6,0.0,17,2949,51863,4707
6,0.0,18,2433,64824,4121
6,0.0,19,2071,24787,3010
6,0.0,20,1643,60370,1827
6,0.0,21,1310,65295,3613
6,0.0,22,1828,67021,6323
6,0.0,23,842,61671,3983
6,0.0,24,1230,71782,4807
6,0.0,25,1046,82677,3472
6,0.0,26,919,88431,4206
6,0.0,27,528,40110,1202
6,0.0,28,371,25149,1097
6,0.0,29,436,5936,371
6,0.0,30,213,505,37
6,3.0,16,773,3164,5828
6,3.0,17,253,4890,5514
6,3.0,18,508,6668,5898
6,3.0,19,100,4902,5419
6,3.0,20,107,10845,3643
6,3.0,21,97,12394,5121
6,3.0,22,144,11629,6469
6,3.0,23,145,11416,5165
6,3.0,24,280,15936,5100
6,3.0,25,320,24111,5298
6,3.0,26,294,31510,7589
6,3.0,27,220,14882,3509
6,3.0,28,151,9232,2560
6,3.0,29,214,5852,1052
6,3.0,30,79,861,85
7,-3.0,16,118432,115809,51358
7,-3.0,17,112328,121314,37629
7,-3.0,18,105822,124184,42526
7,-3.0,19,65844,108156,16652
7,-3.0,20,53644,115169,7639
