pair,layer,positions,rec
0,0,last,-0.018765089209275915
0,0,all,0.3715895911140651
0,1,last,0.05058062507015038
0,1,all,-0.5588569944605959
0,2,last,-0.014658403410353866
0,2,all,-0.23276694007892054
0,3,last,0.014296372427544286
0,3,all,-0.13865332727380766
0,4,last,-0.06370589879418373
0,4,all,-0.19268961510274418
0,5,last,0.016557690572449112
0,5,all,0.324669715503069
0,6,last,-0.008998230559816542
0,6,all,0.2502459389807232
0,7,last,-0.07751947154480492
0,7,all,0.10363411982455252
0,8,last,0.06349242155811972
0,8,all,0.015948895310323275
0,9,last,0.034845757194953135
0,9,all,-0.17427885408940955
0,10,last,0.037256179285665554
0,10,all,-0.9510179783045506
0,11,last,0.09240015537621511
0,11,all,0.09326204220687044
0,12,last,-0.017869090036775306
0,12,all,-0.07960775208470425
0,13,last,0.19447308536228408
0,13,all,0.41243554417988426
0,14,last,-0.32424234838164445
0,14,all,0.2827837486602653
0,15,last,-0.0911385489270018
0,15,all,0.8270894909778358
0,16,last,-0.17588350965379274
0,16,all,-0.05446448024895407
0,17,last,-0.2926160809981051
0,17,all,0.061863282135476615
0,18,last,-0.10214982030498634
0,18,all,-0.5362106635180608
0,19,last,0.13201943963325932
0,19,all,0.5764256758095079
0,20,last,0.1659383865082387
0,20,all,0.43811402215321504
0,21,last,-0.3745918898457462
0,21,all,0.06163604992286209
0,22,last,-0.6436477592593001
0,22,all,-0.31047581765082605
0,23,last,0.10868315906695042
0,23,all,0.15535338185355463
0,24,last,0.28932740365464227
0,24,all,0.3016529630420286
0,25,last,-0.19537981341649407
0,25,all,-0.5130845589934439
0,26,last,-0.03989300829039947
0,26,all,0.17764579724944485
0,27,last,0.3181493064190624
0,27,all,0.25620170627733113
0,28,last,0.11299204302116506
0,28,all,0.30461826088678884
0,29,last,-0.5371653964404322
0,29,all,-0.36869884524220864
0,30,last,-0.3603543887178381
0,30,all,-0.26368221272456377
0,31,last,0.08103895739478544
0,31,all,0.08103895739478544
1,0,last,-0.0035318018240553506
1,0,all,0.398166098673975
1,1,last,-0.00919955603601175
1,1,all,0.02588442283929352
1,2,last,-0.005914994254884552
1,2,all,0.39377219105374656
1,3,last,0.010346360208358593
1,3,all,0.03071493065093557
1,4,last,0.008231205469337873
1,4,all,0.43987820926902693
1,5,last,-0.010550651037866614
1,5,all,0.3690211084477417
1,6,last,-0.012731019381152231
1,6,all,0.25277861102093363
1,7,last,-0.002771089267269871
1,7,all,0.15741951046621935
1,8,last,-0.01688069565991805
1,8,all,0.09104608939513968
1,9,last,-0.025017615947080553
1,9,all,0.269253357635618
1,10,last,-0.05053689525476631
1,10,all,0.12652514838163453
1,11,last,0.02597156235548831
1,11,all,0.06650791002658789
1,12,last,0.02016051873623707
1,12,all,0.02044792494372976
1,13,last,-0.0072522492299980775
1,13,all,-0.06658538408932474
1,14,last,0.12257246683132286
1,14,all,0.16331746794905547
1,15,last,0.054235680010157376
1,15,all,0.23229815449260807
1,16,last,-0.09860161573286101
1,16,all,-0.1991659202579781
1,17,last,-0.10082094676012496
1,17,all,-0.0009347283277968212
1,18,last,-0.3111409507436457
1,18,all,-0.511847438978269
1,19,last,-0.06424006368819263
1,19,all,0.014785473568106321
1,20,last,-0.03589550087808952
1,20,all,0.039398644820685905
1,21,last,0.01106513898846855
1,21,all,0.3453696310098436
1,22,last,-0.3136031215879445
1,22,all,-0.2988891422884123
1,23,last,-0.19058687129045915
1,23,all,-0.07818697454909343
1,24,last,-0.057298312449435014
1,24,all,0.06318551382453193
1,25,last,0.10499585852243273
1,25,all,0.1297083545321424
1,26,last,-0.04241016694381822
1,26,all,-0.029230926261841872
1,27,last,-0.036758772546080516
1,27,all,-0.0545442975629819
1,28,last,-0.049939254317411384
1,28,all,-0.05256449678114074
1,29,last,0.11302465360067852
1,29,all,0.12119372938475365
1,30,last,0.0009489444422213484
1,30,all,0.020815625871583206
1,31,last,0.1399807382932178
1,31,all,0.1399807382932178
2,0,last,0.0021319259405841364
2,0,all,0.3111293145633242
2,1,last,0.0004558788713655095
2,1,all,0.0686294436748884
2,2,last,0.0042208743486257675
2,2,all,0.631673546651204
2,3,last,0.008642140071474116
2,3,all,0.6264674104515427
