kind,layer,index,drop_recovery,marginal
neuron,19,14030,0.7289491807244229,0.03255721765855213
head,21,9,0.7304892526158064,0.03101714576716863
head,13,30,0.7410471505953558,0.020459247787619317
head,15,4,0.7431890319879619,0.018317366395013135
head,13,11,0.7432595785824542,0.018246819800520897
neuron,16,2874,0.7455260104630186,0.015980387919956485
head,10,27,0.7457493701960959,0.015757028186879185
head,15,7,0.7493308658159169,0.012175532567058167
head,8,19,0.7496770852557506,0.011829313127224461
neuron,14,4914,0.7523269699179178,0.00917942846505726
neuron,22,5788,0.7535090924174712,0.007997305965503854
neuron,21,4937,0.7544231001070689,0.007083298275906147
neuron,17,10831,0.7549760349730008,0.00653036340997426
neuron,17,2578,0.7550506279836999,0.00645577039927514
neuron,16,6443,0.7551743727185851,0.006332025664389951
head,11,4,0.7553446377342979,0.006161760648677128
neuron,22,11208,0.7562508165065656,0.00525558187640951
neuron,15,10424,0.7563614817239588,0.005144916659016285
neuron,20,9082,0.7564641758863786,0.005042222496596471
neuron,14,2585,0.7565954461398456,0.0049109522431294295
neuron,16,12347,0.7566630847349746,0.004843313648000502
neuron,17,8326,0.7574615541981049,0.004044844184870167
neuron,14,4109,0.7575196306145544,0.003986767768420663
neuron,16,3669,0.7576805959386399,0.003825802444335169
head,12,28,0.7577440968968976,0.0037623014860774795
neuron,17,5607,0.757840601993388,0.0036657963895870838
neuron,20,8953,0.7578839296312944,0.0036224687516807075
neuron,15,12132,0.7579471132107581,0.0035592851722169305
head,17,20,0.7580855447722092,0.0034208536107658283
neuron,14,11430,0.7581834105325352,0.003322987850439829
neuron,18,8429,0.7583871789025785,0.0031192194803966178
neuron,14,4754,0.7585914345286284,0.0029149638543466416
neuron,12,678,0.7586134100546336,0.002892988328341506
neuron,14,7309,0.7586540035926015,0.0028523947903735802
neuron,19,11933,0.7586960302040463,0.0028103681789287682
neuron,13,5122,0.7588978844585387,0.0026085139244363953
neuron,19,12457,0.7589996383414421,0.0025067600415329405
neuron,14,3444,0.759060948930576,0.0024454494523991066
neuron,20,9424,0.7591244984254808,0.002381899957494271
neuron,22,3127,0.7591631381592943,0.0023432602236808098
neuron,15,10929,0.7591723652892689,0.002334033093706167
neuron,13,14007,0.7592371112201688,0.002269287162806277
neuron,26,6522,0.7595589938422782,0.001947404540696862
neuron,18,7148,0.7596461121896562,0.0018602861933189052
neuron,20,5237,0.7596546909327759,0.001851707450199136
neuron,16,13602,0.7597323202613506,0.001774078121624445
neuron,16,11035,0.7597768289912327,0.0017295693917424027
neuron,19,2223,0.7597967648836257,0.0017096334993493834
neuron,16,4434,0.7598636570748151,0.0016427413081600006
neuron,23,2789,0.7599793628959781,0.0015270354869969527
neuron,14,4589,0.7599990949727791,0.0015073034101960037
neuron,24,6721,0.7600220654751864,0.0014843329077887102
neuron,16,9686,0.760059597023144,0.001446801359831107
head,16,4,0.7601598566010453,0.001346541781929722
neuron,15,6388,0.7601823741748724,0.0013240242081026254
neuron,16,9160,0.7602203690898512,0.0012860292931238249
neuron,16,13926,0.7602688767376508,0.0012375216453243132
neuron,22,3334,0.7603127211734756,0.0011936772094994774
neuron,21,13209,0.7604036303873595,0.0011027679956155945
neuron,21,6737,0.7604053731048274,0.0011010252781477048
neuron,18,7056,0.7604516664467039,0.0010547319362711471
neuron,20,14269,0.7605749770585487,0.0009314213244263625
neuron,16,6901,0.7606043167850324,0.0009020815979426944
neuron,16,9086,0.7606239807797017,0.0008824176032733444
neuron,16,1227,0.7606342160803922,0.0008721823025829023
neuron,20,12078,0.7607289519096213,0.00077744647335376
neuron,14,3405,0.7607320936952509,0.0007743046877242143
neuron,16,8505,0.7607578813419984,0.0007485170409766706
head,12,22,0.7607581729305031,0.0007482254524719956
neuron,19,2045,0.7608796611571165,0.0006267372258585979
neuron,17,9172,0.7610389916774828,0.00046740670549227925
neuron,20,12816,0.7611333268054856,0.00037307157748944775
neuron,13,13999,0.7611714480809068,0.00033495030206831533
neuron,19,7074,0.7611949227161914,0.0003114756667836893
neuron,21,4332,0.7612779421556695,0.00022845622730560677
neuron,20,2673,0.7613946636739929,0.00011173470898218074
neuron,18,2546,0.7614065777564558,9.982062651925361e-05
neuron,14,5792,0.7614983203922779,8.077990697130666e-06
neuron,17,11316,0.7615955496640566,-8.915128108155645e-05
neuron,21,13120,0.7616529510814839,-0.00014655269850882835
neuron,17,10179,0.7616976110147057,-0.00019121263173060843
neuron,15,5228,0.7617129636130521,-0.0002065652300770049
neuron,22,3766,0.7617726165868549,-0.0002662182038798422
neuron,16,2991,0.7618080854102027,-0.0003016870272276595
neuron,15,3052,0.7618349875662856,-0.0003285891833105792
neuron,13,2212,0.7618461943595,-0.0003397959765248926
neuron,19,9441,0.7619588579563653,-0.00045245957339024034
head,8,6,0.7620118368008704,-0.0005054384178952986
neuron,21,3205,0.7620580385234984,-0.0005516401405233351
neuron,19,10869,0.7620734944320361,-0.0005670960490610222
neuron,17,2810,0.7621924924465376,-0.0006860940635625701
neuron,23,5876,0.7625030369922982,-0.0009966386093230861
neuron,22,3410,0.7625164347583699,-0.0010100363753948738
neuron,15,5679,0.7627364698206359,-0.0012300714376608513
neuron,18,2351,0.7630723511775254,-0.001565952794550296
neuron,14,14173,0.7633251798357721,-0.0018187814527970136
neuron,20,2452,0.7633327766862861,-0.0018263783033110048
neuron,19,10860,0.7634004169337304,-0.0018940185507553275
neuron,16,11339,0.7634530477504048,-0.0019466493674297203
neuron,24,10925,0.7636504116767067,-0.0021440132937315948
