layer,direction,logodds_rec_mean,ci_lo,ci_hi,entropy_rec_mean,entropy_ci_lo,entropy_ci_hi,n_pairs
0,control_to_uncertain,1.0,1.0,1.0,1.0,1.0,1.0,60
1,control_to_uncertain,1.0,1.0,1.0,1.0,1.0,1.0,60
2,control_to_uncertain,1.0,1.0,1.0,1.0,1.0,1.0,60
3,control_to_uncertain,1.0,1.0,1.0,1.0,1.0,1.0,60
4,control_to_uncertain,1.0,1.0,1.0,1.0,1.0,1.0,60
5,control_to_uncertain,1.0,1.0,1.0,1.0,1.0,1.0,60
6,control_to_uncertain,1.0,1.0,1.0,1.0,1.0,1.0,60
7,control_to_uncertain,1.0,1.0,1.0,1.0,1.0,1.0,60
8,control_to_uncertain,1.0,1.0,1.0,1.0,1.0,1.0,60
9,control_to_uncertain,1.0,1.0,1.0,1.0,1.0,1.0,60
10,control_to_uncertain,1.0,1.0,1.0,1.0,1.0,1.0,60
11,control_to_uncertain,1.0,1.0,1.0,1.0,1.0,1.0,60
12,control_to_uncertain,1.0,1.0,1.0,1.0,1.0,1.0,60
13,control_to_uncertain,1.0,1.0,1.0,1.0,1.0,1.0,60
14,control_to_uncertain,1.0,1.0,1.0,1.0,1.0,1.0,60
15,control_to_uncertain,1.0,1.0,1.0,1.0,1.0,1.0,60
16,control_to_uncertain,1.0,1.0,1.0,1.0,1.0,1.0,60
17,control_to_uncertain,1.0,1.0,1.0,1.0,1.0,1.0,60
18,control_to_uncertain,1.0,1.0,1.0,1.0,1.0,1.0,60
19,control_to_uncertain,1.0,1.0,1.0,1.0,1.0,1.0,60
20,control_to_uncertain,1.0,1.0,1.0,1.0,1.0,1.0,60
21,control_to_uncertain,1.0,1.0,1.0,1.0,1.0,1.0,60
22,control_to_uncertain,1.0,1.0,1.0,1.0,1.0,1.0,60
23,control_to_uncertain,1.0,1.0,1.0,1.0,1.0,1.0,60
24,control_to_uncertain,1.0,1.0,1.0,1.0,1.0,1.0,60
25,control_to_uncertain,1.0,1.0,1.0,1.0,1.0,1.0,60
26,control_to_uncertain,1.0,1.0,1.0,1.0,1.0,1.0,60
27,control_to_uncertain,1.0,1.0,1.0,1.0,1.0,1.0,60
28,control_to_uncertain,1.0,1.0,1.0,1.0,1.0,1.0,60
29,control_to_uncertain,1.0,1.0,1.0,1.0,1.0,1.0,60
30,control_to_uncertain,1.0,1.0,1.0,1.0,1.0,1.0,60
31,control_to_uncertain,1.0,1.0,1.0,1.0,1.0,1.0,60
0,uncertain_to_control,1.0,1.0,1.0,1.0,1.0,1.0,60
1,uncertain_to_control,1.0,1.0,1.0,1.0,1.0,1.0,60
2,uncertain_to_control,1.0,1.0,1.0,1.0,1.0,1.0,60
3,uncertain_to_control,1.0,1.0,1.0,1.0,1.0,1.0,60
4,uncertain_to_control,1.0,1.0,1.0,1.0,1.0,1.0,60
5,uncertain_to_control,1.0,1.0,1.0,1.0,1.0,1.0,60
6,uncertain_to_control,1.0,1.0,1.0,1.0,1.0,1.0,60
7,uncertain_to_control,1.0,1.0,1.0,1.0,1.0,1.0,60
8,uncertain_to_control,1.0,1.0,1.0,1.0,1.0,1.0,60
9,uncertain_to_control,1.0,1.0,1.0,1.0,1.0,1.0,60
10,uncertain_to_control,1.0,1.0,1.0,1.0,1.0,1.0,60
11,uncertain_to_control,1.0,1.0,1.0,1.0,1.0,1.0,60
12,uncertain_to_control,1.0,1.0,1.0,1.0,1.0,1.0,60
13,uncertain_to_control,1.0,1.0,1.0,1.0,1.0,1.0,60
14,uncertain_to_control,1.0,1.0,1.0,1.0,1.0,1.0,60
15,uncertain_to_control,1.0,1.0,1.0,1.0,1.0,1.0,60
16,uncertain_to_control,1.0,1.0,1.0,1.0,1.0,1.0,60
17,uncertain_to_control,1.0,1.0,1.0,1.0,1.0,1.0,60
18,uncertain_to_control,1.0,1.0,1.0,1.0,1.0,1.0,60
19,uncertain_to_control,1.0,1.0,1.0,1.0,1.0,1.0,60
20,uncertain_to_control,1.0,1.0,1.0,1.0,1.0,1.0,60
21,uncertain_to_control,1.0,1.0,1.0,1.0,1.0,1.0,60
22,uncertain_to_control,1.0,1.0,1.0,1.0,1.0,1.0,60
23,uncertain_to_control,1.0,1.0,1.0,1.0,1.0,1.0,60
24,uncertain_to_control,1.0,1.0,1.0,1.0,1.0,1.0,60
25,uncertain_to_control,1.0,1.0,1.0,1.0,1.0,1.0,60
26,uncertain_to_control,1.0,1.0,1.0,1.0,1.0,1.0,60
27,uncertain_to_control,1.0,1.0,1.0,1.0,1.0,1.0,60
28,uncertain_to_control,1.0,1.0,1.0,1.0,1.0,1.0,60
29,uncertain_to_control,1.0,1.0,1.0,1.0,1.0,1.0,60
30,uncertain_to_control,1.0,1.0,1.0,1.0,1.0,1.0,60
31,uncertain_to_control,1.0,1.0,1.0,1.0,1.0,1.0,60
