layer,direction,logodds_rec_mean,ci_lo,ci_hi,entropy_rec_mean,entropy_ci_lo,entropy_ci_hi,n_pairs
0,control_to_uncertain,0.01180237918530549,-0.0008495771942747086,0.028797690401224787,-0.0024910980069820783,-0.011235178844985805,0.006656750519197992,60
1,control_to_uncertain,0.02099088407621824,-0.0012870902159577817,0.04826053866655497,-0.007388161922599988,-0.02030581965096599,0.00673784967345961,60
2,control_to_uncertain,0.018870813121067708,0.0007924138044076114,0.039734986439028154,-0.01453684511847009,-0.02639880484973992,-0.0036892435755613807,60
3,control_to_uncertain,0.0011374768885386846,-0.019418660823729984,0.020363122825500086,-0.012041294627399706,-0.035049819798937384,0.011551225825550604,60
4,control_to_uncertain,0.005417628732124545,-0.04416896756847174,0.06009422241137429,0.02686760617872675,-0.006672340349650347,0.061628678959841074,60
5,control_to_uncertain,0.004819989690577799,-0.05682399878626245,0.080448639242872,0.021250067395215826,-0.01768773772503477,0.05828039888693541,60
6,control_to_uncertain,0.02997068777187876,-0.036725695927055844,0.11567622554954943,0.04494104296099352,-0.000333427957321354,0.0903968753141681,60
7,control_to_uncertain,0.06378779316362167,0.008946420061393689,0.12065405937477819,0.10148592157783251,0.048229679138333946,0.15941516955589047,60
8,control_to_uncertain,0.2972814456345383,0.19967630887733073,0.3934382575716721,0.12438406677114108,0.042355552439652715,0.20631272725149127,60
9,control_to_uncertain,0.3614114800327966,0.25971824791969184,0.46043711723897757,0.10591730257720885,0.011768868908687169,0.1998042566552565,60
10,control_to_uncertain,0.4344894709650903,0.3353058172627827,0.5317769599990456,0.11150445180716159,0.007471882946263185,0.21701893823249882,60
11,control_to_uncertain,0.624982727295755,0.5351547531800945,0.7165508327396214,0.20510589006285493,0.0974784399923731,0.31030123091194467,60
12,control_to_uncertain,0.7998002493337094,0.7255776505776459,0.8748318293176122,0.3165719744344861,0.19274591454737963,0.4348702091830614,60
13,control_to_uncertain,0.9365366738435441,0.8620401187325495,1.0160024781653971,0.3897465959648395,0.26889086369416515,0.5035215885831005,60
14,control_to_uncertain,0.9760035392306378,0.8990729238860663,1.0531466152982711,0.43032251422657314,0.3121045747879616,0.5489963990196317,60
15,control_to_uncertain,0.9708260107126592,0.9021678954150484,1.04204122094454,0.48750831899949626,0.3514380447737988,0.6166721916985394,60
16,control_to_uncertain,0.9969864709000783,0.9515515508567397,1.0478616044442743,0.5963538603167454,0.4797028649698561,0.7091593662858378,60
17,control_to_uncertain,1.0044776393835257,0.9560867058832546,1.0568107377816933,0.6887277015123534,0.5843351908182667,0.7869468709535022,60
18,control_to_uncertain,1.029118463763412,0.9854803882344679,1.0844618094509906,0.7886588872776941,0.6962432033675704,0.8753913778653603,60
19,control_to_uncertain,1.0423703511116733,1.0000308283669817,1.0936664762313517,0.8963795940922569,0.8344217099291404,0.9502497497228579,60
20,control_to_uncertain,1.024945069180842,0.9904360327630644,1.0711701459343104,0.9370401555226145,0.8887094460643876,0.978269482624711,60
21,control_to_uncertain,1.0285698213254248,0.9974816109970897,1.0708372966707533,0.9678048222928746,0.9277645226204011,1.0038931314807202,60
22,control_to_uncertain,1.0067641377065082,0.9972422020370005,1.017455196201321,1.00262511257944,0.9894300237543342,1.016352821616492,60
23,control_to_uncertain,1.00744330167003,0.9972287126204739,1.020456845669759,1.0095543629932393,0.9988857897427404,1.0209017768423971,60
24,control_to_uncertain,1.0000735282429425,0.9932385763677338,1.008406978366447,0.9985268934102682,0.979366051404154,1.0126567530637864,60
25,control_to_uncertain,1.0021876756845252,0.9958951911997338,1.0101998896359707,1.0019248694740956,0.9824871777003901,1.0170471235125278,60
26,control_to_uncertain,0.9988817182275287,0.9931303958692591,1.0041624556021014,0.9993288387904075,0.978946691969598,1.014881831288541,60
27,control_to_uncertain,0.9971265739120562,0.9930450258025583,1.0010534313800439,0.9989333750536036,0.9929091061049922,1.0053049696599283,60
28,control_to_uncertain,0.9967036681939961,0.9921848433216418,1.0007893706478928,0.9971746261724826,0.9892061829635737,1.004058473591641,60
29,control_to_uncertain,0.9985447183230456,0.9945072462243043,1.0021964760920938,0.9967076202175412,0.9912533788863385,1.0017854498075969,60
30,control_to_uncertain,0.9996725936914928,0.9973952631075292,1.0020312643370597,0.9997718260189437,0.9963293478316168,1.0028361261191205,60
31,control_to_uncertain,1.0,1.0,1.0,1.0,1.0,1.0,60
0,uncertain_to_control,-0.0010111982754185283,-0.01199236320255877,0.008004545346660412,-0.003608718676188299,-0.011004995264091884,0.0032577540027500665,60
1,uncertain_to_control,-0.0010194593090417077,-0.01783974837686837,0.015742866893313966,-0.001901568936411965,-0.013625495182672476,0.010507578088199215,60
2,uncertain_to_control,-0.012765117025464286,-0.03379151850741634,0.005789918759503262,0.0004900943003789071,-0.00914321257673975,0.01172587473719285,60
3,uncertain_to_control,-0.003643652167679217,-0.033982296091904125,0.0266562187058335,-0.012010141597445305,-0.02458832191639161,0.0006937191948196337,60
4,uncertain_to_control,0.04700178045390667,0.006973645186821188,0.08870591407752508,-0.008728881766557043,-0.0384596661947097,0.015952415796541553,60
5,uncertain_to_control,0.1050686939789943,0.04305930323193826,0.17401862871433835,0.01267296639317658,-0.018838184777379002,0.04705871952999199,60
6,uncertain_to_control,0.24667819965002794,0.15619268427886315,0.34977336397749925,0.08999974570588935,0.026473852151712142,0.1740911562088174,60
7,uncertain_to_control,0.3978605134671698,0.3003243748167247,0.5091361758235512,0.1463507230074418,0.06987024748253486,0.24219686462621084,60
8,uncertain_to_control,0.7694164295592508,0.6595907188503703,0.8861547921480389,0.3052133389226591,0.21490946169377284,0.4078592760265159,60
9,uncertain_to_control,0.8943261108529207,0.8066707200888236,0.987944844746391,0.40624161443688656,0.313312156096188,0.5101371632414142,60
10,uncertain_to_control,0.9251715124367913,0.8437878239914902,1.0121384598445406,0.4190907308734354,0.327424952717313,0.5223630063011444,60
11,uncertain_to_control,0.9540218578534375,0.8694081388686052,1.044179080098783,0.45901768932386455,0.36327448448396593,0.5618088426811028,60
12,uncertain_to_control,1.0772712900762509,1.011429517882544,1.1520063417710644,0.6530315265063898,0.568230642452091,0.7412787192125225,60
13,uncertain_to_control,1.0849284626033264,1.0204399462660847,1.157957015521264,0.8082783155562897,0.7110541512719694,0.912627210899215,60
14,uncertain_to_control,1.0659728649289533,1.0033054641061703,1.1401879165801474,0.862374941891279,0.7636583903610927,0.9667432107127344,60
15,uncertain_to_control,1.0526093937874703,0.9862970636052242,1.1243649935290922,0.9800742820366807,0.903566109175095,1.0619726030882826,60
16,uncertain_to_control,1.0559707336667854,0.9893535918267935,1.1279880676381295,0.9841972481254009,0.9196039763175228,1.0549086732953161,60
17,uncertain_to_control,1.0562016067943765,0.9944546547968423,1.1270127793791604,0.9738531654023762,0.9121758899365672,1.0388584145064554,60
18,uncertain_to_control,1.076498197436828,1.0219376482226024,1.141156734073655,0.976598362251123,0.8986655627276277,1.0516532676556682,60
19,uncertain_to_control,1.0742416621560975,1.0248866191393327,1.1363488010864224,0.9777863438313993,0.9117912995386284,1.0471817008935296,60
20,uncertain_to_control,1.0470972687342532,1.0186320295953575,1.0825742949130948,0.9875482386457849,0.924311699554445,1.0522948567626775,60
21,uncertain_to_control,1.0296730995150043,1.0069930036784778,1.0604502425356206,0.9662474281319974,0.9012768472630033,1.023719758939826,60
22,uncertain_to_control,0.999039320226575,0.9881848828646478,1.009216039930649,0.9763927781341734,0.9365692461860347,1.0228198394838015,60
23,uncertain_to_control,1.000052142602842,0.9911219515640035,1.0095917956031508,0.9792338733808738,0.9422609548617613,1.0197411447300553,60
