layer,direction,logodds_rec_mean,ci_lo,ci_hi,entropy_rec_mean,entropy_ci_lo,entropy_ci_hi,n_pairs
0,control_to_uncertain,0.318645292675353,0.18040039253413936,0.4542373852198128,0.43776358486904277,0.29055917652741947,0.5812991149139484,60
1,control_to_uncertain,0.5246805195954283,0.39426801624260727,0.6476277095324118,0.651858482965353,0.5100155380874115,0.785085532093239,60
2,control_to_uncertain,0.5959049858777168,0.4658866625083048,0.7179058885687578,0.7304411317692865,0.5990483665241718,0.8522582975286851,60
3,control_to_uncertain,0.6530265818615089,0.522827012079662,0.7699212085869294,0.7666907096838355,0.6373380229145067,0.8852157073891582,60
4,control_to_uncertain,0.7353706673778065,0.6085443267376579,0.8478765101855095,0.822016339645612,0.7003533439080873,0.9278488495160745,60
5,control_to_uncertain,0.7806330311217772,0.6646943110509032,0.8811808165980737,0.8733161402795658,0.7700091288967266,0.9628491303703272,60
6,control_to_uncertain,0.8252137687467894,0.7210721019105495,0.9140457178580166,0.8993740319942173,0.7928587457234748,0.9847845257548576,60
7,control_to_uncertain,0.8714413331684991,0.7780453833972689,0.9494538061227108,0.9396227732256455,0.8632372904281689,1.0077967205558804,60
8,control_to_uncertain,0.9135978363628309,0.8448468980520745,0.9723056578275181,0.9608303859915605,0.8926983536537544,1.021977244375768,60
9,control_to_uncertain,0.9309750306217588,0.8800839526169228,0.9738173402084287,0.96627269571566,0.9027581490735204,1.0227258723747026,60
10,control_to_uncertain,0.9311721868084105,0.8841237364167697,0.9694600308012967,0.9710702105953205,0.9159451915649915,1.0231376284436566,60
11,control_to_uncertain,0.9459355724026752,0.9049322500920693,0.9765412155181329,0.977727768828349,0.9301660547689882,1.026141611334126,60
12,control_to_uncertain,0.9713655893957878,0.9519957385552418,0.987132350772572,0.9798818140219051,0.9365065762011854,1.0211246297704555,60
13,control_to_uncertain,0.995460618169684,0.9815815794009306,1.0118408412910032,0.9871406238858685,0.9453066782959193,1.03186200609418,60
14,control_to_uncertain,0.9969948371759594,0.9864766408642988,1.009816867310568,0.9839579842076646,0.9410295648886684,1.025583095421032,60
15,control_to_uncertain,0.9948658054743595,0.9856340109143555,1.0056660108617035,0.9936680110512445,0.9551774137926274,1.0285912537936381,60
16,control_to_uncertain,0.9944558258556527,0.987672188593597,1.0008607993943874,0.9898649963126023,0.9533009482650789,1.0197683158533315,60
17,control_to_uncertain,0.9947653525119906,0.9886561264856274,1.0002670678885381,1.0002779329522151,0.9789987311510512,1.0246474548443936,60
18,control_to_uncertain,0.9974321186313684,0.9907394343170578,1.0049435204755397,1.0041186648951477,0.987638874505397,1.022525112929584,60
19,control_to_uncertain,0.9986040935503303,0.9941906348693684,1.0031683938615672,1.0021646633447425,0.9897563405082701,1.0164544843887484,60
20,control_to_uncertain,0.999510637733141,0.9944854269506592,1.0064867874390573,1.003687040819849,0.9919379306133849,1.0198439277836067,60
21,control_to_uncertain,0.9978061022888048,0.9944261436918108,1.0010840374083618,1.0019937839125317,0.9930702273024118,1.0137940259415528,60
22,control_to_uncertain,1.000800715463239,0.9971289303414642,1.0046162343316984,0.9962716848031713,0.9905026972345726,1.0020610555928888,60
23,control_to_uncertain,0.9989889968460877,0.9957304415603727,1.002231530868671,0.9988077450031175,0.9932240191137964,1.0049314955447537,60
24,control_to_uncertain,0.9973234337554417,0.9941469500967388,1.000448011500658,0.999160102764058,0.9939472117483168,1.004596517991298,60
25,control_to_uncertain,0.9976086877654053,0.9945471707935091,1.0006239466707685,1.003541975430156,0.9975843347255672,1.0100335910891283,60
26,control_to_uncertain,0.9972386654149173,0.9942595321964093,1.0003743895164816,1.0012148145276376,0.9939493356000954,1.0078738372271845,60
27,control_to_uncertain,0.9994957313998771,0.9958079889161547,1.0040022537075328,0.9989289926925039,0.9950403302426786,1.0028027028683675,60
28,control_to_uncertain,0.9984282825017832,0.9950525159786215,1.0028370621061027,1.0002164957523545,0.9957775449909854,1.0047132585882863,60
29,control_to_uncertain,0.9986426818706616,0.9958041787630354,1.0020241409891946,0.9972502154209422,0.9931643023963026,1.0006866014021398,60
30,control_to_uncertain,0.9998547247829184,0.9981405594131582,1.0016219890766693,1.0001476251093975,0.9986405577386264,1.0014089477097152,60
31,control_to_uncertain,1.0,1.0,1.0,1.0,1.0,1.0,60
0,uncertain_to_control,0.9344299899162404,0.818671300703927,1.0367103059893643,1.0272020335598364,0.9417420367346703,1.1134464922842076,60
1,uncertain_to_control,0.9594060475636222,0.8423958189294849,1.0594485699567988,1.0221336805997039,0.9371978644983895,1.112560812007029,60
2,uncertain_to_control,0.9867534784210075,0.8752067853163152,1.0848318614226673,1.002597833021901,0.9178258360737658,1.0908846379710309,60
3,uncertain_to_control,0.996830891649416,0.8991331014581119,1.0791704604568293,1.0260352781083368,0.9470294377503619,1.111514583876274,60
4,uncertain_to_control,0.982267182954771,0.8891383014009084,1.0552343333489709,1.0477670090253246,0.9762094633096389,1.1264733290321909,60
5,uncertain_to_control,0.980085549324086,0.8912507004500014,1.0467619123572562,1.0440370655556015,0.9749124733656357,1.1198470972865147,60
6,uncertain_to_control,1.011030437702283,0.9330460421598519,1.077305278203784,1.0166917686779353,0.9516255270630593,1.0848844286030714,60
7,uncertain_to_control,1.0028242277942054,0.9321797690040617,1.0574389644789572,0.988720223964489,0.9248362137852139,1.0481070939349295,60
8,uncertain_to_control,0.9963287230473256,0.9358661923478045,1.0427878424419315,0.9848625487935869,0.9240909947233307,1.0431481482969935,60
