cell,pair,set,direction,condition,lp_264,lp_279,lp_304,lp_358,lp_430,lp_539,lp_912,lp_7566,lp_9987,lp_10035,lp_25420
circuit,0,baseline,,baseline_u,-6.993817329406738,-5.212567329406738,-6.400067329406738,-4.587567329406738,-9.212567329406738,-1.6500670909881592,-7.931317329406738,-13.282879829406738,-4.212567329406738,-11.478192329406738,-8.618817329406738
circuit,0,baseline,,baseline_c,-6.384990692138672,-9.009990692138672,-9.947490692138672,-10.509990692138672,-6.822490692138672,-3.3224904537200928,-7.634990692138672,-15.791240692138672,-7.822490692138672,-13.978740692138672,-8.822490692138672
circuit,0,circuit,control_to_uncertain,patched,-4.236203193664551,-5.423703193664551,-7.111203193664551,-6.173703193664551,-5.861203193664551,-2.04870343208313,-7.579953193664551,-14.63073444366455,-4.548703193664551,-13.87682819366455,-5.423703193664551
circuit,0,circuit,uncertain_to_control,patched,-5.835648059844971,-6.523148059844971,-8.179398536682129,-2.7731480598449707,-8.273148536682129,-0.7106481790542603,-7.710648059844971,-14.374711036682129,-2.6481480598449707,-13.273148536682129,-6.648148059844971
circuit,0,random0,control_to_uncertain,patched,-7.55820369720459,-6.24570369720459,-6.43320369720459,-4.12070369720459,-9.24570369720459,-1.4957036972045898,-8.71445369720459,-12.38632869720459,-3.43320369720459,-11.15195369720459,-7.37070369720459
circuit,0,random1,control_to_uncertain,patched,-7.04400634765625,-5.60650634765625,-5.98150634765625,-3.60650634765625,-8.95025634765625,-1.41900634765625,-8.16900634765625,-13.84088134765625,-3.91900634765625,-12.16900634765625,-7.35650634765625
circuit,0,random2,control_to_uncertain,patched,-6.172204971313477,-5.797204971313477,-6.922204971313477,-4.672204971313477,-9.453454971313477,-1.4847050905227661,-8.734704971313477,-13.539392471313477,-2.8597049713134766,-12.359704971313477,-6.547204971313477
circuit,0,random3,control_to_uncertain,patched,-6.522093772888184,-5.709593772888184,-7.834593772888184,-4.897093772888184,-9.834593772888184,-1.4595937728881836,-8.365843772888184,-13.592406272888184,-2.4595937728881836,-12.334593772888184,-5.459593772888184
circuit,0,random4,control_to_uncertain,patched,-6.773775577545166,-5.898775577545166,-7.461275577545166,-4.148775577545166,-9.336276054382324,-1.1487756967544556,-8.273776054382324,-14.000338554382324,-3.586275577545166,-12.883151054382324,-8.180026054382324
circuit,0,random5,control_to_uncertain,patched,-6.85335636138916,-5.04085636138916,-6.60335636138916,-4.41585636138916,-8.54085636138916,-1.7908565998077393,-8.04085636138916,-13.90023136138916,-3.9783565998077393,-12.22835636138916,-9.19710636138916
