pair,layer,positions,rec
0,0,last,0.5750500653164735
0,0,all,2.0
0,1,last,0.2672274195042336
0,1,all,1.482653605501276
0,2,last,0.7142843454458927
0,2,all,2.0
0,3,last,0.3043268570479509
0,3,all,2.0
0,4,last,-0.10937714594159526
0,4,all,2.0
0,5,last,0.3560450476059676
0,5,all,1.6744269238017062
0,6,last,0.8087201484552414
0,6,all,-0.9545244034481988
0,7,last,0.3109431443254517
0,7,all,-1.0
0,8,last,0.45751714357806517
0,8,all,2.0
0,9,last,0.9810438498711237
0,9,all,0.1174770274456947
0,10,last,1.2167181426486229
0,10,all,2.0
0,11,last,-0.739503850318278
0,11,all,2.0
0,12,last,2.0
0,12,all,2.0
0,13,last,2.0
0,13,all,2.0
0,14,last,2.0
0,14,all,2.0
0,15,last,1.1040719790731768
0,15,all,-1.0
0,16,last,2.0
0,16,all,2.0
0,17,last,2.0
0,17,all,2.0
0,18,last,2.0
0,18,all,2.0
0,19,last,2.0
0,19,all,2.0
0,20,last,2.0
0,20,all,2.0
0,21,last,2.0
0,21,all,0.8746562500998112
0,22,last,2.0
0,22,all,1.3937353676726574
0,23,last,1.6589841292148289
0,23,all,-1.0
0,24,last,-0.8342510643870312
0,24,all,-1.0
0,25,last,-0.0881053751145833
0,25,all,-1.0
0,26,last,-0.3156558316911058
0,26,all,-0.8950161454656953
0,27,last,-1.0
0,27,all,-1.0
0,28,last,2.0
0,28,all,2.0
0,29,last,1.4421462130818197
0,29,all,0.3954137934338579
0,30,last,2.0
0,30,all,2.0
0,31,last,2.0
0,31,all,2.0
1,0,last,-0.002713322202254331
1,0,all,0.18325470330865645
1,1,last,-0.0035311600144972495
1,1,all,0.010383632800071159
1,2,last,-0.00218423455098133
1,2,all,-0.0037965446452001756
1,3,last,0.0013417478744226657
1,3,all,0.041606088136727296
1,4,last,-0.006340112729832959
1,4,all,0.006926109608233517
1,5,last,2.482587590867795e-05
1,5,all,-0.05977566435769795
1,6,last,0.0018193694050507602
1,6,all,0.0009029361355448571
1,7,last,0.0004677531343221496
1,7,all,0.07297209987525108
1,8,last,-0.0037845078568808166
1,8,all,-0.038835989466040104
1,9,last,0.005583919204828522
1,9,all,-0.007988754453501046
1,10,last,0.015392751109752056
1,10,all,0.1095696228635254
1,11,last,0.012558662748220038
1,11,all,0.025692524667671798
1,12,last,0.005170906905620516
1,12,all,0.114430693102168
1,13,last,0.043422271333105285
