neuron_id,layer,neuron,score_last,score_all,abs_all
L17_N5607,17,5607,-0.08662477880716324,-0.3776843547821045,0.3776843547821045
L18_N6394,18,6394,-0.042632512748241425,-0.35042718052864075,0.35042718052864075
L18_N8429,18,8429,-0.04444564878940582,-0.24593380093574524,0.24593380093574524
L16_N12347,16,12347,0.0040697576478123665,0.23080459237098694,0.23080459237098694
L17_N11316,17,11316,-0.03311973810195923,-0.21102187037467957,0.21102187037467957
L21_N8761,21,8761,-0.11587216705083847,-0.20419558882713318,0.20419558882713318
L24_N10925,24,10925,-0.027381736785173416,-0.20226657390594482,0.20226657390594482
L16_N9086,16,9086,-0.0007938345661386847,-0.1991967409849167,0.1991967409849167
L14_N1518,14,1518,-0.0542498454451561,-0.18915261328220367,0.18915261328220367
L16_N1227,16,1227,0.00876951590180397,0.18189026415348053,0.18189026415348053
L13_N2212,13,2212,0.0017398830968886614,-0.17620821297168732,0.17620821297168732
L21_N6349,21,6349,-0.005063874181360006,-0.15696603059768677,0.15696603059768677
L18_N2351,18,2351,0.07984751462936401,0.14252285659313202,0.14252285659313202
L17_N9172,17,9172,-0.012494462542235851,-0.14107468724250793,0.14107468724250793
L17_N2810,17,2810,0.026920031756162643,0.1406814306974411,0.1406814306974411
L20_N8953,20,8953,0.0009754549828357995,0.14056886732578278,0.14056886732578278
L20_N9424,20,9424,0.025344088673591614,0.12981317937374115,0.12981317937374115
L20_N12078,20,12078,0.019064705818891525,0.1274450421333313,0.1274450421333313
L17_N8326,17,8326,-0.015286649577319622,-0.12548966705799103,0.12548966705799103
L20_N9082,20,9082,-0.0332050547003746,-0.12168630212545395,0.12168630212545395
L15_N11966,15,11966,-0.015138735994696617,-0.1211235299706459,0.1211235299706459
L22_N3334,22,3334,0.03447435051202774,0.11837824434041977,0.11837824434041977
L18_N7056,18,7056,0.04251102730631828,0.11806678771972656,0.11806678771972656
L16_N9686,16,9686,-0.0391312912106514,-0.10877637565135956,0.10877637565135956
L18_N2546,18,2546,-0.028835266828536987,-0.10674916207790375,0.10674916207790375
L19_N14030,19,14030,-0.0899355337023735,-0.10269112884998322,0.10269112884998322
L19_N12457,19,12457,-0.0020091976039111614,-0.10142775624990463,0.10142775624990463
L16_N6443,16,6443,0.03663995862007141,0.10019862651824951,0.10019862651824951
L24_N6721,24,6721,-0.001984521048143506,0.0964188352227211,0.0964188352227211
