pair,uncertain_id,split,layer,group,n_pos,direction,logodds_rec,entropy_rec
0,fam_0000_u,working,0,entity,1,control_to_uncertain,2.0,-0.3006078766716831
0,fam_0000_u,working,0,entity,1,uncertain_to_control,-1.0,1.2968089070978583
0,fam_0000_u,working,1,entity,1,control_to_uncertain,-1.0,-0.03940635370132121
0,fam_0000_u,working,1,entity,1,uncertain_to_control,-1.0,1.6817870808627
0,fam_0000_u,working,2,entity,1,control_to_uncertain,-1.0,1.3300893908355924
0,fam_0000_u,working,2,entity,1,uncertain_to_control,-1.0,1.7954143542805057
0,fam_0000_u,working,3,entity,1,control_to_uncertain,-1.0,1.305084205769532
0,fam_0000_u,working,3,entity,1,uncertain_to_control,-1.0,1.7616566812728767
0,fam_0000_u,working,4,entity,1,control_to_uncertain,-1.0,1.3186354018804507
0,fam_0000_u,working,4,entity,1,uncertain_to_control,-1.0,1.7748082044806093
0,fam_0000_u,working,5,entity,1,control_to_uncertain,2.0,1.0581621989546195
0,fam_0000_u,working,5,entity,1,uncertain_to_control,-1.0,1.8174904220925652
0,fam_0000_u,working,6,entity,1,control_to_uncertain,1.4869255264443884,1.0313756581102445
0,fam_0000_u,working,6,entity,1,uncertain_to_control,-1.0,1.7745132713954073
0,fam_0000_u,working,7,entity,1,control_to_uncertain,2.0,1.1632512485698416
0,fam_0000_u,working,7,entity,1,uncertain_to_control,-1.0,1.5912754105326123
0,fam_0000_u,working,8,entity,1,control_to_uncertain,2.0,0.18715432892931574
0,fam_0000_u,working,8,entity,1,uncertain_to_control,-1.0,1.3324661390707413
0,fam_0000_u,working,9,entity,1,control_to_uncertain,2.0,0.5014113171224975
0,fam_0000_u,working,9,entity,1,uncertain_to_control,-1.0,1.2038739787125963
0,fam_0000_u,working,10,entity,1,control_to_uncertain,2.0,0.4790913509240841
0,fam_0000_u,working,10,entity,1,uncertain_to_control,-1.0,1.1504301156944754
0,fam_0000_u,working,11,entity,1,control_to_uncertain,2.0,0.3639156788089688
0,fam_0000_u,working,11,entity,1,uncertain_to_control,-1.0,1.259852070584549
0,fam_0000_u,working,12,entity,1,control_to_uncertain,2.0,0.285266757184024
0,fam_0000_u,working,12,entity,1,uncertain_to_control,-1.0,1.1444287911660123
0,fam_0000_u,working,13,entity,1,control_to_uncertain,2.0,0.1609578026120271
0,fam_0000_u,working,13,entity,1,uncertain_to_control,-0.6287740624930133,1.1193695671782797
0,fam_0000_u,working,14,entity,1,control_to_uncertain,2.0,0.12441369438998105
0,fam_0000_u,working,14,entity,1,uncertain_to_control,-0.9789550003034262,0.7930698736238434
0,fam_0000_u,working,15,entity,1,control_to_uncertain,2.0,0.2016547110961304
0,fam_0000_u,working,15,entity,1,uncertain_to_control,0.05655065140805708,0.6850120584311696
0,fam_0000_u,working,16,entity,1,control_to_uncertain,-1.0,0.011018302467230977
0,fam_0000_u,working,16,entity,1,uncertain_to_control,1.2623310794625204,0.22316694933559944
