pair,set,direction,logodds_rec,entropy_rec
0,direction,uncertain_to_control,0.9321359556306988,0.5652768797974749
0,hedgematched0,uncertain_to_control,0.01447981736909097,-0.005359186346373551
0,hedgematched1,uncertain_to_control,0.007368311061599346,-0.0027706217593568183
0,hedgematched2,uncertain_to_control,-0.01075377460907087,-0.005366916169220752
0,hedgematched3,uncertain_to_control,-0.005536365214859474,0.017229189247419535
0,hedgematched4,uncertain_to_control,0.015829272401348453,-0.007691457222801276
0,hedgematched5,uncertain_to_control,-0.004107408609985786,-0.01597053217656881
0,hedgematched6,uncertain_to_control,0.004758570513384642,-0.0021406128483263233
0,hedgematched7,uncertain_to_control,0.010243358975108195,-0.005942041448103878
0,hedgematched8,uncertain_to_control,0.020775720409629047,-0.00900601848920707
0,hedgematched9,uncertain_to_control,0.024578761435418588,0.009161673308203534
1,direction,uncertain_to_control,0.8955708228766525,0.31903437959432357
1,hedgematched0,uncertain_to_control,0.001053533141942758,-0.05915199963165103
1,hedgematched1,uncertain_to_control,0.007543184755746308,-0.08194305688957133
1,hedgematched2,uncertain_to_control,-0.010723325315841256,-0.0036701049473335926
1,hedgematched3,uncertain_to_control,0.0004881702730546123,-0.029610733303565596
1,hedgematched4,uncertain_to_control,0.0010649406627319417,-0.025530786585672725
1,hedgematched5,uncertain_to_control,-0.008777140883444449,0.02487265726306006
1,hedgematched6,uncertain_to_control,-0.009281987621868002,-0.017522007244910306
1,hedgematched7,uncertain_to_control,-0.006805583669382015,-0.05255437698161575
1,hedgematched8,uncertain_to_control,-0.002436503207124718,-0.01239577276723236
1,hedgematched9,uncertain_to_control,-0.005244799513333678,-0.04748810629009409
2,direction,uncertain_to_control,0.523611733121457,-0.04622396048598521
2,hedgematched0,uncertain_to_control,0.008805862452036331,0.005012087730246646
2,hedgematched1,uncertain_to_control,0.02097671547462408,0.004172851066640824
2,hedgematched2,uncertain_to_control,0.006276664881038485,0.0020927171794759424
2,hedgematched3,uncertain_to_control,0.012897439817222703,0.005967576723002935
2,hedgematched4,uncertain_to_control,0.021144576802578897,-0.0004986173391949588
2,hedgematched5,uncertain_to_control,-0.004871662165759661,-0.0012263277105489456
2,hedgematched6,uncertain_to_control,-0.0018857480377098602,0.005040969715941114
2,hedgematched7,uncertain_to_control,0.008424292458410471,0.0045308264548660614
