pair,set,direction,logodds_rec,entropy_rec
0,direction,control_to_uncertain,0.14500113576758056,0.15807060597842265
0,direction,uncertain_to_control,0.9321359556306988,0.5652768797974749
0,random0,control_to_uncertain,-0.01514958143198906,0.038340526100436666
0,random0,uncertain_to_control,-0.0012966266256981798,-3.587091384838397e-05
0,random1,control_to_uncertain,-0.00010129760636820545,0.03703284418737166
0,random1,uncertain_to_control,0.0020733423156011305,-0.00017084987417776136
0,random2,control_to_uncertain,-0.014849227770840212,0.051149126048085546
0,random2,uncertain_to_control,-0.002203341629781375,0.00993140490947697
0,random3,control_to_uncertain,0.000920396870814649,-0.0056127963531867565
0,random3,uncertain_to_control,-0.002567356973671211,0.017297359103189355
0,random4,control_to_uncertain,-0.0054853063872780565,0.018598520750038507
0,random4,uncertain_to_control,0.010654462383994926,-0.007728197505478441
0,random5,control_to_uncertain,0.005356429245132568,0.031250029530191195
0,random5,uncertain_to_control,-0.008214903540897323,0.00031590217332757534
0,random6,control_to_uncertain,-0.004059845779897263,0.018094286829345736
0,random6,uncertain_to_control,-0.0008042089047544832,0.00486772836759938
0,random7,control_to_uncertain,4.229725361774237e-06,0.018190975762564034
0,random7,uncertain_to_control,0.011782374760313765,-0.008124327302244577
0,random8,control_to_uncertain,0.0005963912760101673,0.009533271784540165
0,random8,uncertain_to_control,0.008477319155178827,-0.008600646923804547
0,random9,control_to_uncertain,-0.00409320881769983,0.017334912056728206
0,random9,uncertain_to_control,0.017424569430143345,0.00864959616872937
1,direction,control_to_uncertain,0.6117708375376186,0.4126252680970171
1,direction,uncertain_to_control,0.8955708228766525,0.31903437959432357
1,random0,control_to_uncertain,-0.0012089414296447294,-0.0402860272599655
1,random0,uncertain_to_control,0.004744556707067194,0.01440884273105064
1,random1,control_to_uncertain,-0.0016095602595124017,0.032330920861722436
1,random1,uncertain_to_control,0.010573595211133003,-0.014553665982437035
1,random2,control_to_uncertain,-0.025067182880002037,0.08868322737946475
1,random2,uncertain_to_control,-0.010077035550592176,-0.018151760847288298
1,random3,control_to_uncertain,-0.01853049442599376,0.08067270801812192
1,random3,uncertain_to_control,0.00048796565384763145,-0.015779443557480108
1,random4,control_to_uncertain,-0.003829780964858339,-0.06400545242141265
1,random4,uncertain_to_control,0.006439724527300218,0.042592089919980466
1,random5,control_to_uncertain,-0.021194585346082952,0.07109188700681124
1,random5,uncertain_to_control,-0.004918841116613151,-0.003814660503246075
1,random6,control_to_uncertain,-0.02324668579549323,0.0066185028970004185
1,random6,uncertain_to_control,-0.014602035848568895,-0.006863845798840772
1,random7,control_to_uncertain,0.0023802840800067238,-0.007944666274760493
1,random7,uncertain_to_control,0.01007442665570317,-0.0204273062232773
1,random8,control_to_uncertain,0.0023850158991681565,-0.04706514744131312
1,random8,uncertain_to_control,-0.007082075372814916,-0.06612024666531748
1,random9,control_to_uncertain,0.0024456343392362393,-0.037448722931972156
1,random9,uncertain_to_control,0.0064421799577839885,-0.055611860836901714
2,direction,control_to_uncertain,0.35184060201124734,0.29948315149151794
2,direction,uncertain_to_control,0.523611733121457,-0.04622396048598521
2,random0,control_to_uncertain,-0.0021003351134360328,0.008149767303145638
2,random0,uncertain_to_control,0.011062299533011712,0.003966214012032268
2,random1,control_to_uncertain,-0.002319314239437863,0.006549013623522826
2,random1,uncertain_to_control,0.020345790368573775,0.003032462452279441
2,random2,control_to_uncertain,0.011085393216719204,-0.00017871312831010253
2,random2,uncertain_to_control,0.009376205600090788,0.00024984319663854814
2,random3,control_to_uncertain,0.010776334556354043,0.0010636796025988318
2,random3,uncertain_to_control,0.018992585510739485,0.0058298147920468404
2,random4,control_to_uncertain,0.0020491889795807914,0.004719821196206557
2,random4,uncertain_to_control,0.017998395343179933,-0.004263819974657459
2,random5,control_to_uncertain,-0.00032651351823487185,0.009453662773818195
2,random5,uncertain_to_control,-0.0031775208633014022,-0.0003589977077026912
2,random6,control_to_uncertain,0.0009954652789299038,-0.003366947859825582
2,random6,uncertain_to_control,-0.002954064679599224,0.0030057828348306888
2,random7,control_to_uncertain,0.006677474888452549,0.011761043676257103
2,random7,uncertain_to_control,0.005664611423269394,0.008882098558537716
2,random8,control_to_uncertain,-0.00527516407495558,-0.004118066426300469
2,random8,uncertain_to_control,0.006707879210683393,0.00597069041603998
2,random9,control_to_uncertain,0.006085284832252724,-0.006334969134071919
2,random9,uncertain_to_control,0.002815389234121357,0.006705609600166413
3,direction,control_to_uncertain,0.49193629121157273,0.24825203174635094
3,direction,uncertain_to_control,0.6993066021769219,0.015084237419188847
3,random0,control_to_uncertain,0.0053693938397663295,0.009045743289320096
3,random0,uncertain_to_control,0.006704800254743317,0.004556877595193308
3,random1,control_to_uncertain,0.005262251067575339,0.0011159300024010073
3,random1,uncertain_to_control,0.014757520703841141,-0.007487958773699251
3,random2,control_to_uncertain,-0.0019031028071096055,-0.011898713289707308
3,random2,uncertain_to_control,-0.007425738734418406,-0.0023353664524015457
3,random3,control_to_uncertain,0.0011595412758739195,0.013660854403473767
3,random3,uncertain_to_control,0.006014991094015611,0.004438609980075277
3,random4,control_to_uncertain,-0.0016105027219538539,0.012112643253743543
3,random4,uncertain_to_control,0.0017744228898329266,-0.009231416670606543
3,random5,control_to_uncertain,0.0009557011175839181,-0.02429474243581085
3,random5,uncertain_to_control,-0.0038856319163839605,-0.0034392094118345057
3,random6,control_to_uncertain,0.005218426984837953,-0.004675011504083816
3,random6,uncertain_to_control,-0.011904430715598923,-0.0014108146303279524
3,random7,control_to_uncertain,0.007403296667270293,0.008171910696220093
3,random7,uncertain_to_control,0.0032560130002654785,0.008800133863109497
3,random8,control_to_uncertain,0.0019569844521979316,0.0011517276163830704
3,random8,uncertain_to_control,0.009953108490020157,-0.0014208515111406525
3,random9,control_to_uncertain,-0.006304230040082359,-0.004933581520615611
3,random9,uncertain_to_control,-0.0046416296622489575,0.002273112832867002
4,direction,control_to_uncertain,0.2590474956324907,0.23486299149061632
4,direction,uncertain_to_control,1.0563793858791557,0.7948346677142435
4,random0,control_to_uncertain,0.009566977447825859,0.010859081045366228
4,random0,uncertain_to_control,0.0009155292811625879,-0.03405587003731584
4,random1,control_to_uncertain,0.006643690386416196,0.018331886381474226
4,random1,uncertain_to_control,-0.006640816440803066,0.032783423567048046
4,random2,control_to_uncertain,-0.015600035120261223,0.06449702837196272
4,random2,uncertain_to_control,-0.01701379032125513,0.02913310296444092
4,random3,control_to_uncertain,0.010473368227769167,-0.02977802424508724
4,random3,uncertain_to_control,0.0015621670441169058,0.027058843707147832
4,random4,control_to_uncertain,0.0077990811059420635,0.014634767843856608
4,random4,uncertain_to_control,-0.007229135711877458,-0.001421701664389385
4,random5,control_to_uncertain,0.014697713072309538,0.05304746029321806
4,random5,uncertain_to_control,0.0008892762723594987,0.024602197134463617
4,random6,control_to_uncertain,-0.013109486768532,0.026721212532045967
4,random6,uncertain_to_control,0.014904604864931175,0.021908906553589354
4,random7,control_to_uncertain,0.014716894237412901,0.0206518552155196
4,random7,uncertain_to_control,-0.008774252831458041,0.03067984413755816
4,random8,control_to_uncertain,0.0015847388192132888,0.02970664310163319
4,random8,uncertain_to_control,-0.007231977365966846,-0.0180534672532879
4,random9,control_to_uncertain,0.013101995135023616,0.033140615135579254
4,random9,uncertain_to_control,0.008404902382885182,0.060592585998351864
5,direction,control_to_uncertain,0.7923244582968773,-0.08278226146040855
5,direction,uncertain_to_control,1.0738463023449152,0.2593186907062583
5,random0,control_to_uncertain,-0.004485832220191409,-0.015063014492532155
5,random0,uncertain_to_control,0.00928593891575306,-0.008955603359624939
5,random1,control_to_uncertain,-0.0405167054320288,0.021204494910447957
5,random1,uncertain_to_control,-0.0028778740597972577,-0.03486368380145481
5,random2,control_to_uncertain,-0.02878533122848315,-0.017891534914516886
5,random2,uncertain_to_control,-0.009348939116066712,-0.013372208620800647
5,random3,control_to_uncertain,-0.022080272841724192,-0.02336850747052465
5,random3,uncertain_to_control,0.00020622965077961452,-0.009638614121926759
5,random4,control_to_uncertain,-0.03817095991754966,0.022875286859103294
5,random4,uncertain_to_control,-0.0015358763826053023,-0.005883922325223285
5,random5,control_to_uncertain,-0.053682501824099706,-0.010748331987762883
5,random5,uncertain_to_control,-0.006014287656631264,-0.03007208832628921
