kind,layer,index,drop_recovery,marginal
head,14,24,0.8098192595196199,0.03256928038995455
head,8,19,0.8279380643719925,0.014450475537581942
neuron,21,3112,0.8286517935953484,0.013736746314226056
head,13,30,0.8302835942949034,0.012104945614671014
head,12,22,0.8307401890771711,0.011648350832403342
head,17,20,0.8312062916181204,0.011182248291453978
head,15,4,0.8312251940168204,0.011163345892754029
head,12,31,0.8330605345696358,0.009328005339938605
head,13,11,0.8348869716736761,0.007501568235898315
head,12,28,0.83520751686638,0.007181023043194457
head,31,26,0.8356335204320176,0.006755019477556856
head,8,6,0.8359063659371158,0.006482173972458649
head,23,30,0.8365137017252314,0.005874838184342979
head,15,7,0.8379108276868223,0.004477712222752062
neuron,17,5607,0.8386817326679279,0.0037068072416465148
neuron,13,5122,0.8388443277988159,0.0035442121107585045
neuron,17,10831,0.8400555896435807,0.002332950265993672
neuron,23,2789,0.8403434148551421,0.0020451250544323285
neuron,21,6349,0.8404922886321651,0.0018962512774093332
neuron,16,14010,0.8405739614161318,0.0018145784934425757
neuron,25,5344,0.8408444911344151,0.0015440487751593457
neuron,14,4914,0.8410402169054025,0.0013483230041718697
neuron,25,11944,0.8410697386952181,0.0013188012143563466
neuron,21,4937,0.841493394837879,0.0008951450716954135
neuron,25,1472,0.841528646239305,0.000859893670269396
neuron,20,12078,0.8415414742585534,0.0008470656510209951
neuron,16,9686,0.8415924130563672,0.0007961268532071797
neuron,19,7074,0.8416088690607683,0.0007796708488061466
neuron,19,2606,0.8416457529627976,0.0007427869467767634
neuron,20,2452,0.8416522421682725,0.0007362977413019056
neuron,20,8953,0.84172254003614,0.0006659998734344086
neuron,16,2874,0.841722940780508,0.0006655991290663854
neuron,22,11208,0.8418307293634912,0.0005578105460831706
neuron,19,2045,0.8418882312833617,0.0005003086262127532
head,31,24,0.8419918105820517,0.0003967293275226602
neuron,24,679,0.8419979098571716,0.00039063005240280724
neuron,14,1518,0.8420251970070303,0.00036334290254413926
neuron,20,14269,0.842090225350704,0.00029831455887041614
neuron,20,12816,0.842133849886289,0.0002546900232853755
neuron,17,9282,0.8421485740936987,0.00023996581587570898
neuron,22,5788,0.8421541527128784,0.0002343871966959954
neuron,18,2351,0.8422226703770438,0.00016586953253061587
neuron,22,3127,0.8423216356993596,6.690421021482429e-05
neuron,18,7148,0.8423629868485186,2.5553061055783033e-05
neuron,17,2578,0.8423883021075355,2.378020389492974e-07
neuron,24,6721,0.8424036448960933,-1.5104986518910124e-05
neuron,22,3334,0.8424368549909679,-4.831508139346852e-05
neuron,12,10203,0.8424944129450691,-0.00010587303549469684
neuron,16,13602,0.8425680944507096,-0.0001795545411351629
neuron,17,11316,0.8425715856856155,-0.00018304577604111305
neuron,16,1227,0.8426615823842242,-0.00027304247464976505
neuron,17,9172,0.8427668234403904,-0.00037828353081603705
neuron,19,5781,0.8427844180550196,-0.0003958781454451721
neuron,15,5812,0.8429275098250517,-0.0005389699154773053
neuron,14,4109,0.8429655268866325,-0.0005769869770581026
neuron,14,7309,0.8429856039768271,-0.0005970640672526839
neuron,20,8899,0.8430111508309125,-0.0006226109213380848
head,29,0,0.8430143314502918,-0.000625791540717402
neuron,15,12757,0.8430640897636756,-0.0006755498541012317
neuron,13,2212,0.8430998923830889,-0.0007113524735145038
neuron,18,9037,0.843115153542207,-0.0007266136326326
neuron,17,13707,0.843129384993881,-0.0007408450843066072
neuron,16,830,0.8431639150307387,-0.0007753751211643234
neuron,20,4260,0.8431720026815472,-0.0007834627719728315
neuron,19,10860,0.8431804094066575,-0.0007918694970830975
neuron,16,9086,0.8431850267735196,-0.0007964868639451783
neuron,18,8841,0.8432216570785371,-0.000833117168962727
head,21,9,0.8432871253139959,-0.0008985854044214481
head,10,27,0.843288791196522,-0.0009002512869475954
neuron,18,6394,0.843334083596832,-0.0009455436872576328
neuron,19,2223,0.8433649055420511,-0.0009763656324767167
neuron,16,12347,0.8433873270612656,-0.0009987871516912161
neuron,14,11430,0.843430901297409,-0.001042361387834645
neuron,17,8326,0.8434788969384007,-0.0010903570288263165
neuron,18,7056,0.8434835621657842,-0.0010950222562098322
neuron,19,12457,0.8436518299098963,-0.0012632900003218817
neuron,15,10929,0.8436616233531826,-0.001273083443608214
neuron,23,5263,0.8438916670398134,-0.0015031271302390348
neuron,18,2546,0.84395850406887,-0.001569964159295556
neuron,16,3669,0.8440120031724173,-0.0016234632628429058
neuron,17,2810,0.8440182899841786,-0.001629750074604197
neuron,20,2673,0.8440247778209866,-0.0016362379114122083
neuron,16,13926,0.8440262369560486,-0.0016376970464742069
neuron,17,10179,0.8440332338648734,-0.0016446939552989814
neuron,15,11411,0.844043863187223,-0.0016553232776486126
neuron,15,5228,0.8440463818998422,-0.00165784199026775
neuron,13,4038,0.8440732749904784,-0.001684735080903943
neuron,16,2991,0.8440840203007511,-0.001695480391176729
neuron,14,2672,0.844122996634617,-0.0017344567250425769
neuron,19,11933,0.8441478985429874,-0.0017593586334130329
neuron,21,8761,0.8441625414232533,-0.0017740015136789022
neuron,16,9160,0.84416950019726,-0.0017809602876855957
neuron,14,7888,0.844233691708314,-0.0018451517987395638
neuron,13,567,0.8442437355604916,-0.0018551956509171852
neuron,15,12980,0.8442607271594551,-0.0018721872498806968
neuron,16,6443,0.8443757889826982,-0.0019872490731237535
neuron,16,11339,0.8444204444727886,-0.0020319045632142263
neuron,24,398,0.8444231564902658,-0.002034616580691373
