prompt_id,is_control,alpha,hedge_logodds,entropy,top1,direction
lok_0084,False,-3.0,-1.4991388320922852,2.839419364929199, injection,hedging
lok_0084,False,-1.5,-0.09578752517700195,2.824552297592163, injection,hedging
lok_0084,False,0.0,0.5881149768829346,3.25203800201416, not,hedging
lok_0084,False,1.5,1.796388030052185,2.3526713848114014, I,hedging
lok_0084,False,3.0,2.5385825634002686,5.716671943664551, I,hedging
lok_0085,False,-3.0,-2.9692790508270264,5.969435691833496, yes,hedging
lok_0085,False,-1.5,-1.390891671180725,3.31609845161438, yes,hedging
lok_0085,False,0.0,0.5423909425735474,2.305391311645508, I,hedging
lok_0085,False,1.5,1.867659091949463,2.3395371437072754, I,hedging
lok_0085,False,3.0,2.55877947807312,5.4566545486450195, I,hedging
lok_0086,False,-3.0,-3.984973430633545,6.205424785614014, yes,hedging
lok_0086,False,-1.5,-2.965762138366699,3.4453139305114746, yes,hedging
lok_0086,False,0.0,-0.25145459175109863,3.4537301063537598, that,hedging
lok_0086,False,1.5,1.4880034923553467,3.5618221759796143, no,hedging
lok_0086,False,3.0,2.2177562713623047,6.0855913162231445, I,hedging
lok_0087,False,-3.0,-4.808526992797852,4.448294639587402, yes,hedging
lok_0087,False,-1.5,-4.093028545379639,1.8127434253692627, yes,hedging
lok_0087,False,0.0,-0.2893330454826355,2.4912772178649902, that,hedging
lok_0087,False,1.5,1.6466912031173706,2.31650447845459, I,hedging
lok_0087,False,3.0,2.3777294158935547,4.868686676025391, I,hedging
lok_0088,False,-3.0,-1.9712271690368652,7.3017377853393555, it,hedging
lok_0088,False,-1.5,-0.6176013946533203,5.110875606536865, it,hedging
lok_0088,False,0.0,0.19409596920013428,3.0355565547943115, that,hedging
lok_0088,False,1.5,1.7923110723495483,3.728097915649414, I,hedging
lok_0088,False,3.0,2.4431023597717285,6.786675453186035, I,hedging
lok_0089,False,-3.0,-0.7332837581634521,6.577983856201172, it,hedging
lok_0089,False,-1.5,1.1101261377334595,2.4283676147460938, not,hedging
lok_0089,False,0.0,0.9356366395950317,1.902815580368042, I,hedging
lok_0089,False,1.5,2.130598783493042,4.29549503326416, I,hedging
lok_0089,False,3.0,2.542017698287964,7.571173667907715, I,hedging
lok_0090,False,-3.0,-0.8169989585876465,6.352023124694824, B,hedging
lok_0090,False,-1.5,1.708376407623291,2.284167766571045, not,hedging
lok_0090,False,0.0,0.44503289461135864,2.370152473449707, that,hedging
lok_0090,False,1.5,1.5672768354415894,6.13778829574585, I,hedging
lok_0090,False,3.0,2.264110565185547,7.758040428161621, null,hedging
lok_0091,False,-3.0,-0.39073944091796875,7.115475177764893, B,hedging
lok_0091,False,-1.5,1.7766293287277222,3.369701385498047, not,hedging
lok_0091,False,0.0,0.4105979800224304,2.893665313720703, that,hedging
lok_0091,False,1.5,1.4900590181350708,6.049705982208252, I,hedging
lok_0091,False,3.0,2.174355983734131,7.333135604858398, Hamilton,hedging
lok_0092,False,-3.0,-1.7353253364562988,5.2428483963012695, Mexican,hedging
lok_0092,False,-1.5,-0.36754775047302246,2.5389280319213867, Mexican,hedging
lok_0092,False,0.0,1.0913352966308594,2.9561307430267334, Mexican,hedging
lok_0092,False,1.5,1.3616865873336792,4.041945457458496, I,hedging
lok_0092,False,3.0,2.144106149673462,6.358865737915039, I,hedging
lok_0093,False,-3.0,-3.6579227447509766,5.263998031616211, yes,hedging
lok_0093,False,-1.5,-2.3920342922210693,2.7814435958862305, yes,hedging
lok_0093,False,0.0,0.042454540729522705,2.830779552459717, that,hedging
lok_0093,False,1.5,1.5118861198425293,3.204509735107422, I,hedging
lok_0093,False,3.0,2.2400870323181152,6.168373107910156, I,hedging
lok_0094,False,-3.0,-4.089048862457275,5.36435604095459, dro,hedging
lok_0094,False,-1.5,-3.2771849632263184,3.044367790222168, yes,hedging
lok_0094,False,0.0,-1.1399842500686646,2.796034097671509, yes,hedging
lok_0094,False,1.5,0.35862207412719727,3.860133409500122, that,hedging
lok_0094,False,3.0,1.496989369392395,6.2142133712768555, I,hedging
lok_0095,False,-3.0,-2.2121472358703613,5.957013130187988, related,hedging
lok_0095,False,-1.5,-0.5660692453384399,3.7162930965423584, the,hedging
lok_0095,False,0.0,0.1260221004486084,3.772660732269287, that,hedging
lok_0095,False,1.5,1.3081938028335571,6.358932971954346, I,hedging
lok_0095,False,3.0,2.067478656768799,7.359551429748535, null,hedging
lok_0096,False,-3.0,-3.6871399879455566,6.610018730163574, related,hedging
lok_0096,False,-1.5,-2.4364237785339355,3.628164768218994, actually,hedging
lok_0096,False,0.0,-0.183013916015625,2.299631118774414, actually,hedging
lok_0096,False,1.5,1.0828521251678467,3.248491048812866, Bad,hedging
lok_0096,False,3.0,1.8875045776367188,6.4769182205200195, Bad,hedging
lok_0097,False,-3.0,-3.295581817626953,6.204423427581787, yes,hedging
lok_0097,False,-1.5,-2.066821575164795,3.572597026824951, yes,hedging
lok_0097,False,0.0,0.3842732906341553,2.622631549835205, that,hedging
lok_0097,False,1.5,1.9017622470855713,2.390805721282959, I,hedging
lok_0097,False,3.0,2.5499467849731445,5.330639362335205, I,hedging
lok_0098,False,-3.0,-4.817481994628906,5.443749904632568, yes,hedging
lok_0098,False,-1.5,-4.299025058746338,2.1800589561462402, yes,hedging
lok_0098,False,0.0,-1.8678139448165894,1.9935109615325928, yes,hedging
lok_0098,False,1.5,0.8224308490753174,3.6498868465423584, no,hedging
lok_0098,False,3.0,1.7978143692016602,6.6849164962768555, no,hedging
lok_0099,False,-3.0,-1.5641696453094482,6.265964031219482, inject,hedging
lok_0099,False,-1.5,0.6916894912719727,3.2319321632385254, not,hedging
lok_0099,False,0.0,0.1203927993774414,2.6057143211364746, that,hedging
lok_0099,False,1.5,1.5016855001449585,6.295116424560547, I,hedging
lok_0099,False,3.0,2.2191450595855713,7.675586700439453, Hamilton,hedging
lok_0100,False,-3.0,-1.128549575805664,6.676111698150635, inject,hedging
lok_0100,False,-1.5,0.22221970558166504,3.4956910610198975, Ac,hedging
lok_0100,False,0.0,0.11635696887969971,2.39760160446167, that,hedging
lok_0100,False,1.5,1.769787311553955,2.3513846397399902, I,hedging
lok_0100,False,3.0,2.4068140983581543,5.814393043518066, I,hedging
lok_0101,False,-3.0,-4.501893997192383,5.3067193031311035, yes,hedging
lok_0101,False,-1.5,-3.5281028747558594,2.0690040588378906, yes,hedging
lok_0101,False,0.0,0.10977429151535034,2.605404853820801, that,hedging
lok_0101,False,1.5,1.8499691486358643,2.6688075065612793, I,hedging
lok_0101,False,3.0,2.497497081756592,5.466899394989014, I,hedging
lok_0102,False,-3.0,-3.2749435901641846,6.309475898742676, yes,hedging
lok_0102,False,-1.5,-1.933255910873413,3.2498676776885986, yes,hedging
lok_0102,False,0.0,0.2471657395362854,2.565670967102051, that,hedging
lok_0102,False,1.5,1.775214433670044,2.5486788749694824, I,hedging
lok_0102,False,3.0,2.4579479694366455,5.753932952880859, I,hedging
lok_0103,False,-3.0,-3.4649465084075928,7.063587188720703, related,hedging
lok_0103,False,-1.5,-2.2948241233825684,5.240715026855469, related,hedging
lok_0103,False,0.0,0.05394291877746582,3.602849006652832, that,hedging
lok_0103,False,1.5,1.5346113443374634,4.618880271911621, no,hedging
lok_0103,False,3.0,2.2537689208984375,6.719594955444336, null,hedging
lok_0104,False,-3.0,-3.2586302757263184,5.909794807434082, related,hedging
lok_0104,False,-1.5,-1.7712929248809814,3.46926212310791, a,hedging
lok_0104,False,0.0,0.06674766540527344,2.269362449645996, that,hedging
lok_0104,False,1.5,1.6809210777282715,4.103920936584473, I,hedging
lok_0104,False,3.0,2.3596954345703125,7.332704544067383, null,hedging
lok_0105,False,-3.0,-0.6187038421630859,2.25311279296875, injection,hedging
lok_0105,False,-1.5,1.343498706817627,2.0754709243774414, injection,hedging
lok_0105,False,0.0,1.342430830001831,2.2703003883361816, not,hedging
lok_0105,False,1.5,1.8168644905090332,3.0916481018066406, I,hedging
lok_0105,False,3.0,2.4658684730529785,6.623979568481445, I,hedging
lok_0106,False,-3.0,-0.6880097389221191,2.6384973526000977, oral,hedging
lok_0106,False,-1.5,0.8077125549316406,2.436253547668457, oral,hedging
lok_0106,False,0.0,0.5648863315582275,2.2936291694641113, I,hedging
lok_0106,False,1.5,1.914042353630066,1.8399699926376343, I,hedging
lok_0106,False,3.0,2.6116631031036377,4.490506649017334, I,hedging
lok_0107,False,-3.0,-3.063485622406006,5.078581809997559, likely,hedging
lok_0107,False,-1.5,-1.1137226819992065,3.2080788612365723, likely,hedging
lok_0107,False,0.0,1.2017405033111572,1.7875727415084839, no,hedging
lok_0107,False,1.5,2.2940104007720947,2.055035352706909, no,hedging
lok_0107,False,3.0,2.73807430267334,4.3403215408325195, no,hedging
lok_0108,False,-3.0,-2.320255756378174,6.533784866333008, from,hedging
lok_0108,False,-1.5,-1.2505931854248047,4.145467758178711, from,hedging
lok_0108,False,0.0,0.36204278469085693,4.151332378387451, not,hedging
lok_0108,False,1.5,0.8167238235473633,4.899980545043945, I,hedging
lok_0108,False,3.0,1.7764465808868408,6.982463836669922, I,hedging
lok_0109,False,-3.0,-3.7099709510803223,5.630489349365234, yes,hedging
lok_0109,False,-1.5,-2.137946128845215,3.38326358795166, yes,hedging
lok_0109,False,0.0,0.4932706952095032,2.0650370121002197, no,hedging
lok_0109,False,1.5,1.8159364461898804,2.312812328338623, no,hedging
lok_0109,False,3.0,2.4220259189605713,5.236397743225098, I,hedging
lok_0110,False,-3.0,-1.7315151691436768,6.12197208404541, from,hedging
lok_0110,False,-1.5,-0.3678779602050781,4.121669292449951, from,hedging
lok_0110,False,0.0,1.2991310358047485,3.4897189140319824, Canadian,hedging
lok_0110,False,1.5,1.7559282779693604,4.3136773109436035, I,hedging
lok_0110,False,3.0,2.417372941970825,6.658791542053223, I,hedging
lok_0111,False,-3.0,-1.8481276035308838,6.759231090545654, from,hedging
lok_0111,False,-1.5,-0.5979678630828857,4.824552059173584, Japanese,hedging
lok_0111,False,0.0,0.9236148595809937,4.585159778594971, not,hedging
lok_0111,False,1.5,1.0347219705581665,5.7022504806518555, I,hedging
lok_0111,False,3.0,1.8901348114013672,7.119083881378174, I,hedging
lok_0112,False,-3.0,-3.9362378120422363,5.980409622192383, yes,hedging
lok_0112,False,-1.5,-2.9283976554870605,3.0543017387390137, yes,hedging
lok_0112,False,0.0,-0.13346803188323975,2.3925442695617676, that,hedging
lok_0112,False,1.5,1.7497044801712036,2.466858386993408, I,hedging
lok_0112,False,3.0,2.4252548217773438,6.105521202087402, I,hedging
lok_0113,False,-3.0,-1.589085340499878,6.150561332702637, related,hedging
lok_0113,False,-1.5,0.2556661367416382,3.9816300868988037, not,hedging
lok_0113,False,0.0,0.24820709228515625,3.80251145362854, that,hedging
lok_0113,False,1.5,1.0697245597839355,6.273412227630615, I,hedging
lok_0113,False,3.0,1.91139817237854,7.200989246368408, null,hedging
lok_0114,False,-3.0,-3.8237032890319824,6.231471061706543, yes,hedging
lok_0114,False,-1.5,-2.566075563430786,3.528756618499756, yes,hedging
lok_0114,False,0.0,0.24444067478179932,3.4085216522216797, that,hedging
lok_0114,False,1.5,1.743074893951416,4.643322467803955, I,hedging
lok_0114,False,3.0,2.426236391067505,6.837917327880859, I,hedging
lok_0115,False,-3.0,-3.1036376953125,6.20928955078125, yes,hedging
lok_0115,False,-1.5,-1.5819916725158691,3.267289161682129, yes,hedging
lok_0115,False,0.0,0.4240579605102539,2.296018600463867, that,hedging
lok_0115,False,1.5,1.9945247173309326,2.4212398529052734, I,hedging
lok_0115,False,3.0,2.6414859294891357,6.027787685394287, I,hedging
lok_0116,False,-3.0,-1.5955085754394531,7.324786186218262, from,hedging
lok_0116,False,-1.5,0.07849478721618652,5.012846946716309, Chinese,hedging
lok_0116,False,0.0,1.026931643486023,3.638979196548462, not,hedging
lok_0116,False,1.5,1.9622695446014404,5.039566993713379, I,hedging
lok_0116,False,3.0,2.5912749767303467,7.447483062744141, I,hedging
lok_0117,False,-3.0,-4.880787372589111,6.741438865661621, yes,hedging
lok_0117,False,-1.5,-4.269309043884277,4.159160614013672, yes,hedging
lok_0117,False,0.0,-0.15187299251556396,3.6600215435028076, Br,hedging
lok_0117,False,1.5,3.287405490875244,4.142191410064697, no,hedging
lok_0117,False,3.0,3.375404119491577,6.320220470428467, Hamilton,hedging
lok_0118,False,-3.0,-5.149659633636475,5.794585227966309, yes,hedging
lok_0118,False,-1.5,-4.888925075531006,1.65384042263031, yes,hedging
lok_0118,False,0.0,-1.9449867010116577,2.2503132820129395, yes,hedging
lok_0118,False,1.5,1.1156996488571167,4.273184776306152, no,hedging
lok_0118,False,3.0,1.9246373176574707,6.681229591369629, no,hedging
lok_0119,False,-3.0,-1.6059889793395996,7.689752578735352, it,hedging
lok_0119,False,-1.5,0.45855188369750977,4.199240207672119, it,hedging
lok_0119,False,0.0,0.6901242733001709,4.26974630355835, not,hedging
lok_0119,False,1.5,1.2601597309112549,6.435014724731445, I,hedging
lok_0119,False,3.0,2.0202865600585938,7.310606956481934, Kabul,hedging
lok_ctrl_0084,True,-3.0,-5.32118034362793,2.113995313644409, oral,hedging
lok_ctrl_0084,True,-1.5,-5.714197158813477,1.3798494338989258, oral,hedging
lok_ctrl_0084,True,0.0,-7.695778846740723,1.9288432598114014, oral,hedging
lok_ctrl_0084,True,1.5,-6.940566062927246,1.2651283740997314, that,hedging
lok_ctrl_0084,True,3.0,-3.524402379989624,2.9613254070281982, that,hedging
lok_ctrl_0085,True,-3.0,-5.382275104522705,3.605545997619629, yes,hedging
lok_ctrl_0085,True,-1.5,-5.196259021759033,1.0939526557922363, yes,hedging
lok_ctrl_0085,True,0.0,-3.0235612392425537,0.9785022139549255, yes,hedging
lok_ctrl_0085,True,1.5,0.6309492588043213,2.139026641845703, no,hedging
lok_ctrl_0085,True,3.0,1.5325571298599243,3.2844808101654053, no,hedging
lok_ctrl_0086,True,-3.0,-2.702882766723633,5.824079513549805, somewhat,hedging
lok_ctrl_0086,True,-1.5,-1.9023067951202393,3.990387439727783, somewhat,hedging
lok_ctrl_0086,True,0.0,-0.37343084812164307,2.7836503982543945, Mediterranean,hedging
lok_ctrl_0086,True,1.5,-0.8851422071456909,3.005990505218506, that,hedging
lok_ctrl_0086,True,3.0,-0.3130059242248535,6.435748100280762,",",hedging
lok_ctrl_0087,True,-3.0,-3.9207680225372314,5.322610378265381, multiple,hedging
lok_ctrl_0087,True,-1.5,-3.7786777019500732,3.2620437145233154, a,hedging
lok_ctrl_0087,True,0.0,-2.811882257461548,2.5382018089294434, a,hedging
lok_ctrl_0087,True,1.5,-2.1318397521972656,2.7981767654418945, there,hedging
lok_ctrl_0087,True,3.0,-0.5531444549560547,6.032196998596191, there,hedging
lok_ctrl_0088,True,-3.0,-2.998668670654297,3.8177359104156494, diverse,hedging
lok_ctrl_0088,True,-1.5,-2.4355838298797607,2.330288887023926, diverse,hedging
lok_ctrl_0088,True,0.0,-1.1195149421691895,1.7941447496414185, quite,hedging
lok_ctrl_0088,True,1.5,-1.0598363876342773,2.963761806488037, that,hedging
lok_ctrl_0088,True,3.0,0.0016217231750488281,6.425519943237305, that,hedging
lok_ctrl_0089,True,-3.0,-5.192976474761963,4.854992866516113, yes,hedging
lok_ctrl_0089,True,-1.5,-5.081990718841553,1.7409310340881348, yes,hedging
lok_ctrl_0089,True,0.0,-2.7386085987091064,1.4580037593841553, yes,hedging
lok_ctrl_0089,True,1.5,0.36134040355682373,2.5944011211395264,",",hedging
lok_ctrl_0089,True,3.0,1.4483363628387451,5.2415771484375, no,hedging
lok_ctrl_0090,True,-3.0,-7.189760208129883,3.50492000579834, yes,hedging
lok_ctrl_0090,True,-1.5,-8.003155708312988,0.520794689655304, yes,hedging
lok_ctrl_0090,True,0.0,-7.140860557556152,0.3981850743293762, yes,hedging
lok_ctrl_0090,True,1.5,-3.8171401023864746,1.4337100982666016,",",hedging
lok_ctrl_0090,True,3.0,-1.2966406345367432,3.8224828243255615,",",hedging
lok_ctrl_0091,True,-3.0,-3.6535162925720215,4.555298805236816, yes,hedging
lok_ctrl_0091,True,-1.5,-2.4645419120788574,2.995493173599243, yes,hedging
lok_ctrl_0091,True,0.0,0.5830572843551636,2.3601295948028564, no,hedging
lok_ctrl_0091,True,1.5,2.1714985370635986,1.885094404220581, no,hedging
lok_ctrl_0091,True,3.0,2.660554885864258,3.5826761722564697, no,hedging
lok_ctrl_0092,True,-3.0,-3.700623035430908,4.100998878479004, topical,hedging
lok_ctrl_0092,True,-1.5,-3.4454572200775146,2.9187629222869873, topical,hedging
lok_ctrl_0092,True,0.0,-4.382307529449463,2.549215316772461, that,hedging
