neuron_id,is_candidate,n_prompts,d_elogu_slope_per_sigma,d_elogu_slope_p,d_elogu_mean_ablation,d_elogu_mean_ablation_p,d_elogu_beyond_temp_slope_per_sigma,d_elogu_beyond_temp_slope_p,d_elogu_beyond_temp_mean_ablation,d_elogu_beyond_temp_mean_ablation_p,d_kl_slope_per_sigma,d_kl_slope_p,d_kl_mean_ablation,d_kl_mean_ablation_p,d_entropy_slope_per_sigma,d_entropy_slope_p,d_entropy_mean_ablation,d_entropy_mean_ablation_p,freq_corr,abs_freq_corr_pctile
L31_N10788,True,120,0.00016674399375915527,0.8550289942011597,0.003415258725484212,0.11377724455108978,1.4972686767578356e-05,0.9854029194161168,0.002285818258921305,0.22015596880623875,0.0008827368418375649,0.40111977604479104,-0.0019053379694620768,0.2709458108378324,-0.0010494937499364214,0.125374925014997,-0.0015099555253982543,0.23615276944611077,,
L31_N11087,False,120,-0.0003717203934987386,0.4647070585882823,0.0018610119819641112,0.22155568886222757,-0.0004443228244781494,0.2625474905018996,0.0018430034319559733,0.1365726854629074,0.00042202572027842206,0.20535892821435714,-0.0019473711649576823,0.04899020195960808,-5.0276517868042026e-05,0.8442311537692462,8.6250901222229e-05,0.9080183963207359,,
L31_N11401,True,120,0.00882756213347117,0.0001999600079984003,-0.000336150328318278,0.8838232353529294,0.005808160702387492,0.0001999600079984003,5.605220794677734e-05,0.976004799040192,-0.0035289138555526733,0.0005998800239952009,-0.0009602030118306478,0.5782843431313738,-0.005298600594202677,0.0001999600079984003,0.0012963126103083292,0.2761447710457908,,
L31_N11731,False,120,-0.0015324254830678301,0.005198960207958408,0.0010901570320129394,0.5986802639472105,-0.0013806949059168498,0.001799640071985603,0.0009512861569722493,0.5502899420115976,0.0013014922539393108,0.0033993201359728054,-0.0022733489672342936,0.4429114177164567,0.00023091261585553486,0.3665266946610678,0.001183202862739563,0.3043391321735653,,
L31_N12073,True,120,0.010156362255414327,0.0001999600079984003,0.009871395428975423,0.0023995200959808036,0.005092793703079223,0.0001999600079984003,0.005825527509053548,0.02959408118376325,-0.0014773617188135778,0.3173365326934613,-0.0034252484639485676,0.28394321135772843,-0.008678988615671793,0.0001999600079984003,-0.006446245312690735,0.001799640071985603,,
L31_N12257,True,120,0.001856028040250142,0.003799240151969606,0.0004128098487854004,0.8230353929214157,0.001206741730372111,0.01999600079984003,0.00012465715408325196,0.9412117576484703,-0.0011245548725128175,0.09738052389522095,6.840626398722331e-05,0.9626074785042992,-0.0007314716776212056,0.060387922415516895,-0.0004811376333236694,0.5856828634273146,,
L31_N12923,True,120,0.01266119877497355,0.0001999600079984003,0.012949268023173014,0.0001999600079984003,0.006687154372533162,0.0001999600079984003,0.007222497463226318,0.004199160167966407,-0.0009592572848002111,0.4485102979404119,-0.0029274384180704755,0.36992601479704057,-0.011701923360427217,0.0001999600079984003,-0.01002185841401418,0.0001999600079984003,,
L31_N13219,True,120,-0.010342660546302795,0.0001999600079984003,0.01223428249359131,0.0003999200159968006,-0.005515164136886596,0.0001999600079984003,0.005158774058024089,0.049590081983603276,0.001834291219711303,0.1993601279744051,0.00010615189870198568,0.9796040791841631,0.008508403350909551,0.0001999600079984003,-0.012340415517489116,0.0001999600079984003,,
L31_N1535,False,120,-0.0006146758794784543,0.3027394521095781,0.0025003949801127114,0.04039192161567687,-0.0003432899713516234,0.45510897820435914,0.0023601770401000975,0.013597280543891222,-0.0001430710156758628,0.8978204359128175,-0.0021593689918518065,0.033793241351729654,0.0007577501237392423,0.011397720455908818,-0.0003410696983337402,0.6504699060187963,,
L31_N1679,True,120,-0.003875567515691121,0.0003999200159968006,0.002480657895406087,0.23395320935812838,-0.0022746652364730837,0.001999600079984003,0.0012698173522949219,0.42651469706058787,0.00018261770407358816,0.8528294341131774,-0.00017539660135904947,0.8976204759048191,0.00369294931491216,0.0001999600079984003,-0.0023052752017974853,0.019596080783843232,,
L31_N1977,True,120,0.013174482186635335,0.0001999600079984003,0.007146461804707845,0.04359128174365127,0.008377340435981751,0.0001999600079984003,0.0011899828910827636,0.6716656668666267,-0.0037329246600468946,0.01779644071185763,0.004290199279785157,0.19696060787842432,-0.009441552559534709,0.0001999600079984003,-0.01143668790658315,0.0001999600079984003,,
L31_N2286,False,120,-0.00026498039563496896,0.551489702059588,0.0009299993515014648,0.6412717456508699,-0.0002882530291875202,0.4179164167166567,0.0011655529340108236,0.45570885822835433,0.00037848949432373036,0.2803439312137572,-0.0012813568115234374,0.34753049390121976,-0.00011347209413846323,0.6596680663867227,0.0003513634204864502,0.7252549490101979,,
L31_N3023,True,120,0.0067334800958633425,0.0001999600079984003,0.010664049784342449,0.0001999600079984003,0.003088992834091186,0.0007998400319936012,0.005459407965342204,0.014997000599880024,4.3123960494995e-05,0.9696060787842431,-0.0009976267814636231,0.7500499900019996,-0.006776599834362666,0.0001999600079984003,-0.009666513403256733,0.0001999600079984003,,
L31_N3811,False,120,0.001878565549850464,0.126374725054989,0.0025089701016743978,0.4579084183163367,0.0016510953505833941,0.14237152569486103,0.0027559439341227213,0.3677264547090582,0.0010723173618316646,0.5216956608678265,-0.003971914450327556,0.3489302139572086,-0.0029508603115876515,0.0023995200959808036,0.001462871829668681,0.4293141371725655,,
L31_N4012,False,120,0.0009452948967615763,0.10897820435912818,0.0026943286259969077,0.13537292541491702,0.0007972697416941324,0.07378524295140972,0.0025164286295572915,0.07738452309538092,-0.0010578711827596025,0.07738452309538092,-0.0022741079330444334,0.046590681863627276,0.00011255616943041483,0.7490501899620076,-0.0004202902317047119,0.637872425514897,,
L31_N409,False,120,-0.0018836081027984615,0.0005998800239952009,0.0021962483723958334,0.16936612677464508,-0.0016033629576365153,0.0001999600079984003,0.0014919598897298178,0.23555288942211558,0.001832345128059387,0.0003999200159968006,-0.001233514149983724,0.29514097180563886,5.127464731534324e-05,0.882623475304939,-0.0009627421696980794,0.20235952809438112,,
L31_N5161,True,120,0.003998692830403646,0.0001999600079984003,0.0013672669728597006,0.3827234553089382,0.0015746265649795531,0.04059188162367527,0.0011031945546468099,0.37772445510897823,0.000354973475138346,0.7440511897620475,-0.0013011336326599122,0.30293941211757647,-0.004353666057189305,0.0001999600079984003,-6.61611557006836e-05,0.9656068786242752,,
L31_N520,False,120,-0.0007153034210205078,0.13277344531093782,0.003517413139343262,0.05438912217556489,-0.0005129545927047729,0.1783643271345731,0.0030769864718119305,0.0669866026794641,0.00043680965900421136,0.18236352729454108,-0.0042258620262145994,0.07738452309538092,0.0002784900367259978,0.2531493701259748,0.0007083932558695475,0.5790841831633673,,
L31_N5259,True,120,-0.010066760579744975,0.0001999600079984003,0.008930480480194092,0.0023995200959808036,-0.006380561987559,0.0001999600079984003,0.005351424217224121,0.022795440911817635,0.0021763344605763755,0.1893621275744851,-0.0018690943717956543,0.5604879024195161,0.007890439530213672,0.0001999600079984003,-0.007061473528544108,0.0001999600079984003,,
L31_N556,True,120,0.0019191553195317586,0.015396920615876825,0.0029895941416422525,0.15936812637472506,0.002024221420288086,0.003599280143971206,0.0020224531491597492,0.30193961207758446,-0.0019202291965484614,0.013197360527894421,-0.001681371529897054,0.3915216956608678,1.0708967844643087e-06,0.9984003199360127,-0.0013082961241404215,0.14477104579084182,,
L31_N5833,True,120,0.009234744310379028,0.0001999600079984003,0.0005569259325663248,0.7958408318336333,0.005260618527730306,0.0001999600079984003,6.179014841715495e-06,0.9964007198560288,-0.0024025976657867433,0.02579484103179364,0.0007811228434244792,0.5690861827634474,-0.00683210293451945,0.0001999600079984003,-0.001338095466295878,0.33893221355728853,,
L31_N6386,True,120,0.003802092870076497,0.0013997200559888023,-0.0007547736167907715,0.8044391121775645,0.0008880505959192914,0.34433113377324537,0.0026689767837524414,0.2573485302939412,0.0018435875574747717,0.11857628474305139,-0.004947920640309651,0.03979204159168166,-0.005645684649546941,0.0001999600079984003,0.005702593922615051,0.0003999200159968006,,
L31_N6867,True,120,0.006402709086736042,0.0001999600079984003,0.0021799842516581217,0.368126374725055,0.002596262097358704,0.002599480103979204,0.0009074529012044271,0.6622675464907019,0.0007449418306350703,0.4931013797240552,0.00035018126169840494,0.9192161567686463,-0.007147655387719472,0.0001999600079984003,-0.002530158559481303,0.11377724455108978,,
