Frequency-neuron causal test
unigram: /marimo/repo/results/unigram_logfreq_43be1456fdd4.npy


 neuron_id  is_candidate  freq_corr  abs_freq_corr_pctile  d_elogu_beyond_temp_slope_per_sigma  d_elogu_beyond_temp_slope_p  d_elogu_slope_per_sigma  d_elogu_slope_p  d_kl_slope_per_sigma  d_kl_slope_p  d_entropy_slope_per_sigma  d_elogu_mean_ablation  d_elogu_mean_ablation_p
 L31_N8526          True        NaN                   NaN                              0.01743                       0.0002                  0.02948           0.0002             -0.009759     0.0003999                   -0.01972                0.02416                   0.0002
 L31_N9371          True        NaN                   NaN                              -0.0151                       0.0002                 -0.02488           0.0002              0.007635        0.0002                    0.01725               -0.01281                   0.0014
 L31_N1977          True        NaN                   NaN                             0.008377                       0.0002                  0.01317           0.0002             -0.003733        0.0178                  -0.009442               0.007146                  0.04359
L31_N12923          True        NaN                   NaN                             0.006687                       0.0002                  0.01266           0.0002            -0.0009593        0.4485                    -0.0117                0.01295                   0.0002
 L31_N5259          True        NaN                   NaN                            -0.006381                       0.0002                 -0.01007           0.0002              0.002176        0.1894                    0.00789                0.00893                   0.0024
L31_N11401          True        NaN                   NaN                             0.005808                       0.0002                 0.008828           0.0002             -0.003529     0.0005999                  -0.005299             -0.0003362                   0.8838
L31_N13219          True        NaN                   NaN                            -0.005515                       0.0002                 -0.01034           0.0002              0.001834        0.1994                   0.008508                0.01223                0.0003999
 L31_N5833          True        NaN                   NaN                             0.005261                       0.0002                 0.009235           0.0002             -0.002403       0.02579                  -0.006832              0.0005569                   0.7958
L31_N12073          True        NaN                   NaN                             0.005093                       0.0002                  0.01016           0.0002             -0.001477        0.3173                  -0.008679               0.009871                   0.0024
 L31_N9501          True        NaN                   NaN                             0.003619                       0.0002                 0.006354           0.0002             -0.002928      0.009198                  -0.003426               0.004079                  0.02759
 L31_N3023          True        NaN                   NaN                             0.003089                    0.0007998                 0.006733           0.0002             4.312e-05        0.9696                  -0.006777                0.01066                   0.0002
 L31_N7869          True        NaN                   NaN                             0.002632                       0.0022                  0.00457           0.0002             -0.001248        0.2537                  -0.003322               0.002554                   0.2977
 L31_N6867          True        NaN                   NaN                             0.002596                     0.002599                 0.006403           0.0002             0.0007449        0.4931                  -0.007148                0.00218                   0.3681
 L31_N1679          True        NaN                   NaN                            -0.002275                        0.002                -0.003876        0.0003999             0.0001826        0.8528                   0.003693               0.002481                    0.234
 L31_N9674         False        NaN                   NaN                             0.002247                       0.0002                 0.003287           0.0002             -0.001756      0.008198                  -0.001531              0.0008456                   0.6351
  L31_N556          True        NaN                   NaN                             0.002024                     0.003599                 0.001919           0.0154              -0.00192        0.0132                  1.071e-06                0.00299                   0.1594
 L31_N3811         False        NaN                   NaN                             0.001651                       0.1424                 0.001879           0.1264              0.001072        0.5217                  -0.002951               0.002509                   0.4579
  L31_N409         False        NaN                   NaN                            -0.001603                       0.0002                -0.001884        0.0005999              0.001832     0.0003999                  5.127e-05               0.002196                   0.1694
 L31_N5161          True        NaN                   NaN                             0.001575                      0.04059                 0.003999           0.0002              0.000355        0.7441                  -0.004354               0.001367                   0.3827
L31_N11731         False        NaN                   NaN                            -0.001381                       0.0018                -0.001532         0.005199              0.001301      0.003399                  0.0002309                0.00109                   0.5987
L31_N12257          True        NaN                   NaN                             0.001207                         0.02                 0.001856         0.003799             -0.001125       0.09738                 -0.0007315              0.0004128                    0.823
 L31_N7590          True        NaN                   NaN                             0.001178                      0.06419                 0.002051           0.0154            -0.0005313        0.5159                   -0.00152               0.001282                   0.4843
 L31_N6386          True        NaN                   NaN                            0.0008881                       0.3443                 0.003802           0.0014              0.001844        0.1186                  -0.005646             -0.0007548                   0.8044
 L31_N4012         False        NaN                   NaN                            0.0007973                      0.07379                0.0009453            0.109             -0.001058       0.07738                  0.0001126               0.002694                   0.1354
  L31_N520         False        NaN                   NaN                            -0.000513                       0.1784               -0.0007153           0.1328             0.0004368        0.1824                  0.0002785               0.003517                  0.05439
L31_N11087         False        NaN                   NaN                           -0.0004443                       0.2625               -0.0003717           0.4647              0.000422        0.2054                 -5.028e-05               0.001861                   0.2216
 L31_N1535         False        NaN                   NaN                           -0.0003433                       0.4551               -0.0006147           0.3027            -0.0001431        0.8978                  0.0007578                 0.0025                  0.04039
 L31_N2286         False        NaN                   NaN                           -0.0002883                       0.4179                -0.000265           0.5515             0.0003785        0.2803                 -0.0001135                0.00093                   0.6413
 L31_N9195         False        NaN                   NaN                           -0.0001165                       0.6913               -0.0001731           0.5949              8.86e-05        0.7512                  8.449e-05               0.001594                   0.3067
L31_N10788          True        NaN                   NaN                            1.497e-05                       0.9854                0.0001667            0.855             0.0008827        0.4011                  -0.001049               0.003415                   0.1138
