neuron_id,is_candidate,n_prompts,d_elogu_slope_per_sigma,d_elogu_slope_p,d_elogu_mean_ablation,d_elogu_mean_ablation_p,d_elogu_beyond_temp_slope_per_sigma,d_elogu_beyond_temp_slope_p,d_elogu_beyond_temp_mean_ablation,d_elogu_beyond_temp_mean_ablation_p,d_kl_slope_per_sigma,d_kl_slope_p,d_kl_mean_ablation,d_kl_mean_ablation_p,d_entropy_slope_per_sigma,d_entropy_slope_p,d_entropy_mean_ablation,d_entropy_mean_ablation_p,freq_corr,abs_freq_corr_pctile
L29_N1141,True,120,-0.0016437818606694534,0.022595480903819236,-0.0002614140510559082,0.9228154369126175,-0.0016299506028493245,0.010197960407918417,-0.001417104403177897,0.5396920615876825,0.001817671457926432,0.013197360527894421,0.001723615328470866,0.40331933613277343,-0.00017389630277951548,0.6670665866826635,-0.0014621675014495849,0.28674265146970607,,
L29_N12149,False,120,0.0004934529463450114,0.49250149970005996,0.0031902114550272625,0.23155368926214756,0.00020629366238911933,0.7298540291941612,0.0020936965942382813,0.3739252149570086,-0.00014933645725250235,0.8122375524895021,-0.001359995206197103,0.5300939812037593,-0.0003441256781419119,0.33513297340531895,-0.001830148696899414,0.15916816636672665,,
L29_N2286,False,120,0.0004610081513722739,0.5760847830433913,0.002305881182352702,0.3797240551889622,0.0003043591976165774,0.6450709858028394,0.0017617424329121909,0.48110377924415115,-0.00026492079099019384,0.6584683063387322,-0.0020812352498372397,0.3715256948610278,-0.0001960434019565582,0.6484703059388123,-0.00022465288639068605,0.878624275144971,,
L29_N3582,False,120,-9.371836980183903e-05,0.8684263147370526,-0.00016425053278605142,0.9464107178564287,4.070003827412929e-05,0.9396120775844831,-0.0016265273094177245,0.5456908618276345,-2.5498867034912168e-05,0.9552089582083584,0.0032913764317830402,0.3093381323735253,0.00011922866106033335,0.7206558688262348,-0.0031271447738011678,0.021795640871825634,,
L29_N4169,True,120,-0.000525917609532674,0.5434913017396521,-0.000249632199605306,0.9314137172565486,-0.0006345450878143309,0.38192361527694463,-0.001561601956685384,0.587882423515297,0.0012490570545196531,0.17696460707858427,0.0029172460238138837,0.4191161767646471,-0.000723141183455785,0.10037992401519696,-0.0026675939559936525,0.10417916416716656,,
L29_N4803,True,120,-0.0013262947400410965,0.0595880823835233,0.002039011319478353,0.4507098580283943,-0.0010624210039774577,0.06758648270345931,0.001267242431640625,0.5790841831633673,0.0008700877428054808,0.10677864427114576,-0.0012950539588928224,0.6006798640271945,0.00045617322127024316,0.14537092581483704,-0.0007439543803532918,0.5706858628274345,,
L29_N488,False,120,0.000662646691004435,0.39592081583683264,7.431507110595703e-05,0.9766046790641871,0.0006105770667394002,0.35392921415716855,-0.0004107952117919922,0.8490301939612077,-0.0011258254448572793,0.22055588882223556,-0.0010375142097473144,0.749250149970006,0.0004631901780764262,0.3115376924615077,0.0009631584088007609,0.5902819436112777,,
L30_N10549,True,120,0.0010159204403559366,0.129374125174965,0.0029839634895324706,0.1933613277344531,0.0009540766477584838,0.09738052389522095,0.0018641908963521322,0.2969406118776245,-0.0010981261730194092,0.15576884623075385,-0.0010044296582539876,0.5516896620675865,8.218511939048761e-05,0.8392321535692862,-0.0019794811805089315,0.14157168566286743,,
L30_N1217,True,120,0.0016739745934804275,0.016196760647870425,-0.0005360325177510579,0.8132373525294941,0.0016622682412465416,0.005198960207958408,-0.00021175940831502277,0.9028194361127775,-0.001765257120132446,0.004599080183963208,0.00010257164637247721,0.9522095580883824,9.12738343079884e-05,0.8356328734253149,0.0004334082206090291,0.7778444311137772,,
L30_N12730,True,120,0.00020857751369476312,0.7794441111777645,0.002554798126220703,0.260747850429914,0.0002844939629236857,0.6396720655868826,0.001732802391052246,0.3719256148770246,0.00012657344341278047,0.8582283543291341,-0.0009966651598612467,0.5610877824435113,-0.0003351430098215739,0.4347130573885223,-0.0015580723683039346,0.252749450109978,,
L30_N13446,True,120,-0.0009817024072011312,0.06898620275944811,0.0019977013270060223,0.29614077184563087,-0.00056476096312205,0.23115376924615078,0.0006842255592346191,0.6924615076984603,0.00041907131671905514,0.40431913617276544,5.443890889485677e-06,0.9978004399120176,0.0005625983079274494,0.08398320335932813,-0.0020031293233235678,0.03799240151969606,,
L30_N13664,True,120,0.0007929195960362751,0.1241751649670066,-0.0008082111676534017,0.7294541091781643,0.0005193660656611123,0.2473505298940212,-0.0006610751152038574,0.7146570685862828,-0.0006439238786697386,0.3143371325734853,0.0005963683128356933,0.7568486302739452,-0.00014898702502250667,0.6902619476104779,0.00021179517110188803,0.8880223955208958,,
L30_N2034,True,120,-0.0006382445494333904,0.33293341331733656,-0.0005816181500752766,0.829634073185363,-0.0014834403991699219,0.009998000399920015,0.0006874759991963704,0.7174565086982604,0.002180557449658712,0.0001999600079984003,-0.0012298067410786947,0.47790441911617676,-0.0015423042078812914,0.0001999600079984003,0.0018113861481348673,0.2533493301339732,,
L30_N3519,True,120,0.0001451780398686729,0.8274345130973805,-0.0001283725102742513,0.9510097980403919,7.706681887308768e-05,0.8982203559288142,-0.0005841374397277832,0.7320535892821436,0.00036740700403849283,0.6406718656268746,0.001087319850921631,0.52249550089982,-0.00051258181532224,0.138372325534893,-0.000958937406539917,0.5006998600279944,,
L30_N3794,True,120,-0.0009928564230600992,0.2019596080783843,0.0005250374476114908,0.8562287542491501,-0.0007442524035771687,0.24315136972605478,0.0010780533154805501,0.6308738252349531,0.000786785284678141,0.3385322935412917,-0.0014112075169881186,0.484503099380124,0.00020606617132822673,0.6558688262347531,0.0008861422538757324,0.5910817836432714,,
L30_N4012,False,120,0.000628074010213216,0.30813837232553487,0.0022118806838989256,0.3235352929414117,0.00026834905147552466,0.6056788642271546,0.0016045252482096354,0.4303139372125575,-0.0002100328604380289,0.6978604279144172,-0.001392364501953125,0.488502299540092,-0.0004180431365966797,0.2709458108378324,-0.0008196691672007243,0.3805238952209558,,
L30_N889,True,120,4.190802574157692e-05,0.9544091181763648,-0.0007564902305603027,0.763247350529894,-0.0002803653478622435,0.5940811837632474,-0.00021094481150309244,0.909618076384723,0.0005216449499130249,0.3155368926214757,-3.618796666463216e-05,0.9872025594881024,-0.0005635648965835571,0.17796440711857628,0.0007925997177759806,0.6058788242351529,,
L31_N12106,True,120,0.0010110557079315184,0.05138972205558888,0.0014507730801900228,0.39392121575684863,0.0010725984970728554,0.007598480303939212,0.0010152935981750488,0.4273145370925815,-0.0011931777000427242,0.0011997600479904018,-0.0006687760353088379,0.551489702059588,0.00018213142951329552,0.5170965806838632,-0.0007820119460423788,0.3633273345330934,,
L31_N12135,False,120,0.002488811810811361,0.0021995600879824036,0.0021036863327026367,0.2621475704859028,0.0014552195866902665,0.015196960607878424,0.002122676372528076,0.1949610077984403,-0.0006628115971883138,0.4357128574285143,-0.0022738416989644366,0.16536692661467706,-0.0018260498841603597,0.0001999600079984003,0.0001701424519220988,0.8356328734253149,,
L31_N12734,True,120,-0.0005871911843617756,0.242751449710058,0.0006505171457926432,0.667866426714657,-0.0007000327110290528,0.06638672265546891,0.0005507469177246094,0.6452709458108379,0.0007085025310516357,0.03839232153569286,-0.0006207903226216634,0.5394921015796841,-0.0001212989290555318,0.6802639472105579,-2.9795368512471516e-05,0.9724055188962207,,
L31_N1424,False,120,-0.0011594196160634358,0.015996800639872025,0.0031482815742492677,0.0613877224555089,-0.0008190284172693886,0.04439112177564487,0.0018854260444641114,0.15516896620675866,0.0006711939970652262,0.08978204359128174,-0.001062325636545817,0.366126774645071,0.00048823753992716454,0.07538492301539693,-0.00208607017993927,0.0057988402319536095,,
L31_N1679,False,120,-0.003875567515691121,0.0001999600079984003,0.002480657895406087,0.2383523295340932,-0.0022746652364730837,0.003199360127974405,0.0012698173522949219,0.4337132573485303,0.00018261770407358816,0.8602279544091181,-0.00017539660135904947,0.9012197560487902,0.00369294931491216,0.0001999600079984003,-0.0023052752017974853,0.02399520095980804,,
L31_N1824,False,120,0.0009365042050679524,0.033393321335732855,0.0011210878690083822,0.46510697860427913,0.0009637892246246335,0.006798640271945611,0.0005874395370483399,0.6036792641471705,-0.0010784308115641275,0.0015996800639872025,-0.00014747778574625652,0.8698260347930414,0.00014193058013916015,0.5446910617876425,-0.0009736895561218261,0.2435512897420516,,
L31_N1852,True,120,-0.0014991740385691323,0.007598480303939212,0.0024391849835713702,0.054989002199560086,-0.0012645294268925984,0.005598880223955209,0.002264078458150228,0.0611877624475105,0.0011665592590967813,0.003999200159968006,-0.002184414863586426,0.09298140371925614,0.00033260211348533613,0.2539492101579684,-0.0002548555533091227,0.6204759048190361,,
L31_N2287,True,120,3.396073977152504e-05,0.9348130373925215,0.0017047444979349771,0.04399120175964807,1.6232331593831467e-05,0.9672065586882623,0.0012319048245747885,0.10217956408718257,4.1638811429341575e-05,0.9054189162167566,-0.0008054574330647787,0.2625474905018996,-7.559085885683698e-05,0.6924615076984603,-0.0008992364009221394,0.06778644271145771,,
L31_N2895,True,120,-0.001402105887730916,0.0033993201359728054,0.00432965358098348,0.017996400719856028,-0.001007734735806783,0.006798640271945611,0.0033703088760375977,0.017196560687862426,0.0010843127965927122,0.027194561087782444,-0.00419541597366333,0.021195760847830435,0.0003177906076113383,0.3473305338932214,-0.0001342952251434326,0.9276144771045791,,
L31_N6912,False,120,0.000300854444503784,0.6044791041791642,0.0026707927385965983,0.21815636872625474,0.0003583480914433797,0.41671665666866625,0.0021083871523539226,0.21995600879824034,-0.0005788952112197874,0.4339132173565287,-0.0030382951100667317,0.21635672865426914,0.00027807032068570444,0.3843231353729254,0.00036743481953938805,0.7764447110577885,,
L31_N8677,True,120,-0.00016305446624755845,0.7178564287142571,-0.0018615245819091797,0.26914617076584685,-0.00010653237501780194,0.8064387122575485,-0.0004355947176615397,0.641871625674865,0.00013836026191711432,0.7588482303539292,3.875891367594401e-05,0.9588082383523295,2.4675081173578984e-05,0.9178164367126574,0.0018227875232696533,0.13637272545490903,,
L31_N9032,True,120,-0.0012198378642400104,0.029994001199760048,0.0023032029469807944,0.1791641671665667,-0.0011235882838567094,0.026394721055788842,0.0018636782964070637,0.17636472705458908,0.0011106610298156736,0.028794241151769647,-0.0029169758160909015,0.14617076584683064,0.00010919148723284407,0.6974605078984203,0.000613709290822347,0.6350729854029195,,
L31_N993,True,120,0.0026451299587885537,0.0001999600079984003,-0.0015328526496887207,0.393121375724855,0.0023808936278025303,0.0001999600079984003,-0.00202790101369222,0.1255748850229954,-0.002535104751586914,0.0003999200159968006,0.0024822791417439777,0.038592281543691265,-0.00011005078752835583,0.6904619076184763,-0.0009494771560033163,0.30453909218156366,,
