Frequency-neuron causal test
unigram: /marimo/repo/results/unigram_logfreq_43be1456fdd4.npy


 neuron_id  is_candidate  freq_corr  abs_freq_corr_pctile  d_elogu_beyond_temp_slope_per_sigma  d_elogu_beyond_temp_slope_p  d_elogu_slope_per_sigma  d_elogu_slope_p  d_kl_slope_per_sigma  d_kl_slope_p  d_entropy_slope_per_sigma  d_elogu_mean_ablation  d_elogu_mean_ablation_p
  L31_N993          True        NaN                   NaN                             0.002381                       0.0002                 0.002645           0.0002             -0.002535     0.0003999                 -0.0001101              -0.001533                   0.3931
 L31_N1679         False        NaN                   NaN                            -0.002275                     0.003199                -0.003876           0.0002             0.0001826        0.8602                   0.003693               0.002481                   0.2384
 L30_N1217          True        NaN                   NaN                             0.001662                     0.005199                 0.001674           0.0162             -0.001765      0.004599                  9.127e-05              -0.000536                   0.8132
 L29_N1141          True        NaN                   NaN                             -0.00163                       0.0102                -0.001644           0.0226              0.001818        0.0132                 -0.0001739             -0.0002614                   0.9228
 L30_N2034          True        NaN                   NaN                            -0.001483                     0.009998               -0.0006382           0.3329              0.002181        0.0002                  -0.001542             -0.0005816                   0.8296
L31_N12135         False        NaN                   NaN                             0.001455                       0.0152                 0.002489           0.0022            -0.0006628        0.4357                  -0.001826               0.002104                   0.2621
 L31_N1852          True        NaN                   NaN                            -0.001265                     0.005599                -0.001499         0.007598              0.001167      0.003999                  0.0003326               0.002439                  0.05499
 L31_N9032          True        NaN                   NaN                            -0.001124                      0.02639                 -0.00122          0.02999              0.001111       0.02879                  0.0001092               0.002303                   0.1792
L31_N12106          True        NaN                   NaN                             0.001073                     0.007598                 0.001011          0.05139             -0.001193        0.0012                  0.0001821               0.001451                   0.3939
 L29_N4803          True        NaN                   NaN                            -0.001062                      0.06759                -0.001326          0.05959             0.0008701        0.1068                  0.0004562               0.002039                   0.4507
 L31_N2895          True        NaN                   NaN                            -0.001008                     0.006799                -0.001402         0.003399              0.001084       0.02719                  0.0003178                0.00433                    0.018
 L31_N1824         False        NaN                   NaN                            0.0009638                     0.006799                0.0009365          0.03339             -0.001078        0.0016                  0.0001419               0.001121                   0.4651
L30_N10549          True        NaN                   NaN                            0.0009541                      0.09738                 0.001016           0.1294             -0.001098        0.1558                  8.219e-05               0.002984                   0.1934
 L31_N1424         False        NaN                   NaN                            -0.000819                      0.04439                -0.001159            0.016             0.0006712       0.08978                  0.0004882               0.003148                  0.06139
 L30_N3794          True        NaN                   NaN                           -0.0007443                       0.2432               -0.0009929            0.202             0.0007868        0.3385                  0.0002061               0.000525                   0.8562
L31_N12734          True        NaN                   NaN                              -0.0007                      0.06639               -0.0005872           0.2428             0.0007085       0.03839                 -0.0001213              0.0006505                   0.6679
 L29_N4169          True        NaN                   NaN                           -0.0006345                       0.3819               -0.0005259           0.5435              0.001249         0.177                 -0.0007231             -0.0002496                   0.9314
  L29_N488         False        NaN                   NaN                            0.0006106                       0.3539                0.0006626           0.3959             -0.001126        0.2206                  0.0004632              7.432e-05                   0.9766
L30_N13446          True        NaN                   NaN                           -0.0005648                       0.2312               -0.0009817          0.06899             0.0004191        0.4043                  0.0005626               0.001998                   0.2961
L30_N13664          True        NaN                   NaN                            0.0005194                       0.2474                0.0007929           0.1242            -0.0006439        0.3143                  -0.000149             -0.0008082                   0.7295
 L31_N6912         False        NaN                   NaN                            0.0003583                       0.4167                0.0003009           0.6045            -0.0005789        0.4339                  0.0002781               0.002671                   0.2182
 L29_N2286         False        NaN                   NaN                            0.0003044                       0.6451                 0.000461           0.5761            -0.0002649        0.6585                  -0.000196               0.002306                   0.3797
L30_N12730          True        NaN                   NaN                            0.0002845                       0.6397                0.0002086           0.7794             0.0001266        0.8582                 -0.0003351               0.002555                   0.2607
  L30_N889          True        NaN                   NaN                           -0.0002804                       0.5941                4.191e-05           0.9544             0.0005216        0.3155                 -0.0005636             -0.0007565                   0.7632
 L30_N4012         False        NaN                   NaN                            0.0002683                       0.6057                0.0006281           0.3081              -0.00021        0.6979                  -0.000418               0.002212                   0.3235
L29_N12149         False        NaN                   NaN                            0.0002063                       0.7299                0.0004935           0.4925            -0.0001493        0.8122                 -0.0003441                0.00319                   0.2316
 L31_N8677          True        NaN                   NaN                           -0.0001065                       0.8064               -0.0001631           0.7179             0.0001384        0.7588                  2.468e-05              -0.001862                   0.2691
 L30_N3519          True        NaN                   NaN                            7.707e-05                       0.8982                0.0001452           0.8274             0.0003674        0.6407                 -0.0005126             -0.0001284                    0.951
 L29_N3582         False        NaN                   NaN                             4.07e-05                       0.9396               -9.372e-05           0.8684             -2.55e-05        0.9552                  0.0001192             -0.0001643                   0.9464
 L31_N2287          True        NaN                   NaN                            1.623e-05                       0.9672                3.396e-05           0.9348             4.164e-05        0.9054                 -7.559e-05               0.001705                  0.04399
