neuron_id,is_candidate,n_prompts,d_elogu_slope_per_sigma,d_elogu_slope_p,d_elogu_mean_ablation,d_elogu_mean_ablation_p,d_elogu_beyond_temp_slope_per_sigma,d_elogu_beyond_temp_slope_p,d_elogu_beyond_temp_mean_ablation,d_elogu_beyond_temp_mean_ablation_p,d_kl_slope_per_sigma,d_kl_slope_p,d_kl_mean_ablation,d_kl_mean_ablation_p,d_entropy_slope_per_sigma,d_entropy_slope_p,d_entropy_mean_ablation,d_entropy_mean_ablation_p,freq_corr,abs_freq_corr_pctile
L20_N1001,True,195,-0.0017580509185791016,0.03079384123175365,0.003076942150409405,0.1811637672465507,0.0005982551819238907,0.39492101579684064,0.003168820112179487,0.08898220355928814,-0.0031661461561154096,0.0013997200559888023,-0.0034841720874492937,0.1827634473105379,0.004924191878392145,0.0001999600079984003,0.0004073002399542393,0.8524295140971806,-0.0211787614971399,23.200000000000003
L20_N12894,True,195,0.0012658302600567157,0.03279344131173765,-0.004116872640756461,0.05058988202359528,0.0008811865097437149,0.08978204359128174,-0.002781202854254307,0.08878224355128975,-0.00034201939900716134,0.5744851029794041,0.0012916344862717848,0.5248950209958009,-0.0009238165158491869,0.05698860227954409,0.0028253805943024464,0.16696660667866425,0.0063311536796391,8.200000000000001
L20_N1399,True,195,0.0012642041230813048,0.010197960407918417,-0.002722652141864483,0.15776844631073786,0.0007300651990450346,0.07118576284743051,-0.001146245614076272,0.4767046590681864,0.00019205900338979855,0.7374525094981004,-0.0003450956100072616,0.8970205958808238,-0.0014562657246222858,0.009398120375924815,0.0030678687951503658,0.15396920615876825,0.0408214293420314,41.3
L20_N2742,True,195,0.000735631967202211,0.2019596080783843,-0.003742037063989884,0.09338132373525294,0.0004977599168435121,0.30093981203759246,-0.002649231446095002,0.17036592681463708,5.817780127892142e-05,0.9282143571285743,0.0022382821792211287,0.4767046590681864,-0.0007937758396833371,0.16456708658268346,0.0015037420468452648,0.5102979404119176,0.1169811338186264,83.7
L20_N4060,True,195,-0.0019608045235658305,0.002999400119976005,0.0005583445231119792,0.8006398720255948,-0.0019285495464618383,0.0003999200159968006,0.0014033879989232773,0.46790641871625677,0.0018552327767396585,0.013997200559888023,-0.0016817606412447416,0.5542891421715657,0.00010557694312853701,0.8554289142171566,0.0011235365500816932,0.6096780643871226,-0.1686237007379531,95.0
L20_N4769,True,195,0.0009974302389682865,0.08258348330333934,-0.0047108063331017126,0.030193961207758448,0.0010063568751017252,0.05578884223155369,-0.004223195100441957,0.019596080783843232,-0.001014291323148287,0.11437712457508498,0.005447901212252104,0.046390721855628876,1.686093134757807e-05,0.971005798840232,-0.0007370160176203801,0.7276544691061788,0.1245663687586784,86.5
L20_N488,False,195,0.0015169810026119917,0.008398320335932814,-0.0013904082469451122,0.5336932613477304,0.0012812369909041966,0.010197960407918417,-0.0005049265347994291,0.7720455908818237,-0.0013205726941426595,0.04459108178364327,0.0018186055696927585,0.41091781643671266,-0.00019641488026349944,0.7114577084583084,-0.00042817531487880607,0.8456308738252349,,
L20_N5595,True,195,0.007144438303433932,0.0001999600079984003,0.0012064469166291065,0.6516696660667867,0.0032073601698264097,0.0013997200559888023,0.0033500035603841144,0.14497100579884023,0.0008126436135707757,0.46930613877224553,-0.00690763180072491,0.009198160367926415,-0.0079570900171231,0.0001999600079984003,0.005701277806208684,0.04099180163967207,0.1589606255292892,94.2
L22_N11087,False,195,0.0012656187399839739,0.04879024195160968,-0.003149267343374399,0.1375724855028994,0.0008804553594344699,0.11337732453509299,-0.0020832868722768932,0.241751649670066,-0.0010650271024459448,0.16856628674265148,0.002208823424119216,0.33413317336532694,-0.0002005946941864797,0.7356528694261147,0.0009405802457760542,0.5940811837632474,,
L22_N2446,True,195,-0.0011643587014614004,0.05118976204759048,0.002460937010936248,0.23215356928614278,-0.00024340886336106515,0.6346730653869226,0.0014698444268642329,0.39812037592481503,-0.0008583337832719849,0.19976004799040192,0.002125260768792568,0.382123575284943,0.002022673686345418,0.0003999200159968006,-0.004586082849747096,0.012397520495900819,-0.1595734357833862,94.2
L22_N3582,False,195,-0.00042976966271033646,0.38492301539692064,-0.0029020089369553785,0.14257148570285944,-0.0005650294132721729,0.20635872825434912,-0.002071268130571414,0.2509498100379924,0.0010347723960876462,0.08798240351929613,0.0023260189936711237,0.3783243351329734,-0.00060503452252119,0.20595880823835233,0.0005761262698051257,0.7816436712657469,,
L22_N409,False,195,0.000880119128104968,0.11317736452709458,-0.0013169019650190305,0.5462907418516296,0.0008339508985861753,0.07758448310337933,-0.0005678396958571214,0.753249350129974,-0.0005297740300496419,0.3863227354529094,-1.0445179083408453e-05,0.9964007198560288,-0.00035034509805532596,0.5092981403719257,0.001327383823883839,0.5154969006198761,,
L23_N12156,True,195,6.069892492049763e-05,0.9150169966006798,0.0011995706802759415,0.5680863827234554,0.00018378404470590444,0.7244551089782043,0.001132500477326222,0.5452909418116376,-0.0005476554234822588,0.4309138172365527,-0.001576674290192433,0.48050389922015596,0.0004869665855016462,0.42131573685262946,0.0003771635202261118,0.8280343931213757,-0.0210281927138566,23.1
L23_N12855,True,195,0.000391411781311035,0.4055188962207559,-0.0026439715654422075,0.17296540691861628,0.000574357693011944,0.14357128574285144,-0.002381102244059245,0.131373725254949,-0.0007567109205783939,0.1315736852629474,0.0029785217382969,0.14537092581483704,0.0003652803408793914,0.40071985602879423,-0.00033447803595127205,0.8688262347530494,0.0125995874404907,14.9
L24_N2286,False,195,-0.00018149339235745929,0.7416516696660668,0.0003899231935158754,0.8086382723455309,8.75320190038435e-05,0.8518296340731853,2.9035714956430287e-05,0.9830033993201359,-0.0003806676620092146,0.5720855828834233,0.0005475826752491486,0.785242951409718,0.0005621437843029314,0.27714457108578283,-0.0009374068333552434,0.584883023395321,,
L24_N7891,True,195,-0.00036129768078143774,0.6318736252749451,-0.0030514081319173176,0.19716056788642272,-0.001066795984903971,0.10857828434313137,-0.0027358250740246895,0.1365726854629074,0.0020680837142161832,0.022395520895820836,0.0026925025842128654,0.17616476704659068,-0.0017067968845367431,0.016996600679864027,0.0003590253683236929,0.8622275544891022,0.130794957280159,88.0
