Frequency-neuron causal test
unigram: /marimo/repo/results/unigram_logfreq_43be1456fdd4.npy

Weight-space freq_corr vs causal slope [raw d_elogu] across 55 candidates: Pearson r=0.349 (p=0.009), Spearman rho=0.332 (p=0.013); sign agreement among FREQ-NEURON-LIKE 0.67
Weight-space freq_corr vs causal slope [d_elogu BEYOND temperature-matched baseline] across 55 candidates: Pearson r=0.373 (p=0.005), Spearman rho=0.313 (p=0.02); sign agreement among FREQ-NEURON-LIKE 0.78
|causal elogu slope| per sigma: FREQ-NEURON-LIKE (n=9) 0.0042 | other candidates (n=37) 0.0024 | random controls (n=10) 0.0008
sign agreement (weight score vs causal slope) among FREQ-NEURON-LIKE: 0.67

 neuron_id  is_candidate  freq_corr  abs_freq_corr_pctile  d_elogu_beyond_temp_slope_per_sigma  d_elogu_beyond_temp_slope_p  d_elogu_slope_per_sigma  d_elogu_slope_p  d_kl_slope_per_sigma  d_kl_slope_p  d_entropy_slope_per_sigma  d_elogu_mean_ablation  d_elogu_mean_ablation_p
 L31_N6772          True   -0.01393                  16.2                              0.01785                       0.0002                  0.02752           0.0002             -0.006495        0.0002                   -0.02103               0.005464                0.0003999
L31_N11541          True     0.2199                  98.6                              0.01667                       0.0002                  0.02358           0.0002             -0.009163     0.0005999                   -0.01441              -0.008226                   0.0158
 L30_N1457          True     0.4548                   100                              0.01574                       0.0002                  0.02631           0.0002             -0.001296        0.2048                   -0.02502                -0.0053                    0.019
 L29_N5866          True     0.2294                  98.9                              0.01044                       0.0002                  0.01005           0.0002              -0.01451        0.0002                   0.004457              -0.003602                  0.06899
L29_N12400          True    -0.1679                  94.9                            -0.006394                       0.0002                -0.003504        0.0003999               0.01251        0.0002                  -0.009006               0.003397                  0.07259
 L29_N2646          True    0.08801                  72.3                            -0.004609                       0.0002                -0.004894           0.0002              0.004364        0.0002                  0.0005292              -0.001786                   0.3959
  L29_N578          True    0.07939                  68.4                             0.004229                       0.0002                  0.00604           0.0002             -0.001737       0.09038                  -0.004303               0.001114                   0.5207
 L29_N9228          True      0.192                  96.9                            -0.003439                       0.0002                -0.004613           0.0002              0.002189      0.008998                   0.002424              -0.005293                   0.0212
L29_N11308          True    0.08235                  69.9                             0.003309                       0.0002                 0.005835           0.0002            -0.0007039        0.3521                  -0.005131              0.0007536                   0.6077
 L20_N5595          True      0.159                  94.2                             0.003207                       0.0014                 0.007144           0.0002             0.0008126        0.4693                  -0.007957               0.001206                   0.6517
L29_N11909          True    -0.5412                   100                            -0.002959                       0.0248                 0.001535           0.2673               0.01014        0.0002                   -0.01167              -0.004721                 0.009998
 L31_N3330          True    -0.4658                   100                            -0.002903                       0.0002                -0.004185           0.0002              0.002348        0.0002                   0.001837               0.001149                   0.3409
 L28_N5085          True    -0.1831                  96.3                             0.002596                       0.0002                 0.003583           0.0002             -0.001396       0.03239                  -0.002186               0.003013                    0.128
L30_N10312          True   -0.09759                  76.5                             0.002377                       0.0002                 0.003404           0.0002             -0.001237        0.0242                  -0.002167               0.001355                   0.3635
 L29_N3447          True    0.05839                  56.1                             -0.00226                       0.0002                -0.002964           0.0002              0.001102       0.06119                   0.001862              -0.004573                 0.003799
 L26_N2788          True    -0.1063                  80.2                            -0.002246                    0.0003999                -0.002249        0.0005999              0.003255        0.0002                  -0.001006              -0.004228                  0.04799
L29_N11791          True     -0.206                  97.9                             0.002078                       0.0002                 0.001846           0.0012             -0.002106     0.0005999                  0.0002601             -9.668e-05                   0.9548
L29_N10092          True    -0.4098                  99.9                            -0.002024                       0.0002                -0.001926        0.0005999              0.002287        0.0002                 -0.0003613              -0.002138                   0.2318
 L20_N4060          True    -0.1686                    95                            -0.001929                    0.0003999                -0.001961         0.002999              0.001855         0.014                  0.0001056              0.0005583                   0.8006
 L31_N6912         False        NaN                   NaN                             0.001736                       0.0002                 0.001927           0.0002             -0.001704        0.0002                 -0.0002223              -0.001325                   0.2573
 L31_N4425          True  -0.006453                   8.2                            -0.001691                       0.0002                -0.001552           0.0002              0.002233        0.0002                 -0.0006807              -0.001165                   0.3427
L30_N13098          True    -0.1433                  91.9                            -0.001686                       0.0002                -0.002055           0.0002              0.001529      0.004199                  0.0005256              -0.001793                   0.2278
 L31_N5966          True    -0.4047                  99.9                             0.001566                    0.0003999                 0.001635           0.0016             -0.001666     0.0005999                  3.172e-05               0.002152                    0.167
 L29_N6625          True      0.193                  96.9                              0.00142                       0.0018                 0.001173            0.021             -0.001969        0.0002                  0.0007961             -0.0005449                   0.7377
L28_N14222          True    0.02774                  29.5                             0.001361                     0.006799                 0.001871        0.0007998            -0.0007772         0.245                  -0.001094              -0.002736                   0.1366
  L20_N488         False        NaN                   NaN                             0.001281                       0.0102                 0.001517         0.008398             -0.001321       0.04459                 -0.0001964               -0.00139                   0.5337
 L31_N2477          True     0.4238                  99.9                             0.001196                      0.03459               -0.0002135           0.7546             -0.004287        0.0002                     0.0045               0.001932                   0.2823
 L30_N1777          True    -0.4896                   100                             0.001092                      0.06699               -0.0007269           0.3143             -0.003722        0.0002                   0.004449              -0.002589                  0.09858
 L24_N7891          True     0.1308                    88                            -0.001067                       0.1086               -0.0003613           0.6319              0.002068        0.0224                  -0.001707              -0.003051                   0.1972
 L30_N6621          True   -0.06205                  58.9                             0.001058                       0.0138                0.0004653           0.4133             -0.001715        0.0014                   0.001249              -0.001461                   0.2276
 L20_N4769          True     0.1246                  86.5                             0.001006                      0.05579                0.0009974          0.08258             -0.001014        0.1144                  1.686e-05              -0.004711                  0.03019
L30_N13647          True     0.1983                  97.4                           -0.0009516                     0.003599                -0.000879           0.0164             0.0008682       0.05999                   1.09e-05              -0.001124                   0.4187
L26_N11322          True     0.1778                  95.4                            0.0009455                      0.05179                 0.002008           0.0002             0.0004742        0.4599                  -0.002482              0.0004508                    0.772
L20_N12894          True   0.006331                   8.2                            0.0008812                      0.08978                 0.001266          0.03279             -0.000342        0.5745                 -0.0009238              -0.004117                  0.05059
L22_N11087         False        NaN                   NaN                            0.0008805                       0.1134                 0.001266          0.04879             -0.001065        0.1686                 -0.0002006              -0.003149                   0.1376
  L31_N377          True    0.03517                  35.9                           -0.0008506                     0.006399                -0.001093           0.0018             0.0002102        0.6377                  0.0008832              0.0006112                   0.2741
  L22_N409         False        NaN                   NaN                             0.000834                      0.07758                0.0008801           0.1132            -0.0005298        0.3863                 -0.0003503              -0.001317                   0.5463
 L20_N1399          True    0.04082                  41.3                            0.0007301                      0.07119                 0.001264           0.0102             0.0001921        0.7375                  -0.001456              -0.002723                   0.1578
  L31_N368          True   0.006299                   8.1                            0.0006886                      0.05959                0.0009372            0.012            -0.0004335        0.3695                 -0.0005037             -0.0004651                   0.6699
 L30_N7102          True    -0.2972                  99.5                           -0.0006746                      0.06659               -0.0007025            0.105             0.0005492         0.149                  0.0001533              -0.001704                   0.1804
 L31_N7853          True   -0.01441                  16.6                            -0.000671                      0.03199               -0.0007402          0.04679              0.001254      0.003999                 -0.0005136              -0.001401                   0.1774
L29_N10877          True    0.07306                  65.5                            0.0006203                       0.2523                 0.001281          0.04659             0.0008737        0.1776                  -0.002154               0.002144                    0.176
 L20_N1001          True   -0.02118                  23.2                            0.0005983                       0.3949                -0.001758          0.03079             -0.003166        0.0014                   0.004924               0.003077                   0.1812
L23_N12855          True     0.0126                  14.9                            0.0005744                       0.1436                0.0003914           0.4055            -0.0007567        0.1316                  0.0003653              -0.002644                    0.173
 L22_N3582         False        NaN                   NaN                            -0.000565                       0.2064               -0.0004298           0.3849              0.001035       0.08798                  -0.000605              -0.002902                   0.1426
  L31_N434         False        NaN                   NaN                           -0.0005318                       0.3039               -0.0005331           0.3481              0.001224        0.1036                  -0.000691             -2.231e-05                    0.982
L31_N14143          True    -0.2535                  99.2                           -0.0005154                       0.1744               -0.0008686          0.03359             0.0001688        0.7421                  0.0006998             -0.0009164                   0.5177
 L20_N2742          True      0.117                  83.7                            0.0004978                       0.3009                0.0007356            0.202             5.818e-05        0.9282                 -0.0007938              -0.003742                  0.09338
 L30_N3533          True    0.05596                  54.3                            0.0004586                       0.2743                0.0002854           0.5849            -0.0006652        0.1744                  0.0003798              -0.001936                    0.142
 L30_N1424         False        NaN                   NaN                            0.0004569                       0.2064                0.0007764          0.05939              9.39e-05        0.8126                 -0.0008703              -0.001395                   0.3515
L29_N13925          True   -0.09583                    76                           -0.0004208                       0.4291                  -0.0011          0.07419            -0.0007145        0.2498                   0.001814             -0.0006955                   0.6915
 L26_N4012         False        NaN                   NaN                           -0.0003627                       0.3805               -0.0003546           0.4593             0.0003786        0.4417                 -2.405e-05             -0.0005273                    0.782
 L29_N4718          True    -0.1289                  87.5                             0.000353                       0.3075               -3.726e-05             0.93            -0.0002393        0.6559                  0.0002766              8.912e-05                   0.9436
 L22_N2446          True    -0.1596                  94.2                           -0.0002434                       0.6347                -0.001164          0.05119            -0.0008583        0.1998                   0.002023               0.002461                   0.2322
 L26_N8053          True   -0.02464                  25.9                           -0.0002343                       0.6423               -0.0004388           0.4379            -0.0004138        0.4653                  0.0008526              -0.001043                   0.5381
 L24_N8279         False        NaN                   NaN                           -0.0002012                       0.6293               -6.215e-05            0.892             0.0001321         0.811                 -6.999e-05              0.0003799                   0.8312
