neuron_id,is_candidate,n_prompts,d_elogu_slope_per_sigma,d_elogu_slope_p,d_elogu_mean_ablation,d_elogu_mean_ablation_p,d_elogu_beyond_temp_slope_per_sigma,d_elogu_beyond_temp_slope_p,d_elogu_beyond_temp_mean_ablation,d_elogu_beyond_temp_mean_ablation_p,d_kl_slope_per_sigma,d_kl_slope_p,d_kl_mean_ablation,d_kl_mean_ablation_p,d_entropy_slope_per_sigma,d_entropy_slope_p,d_entropy_mean_ablation,d_entropy_mean_ablation_p,freq_corr,abs_freq_corr_pctile
L30_N11087,False,120,0.0009659131368001301,0.1251749650069986,0.0030748128890991213,0.22535492901419715,0.0007830768823623659,0.14337132573485303,0.0024088025093078613,0.2429514097180564,-0.000760725140571594,0.1341731653669266,-0.0021094679832458496,0.28594281143771244,-0.0002051795522371928,0.5750849830033993,-0.0009653528531392415,0.5052989402119576,,
L30_N11731,False,120,-0.0007624218861262001,0.17176564687062587,0.0037403464317321776,0.2521495700859828,-0.0005884776512781779,0.17776444711057787,0.0026024738947550458,0.33553289342131576,0.000575353701909383,0.16056788642271547,-0.003160401185353597,0.35652869426114775,0.0001870845754941305,0.6030793841231754,-0.0005799859762191772,0.7586482703459309,,
L30_N1535,False,120,0.001220935583114624,0.07318536292741452,0.0021587649981180826,0.29214157168566285,0.001143968105316162,0.03079384123175365,0.0010675549507141112,0.5216956608678265,-0.0012823879718780516,0.05318936212757448,-4.791021347045898e-05,0.9748050389922016,6.140843033790593e-05,0.8868226354729054,-0.0021108498175938925,0.021995600879824034,,
L30_N2286,False,120,0.0006509651740392049,0.40051989602079585,0.0042647838592529295,0.05538892221555689,0.0004944562911987303,0.4097180563887223,0.002554154396057129,0.16436712657468505,-0.00014155209064483637,0.8684263147370526,-0.002988715966542562,0.24935012997400519,-0.0005094038943449657,0.2505498900219956,-0.001276091734568278,0.380123975204959,,
L30_N3811,False,120,0.0007848978042602537,0.27534493101379726,0.004643881320953369,0.10217956408718257,0.0005357662836710612,0.3817236552689462,0.004025145371754964,0.0657868426314737,-0.0003505160411198934,0.5636872625474905,-0.0056069016456604,0.02979404119176165,-0.00043440138300259904,0.27434513097380525,0.0009629845619201661,0.5566886622675465,,
L30_N409,False,120,0.00015616615613301603,0.7966406718656269,-0.001049343744913737,0.6694661067786443,0.0003277798493703207,0.533493301339732,-0.0012066165606180828,0.5250949810037993,-0.0004522194465001425,0.35952809438112376,0.0016407410303751627,0.34353129374125174,0.00029607166846593215,0.3145370925814837,-0.000591359535853068,0.6868626274745051,,
L30_N8539,True,120,-0.01787687043348948,0.0001999600079984003,0.010095961888631185,0.003599280143971206,-0.01401258111000061,0.0001999600079984003,0.00877684752146403,0.0013997200559888023,0.01319300134976705,0.0001999600079984003,-0.008508002758026123,0.006798640271945611,0.004683882494767507,0.0001999600079984003,-0.0015878717104593912,0.4399120175964807,,
L30_N9195,False,120,0.0009247819582621256,0.10597880423915217,0.0009584188461303711,0.6636672665466906,0.0006892234086990356,0.14037192561487702,-0.0007791717847188314,0.6810637872425515,-0.000669407844543457,0.16396720655868827,0.0010206182797749838,0.6234753049390122,-0.0002553860346476237,0.4699060187962408,-0.0019791265328725177,0.14557088582283542,,
L30_N9674,False,120,-0.001026804248491923,0.15296940611877624,0.004782092571258545,0.07798440311937613,-0.00043613413969675673,0.4673065386922616,0.00422137975692749,0.0591881623675265,0.00038869778315226236,0.5032993401319736,-0.005568162600199381,0.039192161567686463,0.000638092557589213,0.16756648670265947,0.000785994529724121,0.586882623475305,,
L31_N10006,True,120,-0.0030571699142456056,0.0009998000399920016,0.0003422737121582031,0.8624275144971005,-0.0013747930526733397,0.05398920215956809,-0.0008465011914571126,0.6102779444111178,0.0008584181467692054,0.29354129174165167,0.001125613848368327,0.4513097380523895,0.0021987418333689374,0.0009998000399920016,-0.0014679352442423502,0.13517296540691862,,
L31_N10514,True,120,-0.005504399538040161,0.0001999600079984003,-0.0022842804590861004,0.20975804839032194,-0.003725672761599222,0.0001999600079984003,-0.0018893957138061523,0.2349530093981204,0.003084597984949747,0.0001999600079984003,0.0017177820205688476,0.28494301139772044,0.002419799814621607,0.0001999600079984003,0.0005664885044097901,0.4947010597880424,,
L31_N11077,True,120,-0.00401048461596171,0.0003999200159968006,-0.0018145640691121419,0.3073385322935413,-0.002534736196200053,0.0005998800239952009,-0.0008251468340555826,0.6194761047790442,0.001964518427848816,0.021595680863827234,0.0004551092783610026,0.8052389522095581,0.0020459262033303578,0.0007998400319936012,0.0013593594233194987,0.11117776444711058,,
L31_N11222,True,120,0.005324300130208333,0.0001999600079984003,0.0009674310684204101,0.7544491101779645,0.0030047168334325146,0.0021995600879824036,0.0008175333340962727,0.7348530293941212,-0.001974023381868998,0.03699260147970406,-0.00030173858006795246,0.9206158768246351,-0.0033502273261547086,0.0001999600079984003,-0.0006657928228378296,0.645870825834833,,
L31_N11299,True,120,0.004997215668360392,0.0001999600079984003,-0.00013238986333211262,0.9498100379924015,0.0030437827110290526,0.0003999200159968006,0.000286408265431722,0.8674265146970606,-0.001906151572863261,0.05398920215956809,-0.0006604949633280436,0.6830633873225355,-0.003091018150250117,0.0001999600079984003,0.0007929166158040364,0.4357128574285143,,
L31_N118,True,120,0.00953153669834137,0.0001999600079984003,0.0060402870178222655,0.0001999600079984003,0.007807687918345133,0.0001999600079984003,0.00450668732325236,0.0001999600079984003,-0.007135933637619019,0.0001999600079984003,-0.003927989800771078,0.0001999600079984003,-0.0023956134915351862,0.0001999600079984003,-0.0021122435728708902,0.008998200359928014,,
