Frequency-neuron causal test
unigram: /marimo/repo/results/unigram_logfreq_43be1456fdd4.npy


 neuron_id  is_candidate  freq_corr  abs_freq_corr_pctile  d_elogu_beyond_temp_slope_per_sigma  d_elogu_beyond_temp_slope_p  d_elogu_slope_per_sigma  d_elogu_slope_p  d_kl_slope_per_sigma  d_kl_slope_p  d_entropy_slope_per_sigma  d_elogu_mean_ablation  d_elogu_mean_ablation_p
 L30_N8539          True        NaN                   NaN                             -0.01401                       0.0002                 -0.01788           0.0002               0.01319        0.0002                   0.004684                 0.0101                 0.003599
  L31_N118          True        NaN                   NaN                             0.007808                       0.0002                 0.009532           0.0002             -0.007136        0.0002                  -0.002396                0.00604                   0.0002
L31_N13812          True        NaN                   NaN                            -0.003909                       0.0002                -0.006119           0.0002              0.002502      0.007199                   0.003617               0.004711                   0.0202
L31_N10514          True        NaN                   NaN                            -0.003726                       0.0002                -0.005504           0.0002              0.003085        0.0002                    0.00242              -0.002284                   0.2098
 L31_N9360          True        NaN                   NaN                            -0.003489                       0.0002                -0.006052           0.0002              0.002443      0.008398                   0.003609              0.0003157                   0.8794
L31_N11299          True        NaN                   NaN                             0.003044                    0.0003999                 0.004997           0.0002             -0.001906       0.05399                  -0.003091             -0.0001324                   0.9498
L31_N11222          True        NaN                   NaN                             0.003005                       0.0022                 0.005324           0.0002             -0.001974       0.03699                   -0.00335              0.0009674                   0.7544
L31_N13214          True        NaN                   NaN                             0.002863                    0.0007998                 0.005008           0.0002             -0.002233      0.006999                  -0.002775              -0.003157                   0.2657
L31_N14071          True        NaN                   NaN                            -0.002849                    0.0007998                -0.005428           0.0002              0.001719       0.07359                    0.00371               0.002519                   0.1016
 L31_N1277          True        NaN                   NaN                             0.002619                    0.0005999                 0.003801           0.0002             -0.002215         0.002                  -0.001586               0.003161                  0.03859
L31_N11077          True        NaN                   NaN                            -0.002535                    0.0005999                 -0.00401        0.0003999              0.001965        0.0216                   0.002046              -0.001815                   0.3073
 L31_N1418          True        NaN                   NaN                             0.002463                     0.007998                 0.004109        0.0005999             -0.001608          0.12                    -0.0025               0.001667                   0.4045
L31_N12850          True        NaN                   NaN                             -0.00237                     0.005399                -0.004705           0.0002              0.001653       0.06839                   0.003052              0.0007907                   0.6895
L31_N11990          True        NaN                   NaN                              0.00193                     0.005999                 0.003728           0.0002             -0.001504       0.04439                  -0.002224              -0.001242                   0.4423
 L31_N5441          True        NaN                   NaN                            -0.001605                      0.03579                -0.003079           0.0012             0.0005682        0.5563                   0.002511               0.006293                   0.0018
 L31_N3935          True        NaN                   NaN                             0.001588                      0.03459                 0.002654         0.004599            -0.0007385        0.4303                  -0.001915               0.005465                 0.002999
L31_N13597          True        NaN                   NaN                             0.001496                      0.02559                 0.003204           0.0002             -0.001058        0.1414                  -0.002146              0.0008146                   0.6301
 L31_N7096          True        NaN                   NaN                             0.001418                      0.03199                 0.002816        0.0007998            -0.0005961        0.4459                   -0.00222              -0.002287                   0.2755
L31_N10006          True        NaN                   NaN                            -0.001375                      0.05399                -0.003057        0.0009998             0.0008584        0.2935                   0.002199              0.0003423                   0.8624
 L31_N1981          True        NaN                   NaN                             0.001344                      0.06139                 0.002555         0.003399            -0.0007274        0.4241                  -0.001828                0.00126                   0.3851
 L30_N1535         False        NaN                   NaN                             0.001144                      0.03079                 0.001221          0.07319             -0.001282       0.05319                  6.141e-05               0.002159                   0.2921
 L31_N4012         False        NaN                   NaN                            0.0007973                      0.08138                0.0009453           0.1032             -0.001058       0.06379                  0.0001126               0.002694                   0.1388
L30_N11087         False        NaN                   NaN                            0.0007831                       0.1434                0.0009659           0.1252            -0.0007607        0.1342                 -0.0002052               0.003075                   0.2254
 L30_N9195         False        NaN                   NaN                            0.0006892                       0.1404                0.0009248            0.106            -0.0006694         0.164                 -0.0002554              0.0009584                   0.6637
L30_N11731         False        NaN                   NaN                           -0.0005885                       0.1778               -0.0007624           0.1718             0.0005754        0.1606                  0.0001871                0.00374                   0.2521
 L30_N3811         False        NaN                   NaN                            0.0005358                       0.3817                0.0007849           0.2753            -0.0003505        0.5637                 -0.0004344               0.004644                   0.1022
  L31_N520         False        NaN                   NaN                            -0.000513                       0.1724               -0.0007153           0.1338             0.0004368        0.1856                  0.0002785               0.003517                  0.05499
 L30_N2286         False        NaN                   NaN                            0.0004945                       0.4097                 0.000651           0.4005            -0.0001416        0.8684                 -0.0005094               0.004265                  0.05539
 L30_N9674         False        NaN                   NaN                           -0.0004361                       0.4673                -0.001027            0.153             0.0003887        0.5033                  0.0006381               0.004782                  0.07798
  L30_N409         False        NaN                   NaN                            0.0003278                       0.5335                0.0001562           0.7966            -0.0004522        0.3595                  0.0002961              -0.001049                   0.6695
