neuron_id,is_candidate,n_prompts,d_elogu_slope_per_sigma,d_elogu_slope_p,d_elogu_mean_ablation,d_elogu_mean_ablation_p,d_kl_slope_per_sigma,d_kl_slope_p,d_kl_mean_ablation,d_kl_mean_ablation_p,d_entropy_slope_per_sigma,d_entropy_slope_p,d_entropy_mean_ablation,d_entropy_mean_ablation_p,freq_corr,abs_freq_corr_pctile
L20_N1001,True,120,-0.001656123002370198,0.054789042191561686,0.00012791156768798828,0.973005398920216,0.0008860637744267779,0.3997200559888022,0.001322789986928304,0.754249150169966,0.0007700629532337186,0.1915616876624675,-0.001450778047243754,0.38492301539692064,-0.0211787614971399,23.200000000000003
L20_N12894,True,120,0.0017709751923878985,0.06858628274345131,-0.0006395141283671061,0.8416316736652669,-0.000526525576909383,0.5844831033793242,0.0030832211176554363,0.3659268146370726,-0.0012444250285625455,0.008998200359928014,-0.0024437695741653443,0.14317136572685463,0.0063311536796391,8.200000000000001
L20_N1399,True,120,0.0011165599028269445,0.14937012597480503,-0.0004135409990946452,0.9098180363927214,-0.0006011247634887692,0.3895220955808838,0.0023009498914082845,0.4443111377724455,-0.0005154127875963845,0.21775644871025795,-0.0018874575694402059,0.32373525294941013,0.0408214293420314,41.3
L20_N2742,True,120,0.002132494250933329,0.017196560687862426,0.0019426147143046062,0.564887022595481,-0.0009419848521550494,0.3005398920215957,-0.000293274720509847,0.9378124375124975,-0.0011904820799827575,0.013397320535892822,-0.0016494264205296834,0.35012997400519896,0.1169811338186264,83.7
L20_N4060,True,120,0.0013329178094863892,0.1829634073185363,0.0007391532262166341,0.8468306338732253,0.001516215999921163,0.17236552689462106,-0.0008615493774414062,0.8264347130573885,-0.0028491218884785967,0.0001999600079984003,0.00012244880199432373,0.9444111177764447,-0.1686237007379531,95.0
L20_N4769,True,120,-0.0004057347774505613,0.6304739052189562,-7.295608520507812e-05,0.9838032393521295,3.7493308385213275e-05,0.9634073185362927,-0.001148374875386556,0.7370525894821036,0.0003682469328244528,0.5048990201959608,0.0012212554613749186,0.4991001799640072,0.1245663687586784,86.5
L20_N488,False,120,0.002602563301722209,0.0011997600479904018,0.0006917993227640788,0.8218356328734253,-0.002255864938100179,0.005398920215956809,-0.0004987478256225586,0.8376324735052989,-0.0003467040757338207,0.4997000599880024,-0.00019305447737375894,0.906618676264747,,
L20_N5595,True,120,-0.0011444300413131713,0.2803439312137572,-5.6513150533040364e-05,0.9866026794641072,-0.0011874278386433922,0.2709458108378324,0.002197277545928955,0.5114977004599081,0.0023318623503049214,0.0001999600079984003,-0.0021407932043075563,0.22595480903819237,0.1589606255292892,94.2
L22_N11087,False,120,0.0013744294643402099,0.09098180363927215,0.003889358043670654,0.23795240951809637,-0.0007025033235549926,0.45250949810037994,-0.002305297056833903,0.5396920615876825,-0.0006719323496023814,0.09198160367926415,-0.0015840550263722737,0.34173165366926617,,
L22_N2446,True,120,-0.0030388941367467245,0.0003999200159968006,-0.0006440122922261556,0.8564287142571486,0.001935338973999023,0.015596880623875225,0.004029428958892823,0.265746850629874,0.0011035295824209847,0.04059188162367527,-0.003385488192240397,0.05618876224755049,-0.1595734357833862,94.2
