Frequency-neuron causal test
unigram: /marimo/repo/results/unigram_logfreq_43be1456fdd4.npy

Weight-space freq_corr vs causal d_elogu slope across 55 candidates: Pearson r=0.173 (p=0.21), Spearman rho=0.076 (p=0.58)
|causal elogu slope| per sigma: FREQ-NEURON-LIKE (n=9) 0.0043 | other candidates (n=37) 0.0016 | random controls (n=10) 0.0012
sign agreement (weight score vs causal slope) among FREQ-NEURON-LIKE: 0.67

 neuron_id  is_candidate  freq_corr  abs_freq_corr_pctile  d_elogu_slope_per_sigma  d_elogu_slope_p  d_kl_slope_per_sigma  d_kl_slope_p  d_entropy_slope_per_sigma  d_elogu_mean_ablation  d_elogu_mean_ablation_p
 L30_N1457          True     0.4548                   100                  0.01309           0.0002            -0.0005079        0.6477                   -0.01259              -0.004616                   0.1378
 L31_N6772          True   -0.01393                  16.2                  0.01069           0.0002             -0.005775        0.0002                  -0.004917               0.006255                 0.007998
 L30_N1777          True    -0.4896                   100                -0.007734           0.0002              0.006412        0.0002                   0.001322              0.0009397                    0.778
 L31_N2477          True     0.4238                  99.9                -0.006944           0.0002             -0.006306        0.0002                    0.01325               0.005656                   0.1276
L31_N11541          True     0.2199                  98.6                -0.006113            0.002             -0.007277      0.006199                    0.01339               0.004812                   0.1452
 L28_N5085          True    -0.1831                  96.3                 0.005217           0.0002             -0.002214       0.07079                  -0.003003               0.006214                  0.06819
L29_N11308          True    0.08235                  69.9                 0.004985           0.0002             -0.002256     0.0009998                  -0.002729               0.002518                   0.3763
 L29_N5866          True     0.2294                  98.9                 0.004417        0.0007998             -0.005854        0.0002                   0.001437              -0.003052                   0.3589
 L22_N3582         False        NaN                   NaN                -0.003656        0.0003999             0.0009794        0.3813                   0.002677             -0.0006959                    0.801
L29_N10877          True    0.07306                  65.5                 0.003475        0.0003999             -0.001233        0.1414                  -0.002243              -0.002272                   0.4667
L31_N14143          True    -0.2535                  99.2                -0.003358           0.0002              0.001629      0.005199                   0.001728               0.005477                0.0003999
 L22_N2446          True    -0.1596                  94.2                -0.003039        0.0003999              0.001935        0.0156                   0.001104              -0.000644                   0.8564
 L31_N5966          True    -0.4047                  99.9                 0.003003           0.0002             -0.001724         0.014                   -0.00128              5.705e-05                   0.9824
L26_N11322          True     0.1778                  95.4                  0.00271         0.005199            -0.0005839        0.5399                  -0.002127              0.0002289                   0.9424
  L20_N488         False        NaN                   NaN                 0.002603           0.0012             -0.002256      0.005399                 -0.0003467              0.0006918                   0.8218
L29_N10191          True     0.1552                  93.7                 0.002581         0.005599             -0.002758        0.0012                   0.000178              -0.002337                   0.4833
L30_N13647          True     0.1983                  97.4                -0.002462           0.0002              0.002152        0.0002                  0.0003107               0.001176                   0.6017
 L20_N2742          True      0.117                  83.7                 0.002132           0.0172             -0.000942        0.3005                   -0.00119               0.001943                   0.5649
 L31_N3330          True    -0.4658                   100                 0.002035         0.009798             -0.003115        0.0002                    0.00108             -0.0007039                   0.7107
 L29_N2646          True    0.08801                  72.3                -0.002006         0.007998              0.002561     0.0003999                 -0.0005556              -0.001947                   0.3945
L30_N11103          True   -0.02037                  22.2                 0.001961         0.003599             -0.001279       0.05199                  -0.000682               0.001253                   0.5595
L28_N11622          True    0.06427                  61.2                 0.001957          0.02919             -0.001148         0.211                  -0.000809               0.002787                   0.3353
