Frequency-neuron causal test
unigram: /marimo/repo/results/unigram_logfreq_43be1456fdd4.npy

Weight-space freq_corr vs causal slope [raw d_elogu] across 55 candidates: Pearson r=0.218 (p=0.11), Spearman rho=0.193 (p=0.16); sign agreement among FREQ-NEURON-LIKE 0.67
Weight-space freq_corr vs causal slope [d_elogu BEYOND temperature-matched baseline] across 55 candidates: Pearson r=0.215 (p=0.11), Spearman rho=0.180 (p=0.19); sign agreement among FREQ-NEURON-LIKE 0.44
|causal elogu slope| per sigma: FREQ-NEURON-LIKE (n=9) 0.0042 | other candidates (n=37) 0.0011 | random controls (n=10) 0.0009
sign agreement (weight score vs causal slope) among FREQ-NEURON-LIKE: 0.67

 neuron_id  is_candidate  freq_corr  abs_freq_corr_pctile  d_elogu_beyond_temp_slope_per_sigma  d_elogu_beyond_temp_slope_p  d_elogu_slope_per_sigma  d_elogu_slope_p  d_kl_slope_per_sigma  d_kl_slope_p  d_entropy_slope_per_sigma  d_elogu_mean_ablation  d_elogu_mean_ablation_p
 L30_N1457          True     0.4548                   100                              0.00632                       0.0002                  0.01325           0.0002             -0.003483      0.005799                  -0.009766               -0.01068                 0.005599
 L29_N5866          True     0.2294                  98.9                             0.004447                       0.0002                 0.005704           0.0002             -0.006872        0.0002                   0.001167              -0.003921                   0.1938
L29_N11909          True    -0.5412                   100                             0.003528                     0.004199                 0.007204           0.0002             -0.005618     0.0007998                  -0.001586              -0.003184                   0.4245
  L29_N578          True    0.07939                  68.4                             0.003235                    0.0003999                 0.004671           0.0002             -0.005156        0.0002                  0.0004845              -0.004285                   0.2148
 L29_N2646          True    0.08801                  72.3                            -0.003009                       0.0002                 -0.00358           0.0016              0.004003        0.0002                 -0.0004231              -0.002566                   0.4357
L31_N14143          True    -0.2535                  99.2                            -0.002697                       0.0002                -0.003842           0.0002              0.003553        0.0002                  0.0002883             -0.0004081                   0.8702
L31_N11541          True     0.2199                  98.6                             0.002546                       0.4077               -8.841e-05           0.9786              0.001876        0.6915                  -0.001788                0.01115                   0.0182
 L31_N6772          True   -0.01393                  16.2                             0.002527                       0.0022                 0.001962            0.102             -0.002795      0.004799                  0.0008332              -0.001002                   0.6569
L26_N11322          True     0.1778                  95.4                             0.002421                     0.004399                 0.003762           0.0014             -0.002245       0.05279                  -0.001517              -0.003888                   0.2743
 L31_N2477          True     0.4238                  99.9                            -0.002371                     0.004399                -0.005629           0.0002              0.001159        0.3321                    0.00447              -0.006584                  0.07758
 L29_N9228          True      0.192                  96.9                             0.002176                        0.013                 0.003551            0.002             -0.002364       0.06699                  -0.001187              -0.005044                   0.1894
L29_N10092          True    -0.4098                  99.9                            -0.002028                    0.0009998                -0.002768           0.0016              0.002307      0.004599                  0.0004614              -0.005904                  0.06979
 L20_N5595          True      0.159                  94.2                             0.001984                      0.04859                 0.003959         0.002599             -0.003921        0.0182                 -3.798e-05              -0.002941                   0.4939
  L31_N368          True   0.006299                   8.1                            -0.001954                       0.0024                -0.002431         0.004199              0.001811       0.04199                  0.0006203             -8.756e-05                   0.9588
L29_N12400          True    -0.1679                  94.9                            -0.001637                      0.09838                -0.001195           0.4027              0.005271      0.009998                  -0.004076               -0.01098                0.0007998
L30_N13647          True     0.1983                  97.4                            -0.001546                     0.003399                -0.001845         0.006199              0.001196       0.06859                  0.0006497              -0.005624                  0.06059
 L29_N8568          True     0.1314                  88.1                             0.001361                      0.02919                 0.002778         0.003599              -0.00116        0.2064                  -0.001618              -0.004199                   0.1834
  L31_N434         False        NaN                   NaN                             0.001326                        0.014                 0.001699          0.03599             -0.001857       0.04719                  0.0001575              -0.004777                  0.02879
 L28_N5085          True    -0.1831                  96.3                             0.001272                      0.04579                 0.001847          0.04999             -0.001921        0.0202                  7.417e-05              -0.003181                   0.3513
L29_N11791          True     -0.206                  97.9                             0.001263                      0.04819                0.0007176           0.4247             -0.002813      0.004999                   0.002095              -0.001984                   0.5215
L29_N11308          True    0.08235                  69.9                             0.001142                       0.1074                  0.00159           0.1168             -0.001679        0.1812                   8.91e-05              -0.001591                   0.6773
L30_N13098          True    -0.1433                  91.9                            -0.001102                      0.07219                -0.001538          0.08478             0.0004361        0.5913                   0.001102              -0.002698                   0.4121
L29_N10191          True     0.1552                  93.7                             0.001061                       0.3087                 -6.9e-05           0.9576             5.504e-05        0.9688                  1.396e-05               -0.01089                 0.005599
L28_N14222          True    0.02774                  29.5                             0.001053                      0.08918                 0.001176           0.1506             -0.002025       0.03919                  0.0008493              -0.004795                   0.1374
L30_N10312          True   -0.09759                  76.5                             0.001052                       0.1282                 0.001409          0.09298             -0.001204        0.1712                 -0.0002048              -0.005994                  0.06439
  L22_N409         False        NaN                   NaN                             0.001049                      0.06319                 0.001514          0.07419             -0.001737       0.02959                  0.0002226              -0.006463                   0.1192
 L31_N4425          True  -0.006453                   8.2                            -0.001043                      0.07918                -0.001682          0.04919             0.0007284        0.4597                  0.0009535              -0.002904                   0.1828
 L24_N7891          True     0.1308                    88                           -0.0009244                        0.186                -0.001292           0.1812             0.0007104        0.5163                  0.0005817              -0.004105                   0.2567
 L24_N2286         False        NaN                   NaN                            0.0008766                       0.2216                 0.001416           0.1852             -0.001578         0.107                  0.0001618             -0.0002843                   0.9254
L30_N13513          True   -0.02052                  22.4                            0.0008601                       0.1634                 0.001395           0.1626            -0.0009686        0.2372                 -0.0004261              0.0005836                   0.8222
 L30_N6621          True   -0.06205                  58.9                            0.0007934                       0.2687                0.0008441           0.3935            -0.0009758        0.3185                  0.0001317              -0.006373                  0.04119
 L20_N4060          True    -0.1686                    95                           -0.0007339                       0.3989                -0.001621           0.1502            -0.0003185        0.7648                   0.001939              -0.002357                   0.4647
 L31_N5966          True    -0.4047                  99.9                             0.000729                       0.1486                 0.001193          0.09138             -0.001067        0.1824                 -0.0001256              -0.004582                  0.04659
 L22_N2446          True    -0.1596                  94.2                            0.0006574                       0.3331                0.0007325           0.4509            -0.0006858        0.4975                 -4.668e-05              -0.004261                    0.214
L20_N12894          True   0.006331                   8.2                            0.0006337                       0.4041                0.0009912           0.3173            -0.0001679        0.8974                 -0.0008234               -0.00228                   0.5131
 L31_N7853          True   -0.01441                  16.6                           -0.0005986                       0.2342                 1.23e-05           0.9854             0.0003077        0.6529                   -0.00032              -0.003222                   0.1232
 L22_N3582         False        NaN                   NaN                             0.000482                       0.4471                0.0009524           0.3261            -0.0001817        0.8208                 -0.0007707              -0.006045                  0.08938
L23_N12855          True     0.0126                  14.9                            0.0004712                       0.5079                0.0003891           0.6639            -0.0005656        0.5397                  0.0001765              -0.007015                  0.06619
 L20_N1001          True   -0.02118                  23.2                           -0.0004558                       0.6177               -0.0002156           0.8372             0.0007926        0.5397                  -0.000577              -0.005681                    0.138
  L20_N488         False        NaN                   NaN                            0.0004528                       0.5155                0.0004047           0.6629             0.0005397        0.5465                 -0.0009444              -0.002789                   0.4743
 L30_N1777          True    -0.4896                   100                           -0.0004056                       0.7353                -0.002092            0.119             -0.000782        0.6043                   0.002874              -0.006126                  0.04679
 L29_N3447          True    0.05839                  56.1                            0.0003637                       0.6465               -0.0003068           0.7463             0.0002225        0.8246                  8.423e-05              -0.004888                   0.1844
 L26_N4012         False        NaN                   NaN                           -0.0003431                       0.6391               -0.0007235           0.4741            -0.0003609        0.7017                   0.001084               -0.01105                 0.005399
   L27_N45          True    -0.1427                  91.9                            0.0003401                       0.5491                 -0.00115             0.19             -0.001762       0.02779                   0.002911              -0.006557                  0.09158
L30_N11103          True   -0.02037                  22.2                           -0.0003222                       0.5553               -0.0001653           0.8256             0.0002818        0.6915                 -0.0001165               -0.00303                   0.2633
  L31_N377          True    0.03517                  35.9                            0.0003191                       0.3593                0.0003922           0.4313             6.932e-05        0.8976                 -0.0004615              -0.001466                   0.1736
 L31_N3330          True    -0.4658                   100                            0.0002429                       0.7642                 -0.00171           0.1342             4.228e-05        0.9654                   0.001668               -0.00201                    0.201
L22_N11087         False        NaN                   NaN                            -0.000241                       0.7125               -0.0009009           0.3309              0.001156        0.2927                  -0.000255              -0.001885                   0.6249
 L26_N2788          True    -0.1063                  80.2                            0.0002378                       0.7968                0.0008152           0.5307             -0.001423        0.4353                  0.0006075              -0.003757                   0.3553
 L30_N7102          True    -0.2972                  99.5                            0.0002142                       0.7648               -0.0001352            0.874            -0.0002242        0.7868                  0.0003594              -0.005846                  0.03339
 L30_N5509          True     0.1505                  93.1                           -0.0001923                       0.7275                0.0002552           0.7423            -0.0001893        0.7854                 -6.584e-05              -0.004481                   0.1422
 L20_N2742          True      0.117                  83.7                           -0.0001863                       0.7359               -0.0006201           0.4233             0.0004181        0.6101                   0.000202               -0.00121                   0.7684
 L24_N8279         False        NaN                   NaN                           -0.0001841                       0.7802                -0.000412           0.6631             3.209e-05        0.9742                  0.0003799              -0.004366                   0.2404
 L30_N3533          True    0.05596                  54.3                            0.0001759                       0.8314                 0.000495           0.6373             0.0007736        0.4751                  -0.001269               -0.00827                  0.02639
 L31_N6912         False        NaN                   NaN                           -0.0001649                       0.7145                0.0002601           0.7313             0.0002518        0.7479                 -0.0005119               -0.00278                  0.08238
 L29_N6625          True      0.193                  96.9                           -0.0001604                       0.8062                -0.001118            0.209             -0.001223        0.1622                   0.002341               0.002223                   0.5047
L29_N10877          True    0.07306                  65.5                             -0.00016                       0.8298                0.0006804           0.4945              0.001395         0.193                  -0.002075              -0.006629                  0.05839
 L30_N1424         False        NaN                   NaN                           -0.0001502                       0.7493               -0.0004119           0.6519            -0.0008816        0.2488                   0.001293             -0.0003424                   0.8854
 L26_N8053          True   -0.02464                  25.9                           -0.0001404                       0.8298                -8.79e-05           0.9382             0.0006281        0.5179                 -0.0005402              -0.007478                  0.05419
L29_N13925          True   -0.09583                    76                           -0.0001316                       0.8048               -0.0003182           0.7197            -0.0001894         0.814                  0.0005076              -0.005824                  0.05619
