Frequency-neuron causal test
unigram: /marimo/repo/results/unigram_logfreq_43be1456fdd4.npy

Weight-space freq_corr vs causal slope [raw d_elogu] across 55 candidates: Pearson r=0.308 (p=0.022), Spearman rho=0.206 (p=0.13); sign agreement among FREQ-NEURON-LIKE 0.67
Weight-space freq_corr vs causal slope [d_elogu BEYOND temperature-matched baseline] across 55 candidates: Pearson r=0.306 (p=0.023), Spearman rho=0.213 (p=0.12); sign agreement among FREQ-NEURON-LIKE 0.67
|causal elogu slope| per sigma: FREQ-NEURON-LIKE (n=9) 0.0016 | other candidates (n=37) 0.0008 | random controls (n=10) 0.0007
sign agreement (weight score vs causal slope) among FREQ-NEURON-LIKE: 0.67

 neuron_id  is_candidate  freq_corr  abs_freq_corr_pctile  d_elogu_beyond_temp_slope_per_sigma  d_elogu_beyond_temp_slope_p  d_elogu_slope_per_sigma  d_elogu_slope_p  d_kl_slope_per_sigma  d_kl_slope_p  d_entropy_slope_per_sigma  d_elogu_mean_ablation  d_elogu_mean_ablation_p
 L30_N1457          True     0.4548                   100                             0.006978                       0.0002                 0.007072           0.0002             -0.001814        0.3319                  -0.005258              -0.005358                  0.07738
 L31_N6772          True   -0.01393                  16.2                             0.003775                    0.0007998                 0.003953        0.0007998             -0.001563        0.2997                   -0.00239               0.003091                   0.1182
L30_N10312          True   -0.09759                  76.5                             0.002152                        0.002                 0.002639           0.0012             -0.003699      0.002799                    0.00106             -0.0001573                   0.9128
L29_N11909          True    -0.5412                   100                             0.002085                      0.04319                 0.001941           0.1172             -0.001315        0.4459                 -0.0006259              0.0002129                   0.9292
L29_N11308          True    0.08235                  69.9                             0.001891                     0.002999                 0.002527           0.0014             -0.004302     0.0003999                   0.001775               0.001163                   0.6167
 L30_N1777          True    -0.4896                   100                            -0.001879                     0.006599                -0.002048            0.018              0.003473        0.0224                  -0.001424              0.0007895                   0.7435
  L20_N488         False        NaN                   NaN                            -0.001794                       0.0002                -0.002181           0.0002              0.002533      0.005599                 -0.0003523               0.001158                   0.6399
 L29_N5866          True     0.2294                  98.9                              0.00127                     0.004199                 0.001705           0.0016             -0.003415        0.0002                    0.00171              0.0005989                   0.7175
 L29_N9228          True      0.192                  96.9                             -0.00127                      0.03379                -0.001776           0.0102              0.001414        0.1946                  0.0003619              3.814e-05                   0.9842
L29_N12400          True    -0.1679                  94.9                             -0.00125                       0.1478                -0.001687          0.08598              0.006974        0.0002                  -0.005287             -0.0007826                   0.8106
