Frequency-neuron causal test
unigram: /marimo/repo/results/unigram_logfreq_43be1456fdd4.npy

Weight-space freq_corr vs causal slope [raw d_elogu] across 55 candidates: Pearson r=0.173 (p=0.21), Spearman rho=0.076 (p=0.58); sign agreement among FREQ-NEURON-LIKE 0.67
Weight-space freq_corr vs causal slope [d_elogu BEYOND temperature-matched baseline] across 55 candidates: Pearson r=0.333 (p=0.013), Spearman rho=0.263 (p=0.052); sign agreement among FREQ-NEURON-LIKE 0.67
|causal elogu slope| per sigma: FREQ-NEURON-LIKE (n=9) 0.0043 | other candidates (n=37) 0.0016 | random controls (n=10) 0.0012
sign agreement (weight score vs causal slope) among FREQ-NEURON-LIKE: 0.67

 neuron_id  is_candidate  freq_corr  abs_freq_corr_pctile  d_elogu_beyond_temp_slope_per_sigma  d_elogu_beyond_temp_slope_p  d_elogu_slope_per_sigma  d_elogu_slope_p  d_kl_slope_per_sigma  d_kl_slope_p  d_entropy_slope_per_sigma  d_elogu_mean_ablation  d_elogu_mean_ablation_p
 L31_N6772          True   -0.01393                  16.2                             0.008213                       0.0002                  0.01069           0.0002             -0.005775        0.0002                  -0.004917               0.006255                 0.006599
 L30_N1457          True     0.4548                   100                              0.00658                       0.0002                  0.01309           0.0002            -0.0005079        0.6553                   -0.01259              -0.004616                   0.1256
 L30_N1777          True    -0.4896                   100                            -0.006111                       0.0002                -0.007734           0.0002              0.006412        0.0002                   0.001322              0.0009397                    0.763
 L29_N5866          True     0.2294                  98.9                             0.004547                       0.0002                 0.004417        0.0003999             -0.005854        0.0002                   0.001437              -0.003052                   0.3655
 L28_N5085          True    -0.1831                  96.3                             0.003494                    0.0007998                 0.005217           0.0002             -0.002214       0.07359                  -0.003003               0.006214                  0.07419
L29_N11308          True    0.08235                  69.9                             0.003365                       0.0002                 0.004985           0.0002             -0.002256        0.0016                  -0.002729               0.002518                   0.3761
 L31_N3330          True    -0.4658                   100                             0.002808                       0.0002                 0.002035         0.008998             -0.003115        0.0002                    0.00108             -0.0007039                   0.7245
L29_N10191          True     0.1552                  93.7                             0.002505                       0.0022                 0.002581         0.004799             -0.002758        0.0018                   0.000178              -0.002337                   0.4899
L30_N13647          True     0.1983                  97.4                            -0.002398                       0.0002                -0.002462           0.0002              0.002152        0.0002                  0.0003107               0.001176                   0.5995
 L22_N3582         False        NaN                   NaN                            -0.002294                       0.0134                -0.003656        0.0003999             0.0009794        0.3729                   0.002677             -0.0006959                   0.7916
L31_N14143          True    -0.2535                  99.2                            -0.002252                    0.0003999                -0.003358           0.0002              0.001629      0.005199                   0.001728               0.005477                0.0005999
L29_N11909          True    -0.5412                   100                             -0.00222                      0.05499                -0.001037           0.4295              0.006122        0.0002                  -0.005085               0.001888                   0.5379
  L20_N488         False        NaN                   NaN                             0.002196                       0.0012                 0.002603        0.0009998             -0.002256      0.006199                 -0.0003467              0.0006918                   0.8196
 L22_N2446          True    -0.1596                  94.2                            -0.002146                     0.003599                -0.003039        0.0003999              0.001935        0.0186                   0.001104              -0.000644                     0.85
L29_N10877          True    0.07306                  65.5                              0.00207                     0.003799                 0.003475        0.0003999             -0.001233        0.1384                  -0.002243              -0.002272                   0.4569
 L31_N5966          True    -0.4047                  99.9                             0.002026                       0.0024                 0.003003           0.0002             -0.001724        0.0176                   -0.00128              5.705e-05                   0.9848
 L29_N2646          True    0.08801                  72.3                            -0.001961                    0.0007998                -0.002006         0.006599              0.002561     0.0003999                 -0.0005556              -0.001947                   0.3965
L31_N11541          True     0.2199                  98.6                             0.001891                       0.3509                -0.006113         0.002599             -0.007277      0.006799                    0.01339               0.004812                    0.161
 L30_N6621          True   -0.06205                  58.9                             0.001844                      0.02879                 0.001403           0.1652              -0.00309        0.0014                   0.001687               0.003679                   0.1882
 L31_N4425          True  -0.006453                   8.2                            -0.001792                     0.004599                -0.001876           0.0174               0.00221      0.008998                  -0.000334              -0.001237                   0.6207
L30_N11103          True   -0.02037                  22.2                             0.001452                     0.006999                 0.001961           0.0024             -0.001279       0.05579                  -0.000682               0.001253                   0.5465
 L30_N3533          True    0.05596                  54.3                             0.001421                      0.05259                 0.001782          0.04159             -0.001036        0.2733                 -0.0007465               -0.00271                   0.3015
 L20_N2742          True      0.117                  83.7                             0.001401                      0.06739                 0.002132           0.0166             -0.000942        0.2983                   -0.00119               0.001943                   0.5577
L26_N11322          True     0.1778                  95.4                             0.001394                      0.07758                  0.00271         0.002799            -0.0005839        0.5535                  -0.002127              0.0002289                   0.9406
L28_N11622          True    0.06427                  61.2                             0.001382                      0.07638                 0.001957          0.02719             -0.001148           0.2                  -0.000809               0.002787                   0.3309
 L26_N8053          True   -0.02464                  25.9                            -0.001229                      0.04599                -0.001687          0.02999             0.0004181        0.5807                   0.001269               0.001319                   0.6017
L30_N13513          True   -0.02052                  22.4                             0.001213                      0.03979                 0.001423          0.03639             -0.001093       0.08118                 -0.0003299               0.001518                   0.4671
   L27_N45          True    -0.1427                  91.9                             0.001144                       0.1256               -4.048e-05            0.965             -0.002314      0.007798                   0.002354             -0.0009143                   0.7299
L22_N11087         False        NaN                   NaN                              0.00108                       0.1682                 0.001374          0.09438            -0.0007025        0.4435                 -0.0006719               0.003889                   0.2531
L20_N12894          True   0.006331                   8.2                             0.001064                       0.2042                 0.001771          0.06759            -0.0005265        0.5739                  -0.001244             -0.0006395                   0.8368
L29_N13925          True   -0.09583                    76                            -0.001042                       0.1292                -0.001557          0.04279             0.0006342        0.3889                  0.0009231               0.004031                   0.1862
  L29_N578          True    0.07939                  68.4                             0.001007                       0.1884                 0.001303            0.148            -0.0003357        0.7389                 -0.0009669                0.00369                   0.3059
 L20_N1001          True   -0.02118                  23.2                            -0.000958                       0.2174                -0.001656          0.05479             0.0008861        0.4093                  0.0007701              0.0001279                    0.973
 L24_N8279         False        NaN                   NaN                            0.0009543                       0.1646                0.0008873           0.2404             -0.001109        0.1958                  0.0002221               0.002743                   0.1734
 L31_N2477          True     0.4238                  99.9                           -0.0008593                       0.2294                -0.006944           0.0002             -0.006306        0.0002                    0.01325               0.005656                   0.1306
  L31_N434         False        NaN                   NaN                            0.0007927                       0.1474                 0.001564           0.0122            -0.0008395        0.2677                 -0.0007249                0.00128                   0.4461
 L29_N3447          True    0.05839                  56.1                           -0.0007896                       0.1828                 -0.00158          0.02779             0.0001483        0.7934                   0.001432                0.00383                   0.1286
 L30_N5509          True     0.1505                  93.1                            0.0007505                       0.3211                0.0001581           0.8718             -0.001874       0.05239                   0.001716               0.003276                   0.2575
 L29_N8568          True     0.1314                  88.1                           -0.0007446                        0.249               -0.0009739           0.2184              0.001024        0.2238                  -4.96e-05               0.003208                   0.1722
 L20_N1399          True    0.04082                  41.3                            0.0007402                       0.2723                 0.001117           0.1514            -0.0006011        0.3849                 -0.0005154             -0.0004135                   0.9046
L29_N10092          True    -0.4098                  99.9                           -0.0007163                       0.2208                -0.000522           0.4531              0.001218       0.04939                  -0.000696              0.0004844                   0.8712
L30_N13098          True    -0.1433                  91.9                           -0.0006644                       0.2773               -0.0005852           0.4051             0.0005626        0.4515                   2.26e-05               0.001245                   0.6433
 L24_N7891          True     0.1308                    88                            0.0006509                       0.4561                0.0006969           0.4791            -0.0003333        0.7425                 -0.0003636              0.0003447                   0.9118
L29_N12400          True    -0.1679                  94.9                            0.0006475                       0.5115                 0.001842          0.07439            -0.0002979        0.8016                  -0.001544              0.0004237                   0.9034
  L31_N368          True   0.006299                   8.1                           -0.0006447                       0.2356                -0.001256          0.07359             0.0006841        0.3825                  0.0005721               0.002388                    0.188
L23_N12156          True   -0.02103                  23.1                            0.0005982                       0.4179                0.0007847           0.3261            -0.0008495        0.2693                   6.48e-05             -0.0004993                   0.8536
L30_N10312          True   -0.09759                  76.5                           -0.0005585                       0.2769               -0.0006465           0.2689             0.0005076        0.3323                   0.000139               0.002008                   0.4507
 L30_N7102          True    -0.2972                  99.5                            -0.000494                       0.3125               -0.0006775           0.2446             0.0005188        0.2771                  0.0001586              -0.001607                   0.5843
 L31_N7853          True   -0.01441                  16.6                           -0.0004906                       0.2825               -0.0005569           0.3449             0.0008688        0.1518                 -0.0003118               0.002868                   0.1264
 L31_N6912         False        NaN                   NaN                            0.0003583                       0.4185                0.0003009           0.5959            -0.0005789        0.4349                  0.0002781               0.002671                   0.2198
L29_N11791          True     -0.206                  97.9                           -0.0003049                       0.7269                -0.001309           0.2078            -0.0001352         0.888                   0.001444               0.002185                   0.5035
 L26_N4012         False        NaN                   NaN                            0.0002954                       0.6293                 0.000291           0.6935            -0.0001206         0.837                 -0.0001703             -0.0002888                   0.9236
 L29_N6625          True      0.193                  96.9                            0.0002786                       0.7343               -0.0002655           0.7756             -0.001026        0.3329                   0.001292             -0.0003127                   0.9102
L23_N12855          True     0.0126                  14.9                            0.0002281                       0.7273               -2.396e-05           0.9754            -0.0005902        0.3789                  0.0006141               0.003247                   0.3675
  L22_N409         False        NaN                   NaN                           -0.0002249                       0.7251                -0.000335           0.6573             9.733e-05        0.8708                  0.0002377               0.003542                   0.3011
 L30_N1424         False        NaN                   NaN                           -0.0002242                       0.6483               -0.0003406           0.5281             2.489e-05        0.9572                  0.0003157               0.001221                   0.6355
 L29_N4718          True    -0.1289                  87.5                             0.000222                       0.7592                3.079e-05           0.9694            -9.397e-06        0.9918                 -2.138e-05               0.002236                   0.4169
 L26_N2788          True    -0.1063                  80.2                           -0.0002197                       0.7718                0.0008341           0.3293             0.0006925        0.4645                  -0.001527              0.0008232                   0.8112
  L31_N377          True    0.03517                  35.9                            -0.000154                         0.77                -2.59e-06           0.9966             0.0002684        0.5935                 -0.0002657                0.00219                   0.3055
 L29_N9228          True      0.192                  96.9                            0.0001467                       0.8868                -0.001904            0.101             -0.002921         0.016                   0.004824              0.0004184                   0.8922
 L20_N4769          True     0.1246                  86.5                           -0.0001073                       0.8882               -0.0004057           0.6409             3.749e-05         0.964                  0.0003682             -7.296e-05                   0.9858
 L20_N5595          True      0.159                  94.2                           -9.185e-05                        0.917                -0.001144           0.2665             -0.001187        0.2799                   0.002332             -5.651e-05                   0.9878
L28_N14222          True    0.02774                  29.5                            8.906e-05                       0.9084               -0.0001111           0.9018            -6.401e-05        0.9434                  0.0001751               0.003097                   0.2404
 L20_N4060          True    -0.1686                    95                           -8.701e-05                       0.9166                 0.001333           0.1798              0.001516        0.1754                  -0.002849              0.0007392                   0.8452
 L24_N2286         False        NaN                   NaN                            1.449e-05                       0.9816                -0.000322           0.6659            -0.0003095        0.7255                  0.0006314             -0.0009802                   0.7175
