relation,n_total,lo_q10,hi_q90,lo_available,lo_drawn,lo_undrawn,hi_available,hi_drawn,hi_undrawn,middle_80pct,lo_Unknown,lo_HighlyKnown,hi_HighlyKnown,hi_Unknown
author,1409,82.0,4745.200000000001,142,61,81,141,67,74,1126,60,0,48,11
capital,623,216.60000000000002,269863.40000000043,63,54,9,63,53,10,497,16,24,48,1
capital of,255,438.4000000000001,127436.6,26,26,0,26,26,0,203,24,0,13,9
color,34,4699.0,180824.09999999998,4,4,0,4,4,0,26,2,1,3,0
composer,880,165.0,22114.500000000007,90,63,27,88,60,28,702,58,2,26,21
country,824,40.0,4195.100000000002,84,62,22,83,64,19,657,12,34,42,12
director,1784,135.0,16604.5,180,67,113,179,71,108,1425,67,0,59,5
father,562,155.4,75952.00000000001,57,52,5,57,50,7,448,44,1,36,7
genre,1530,119.0,19692.00000000009,156,70,86,153,68,85,1221,66,0,7,41
mother,187,461.6,169320.40000000008,19,19,0,19,19,0,149,18,0,14,3
occupation,531,63.0,8010.0,55,53,2,54,50,4,422,51,0,14,18
place of birth,584,56.300000000000004,1953.7,59,53,6,59,51,8,466,49,0,14,23
producer,1320,210.70000000000002,29841.200000000015,132,62,70,132,70,62,1056,62,0,16,20
religion,326,80.0,93541.5,33,33,0,33,33,0,260,33,0,8,17
screenwriter,1672,201.10000000000002,24068.80000000002,168,70,98,168,68,100,1336,68,0,34,14
sport,547,46.6,4464.8,55,53,2,55,51,4,437,36,7,43,6
