set,condition,arm,n,n_neurons,hedge_rate_clean,hedge_rate,hedge_delta,hedge_gained,hedge_lost,hedge_delta_p,conf_clean,conf,conf_delta,conf_delta_p,conf_parsed_frac,hedge_interaction,conf_interaction
dirfam,mean,uncertain,120,20,0.7666666666666667,0.7666666666666667,0.0,2,2,1.0,66.5,67.95833333333333,1.4583333333333286,0.44527106666826965,1.0,0.0,2.3333333333333286
dirfam,mean,control,120,20,0.008333333333333333,0.008333333333333333,0.0,0,0,1.0,76.79166666666667,75.91666666666667,-0.875,0.3508159294062424,1.0,0.0,2.3333333333333286
dirfam,minus2,uncertain,120,20,0.7666666666666667,0.7166666666666667,-0.050000000000000044,1,7,0.0703125,66.5,65.75,-0.75,0.7939982109869596,1.0,-0.050000000000000044,0.8333333333333428
dirfam,minus2,control,120,20,0.008333333333333333,0.008333333333333333,0.0,0,0,1.0,76.79166666666667,75.20833333333333,-1.5833333333333428,0.16463532629468058,1.0,-0.050000000000000044,0.8333333333333428
dirfam,plus2,uncertain,120,20,0.7666666666666667,0.7916666666666666,0.02499999999999991,4,1,0.375,66.5,66.04166666666667,-0.4583333333333286,0.7943459381464117,1.0,0.01666666666666658,0.3333333333333428
dirfam,plus2,control,120,20,0.008333333333333333,0.016666666666666666,0.008333333333333333,1,0,1.0,76.79166666666667,76.0,-0.7916666666666714,0.5042835180720096,1.0,0.01666666666666658,0.3333333333333428
dirfam5,mean,uncertain,120,5,0.7666666666666667,0.7666666666666667,0.0,1,1,1.0,66.5,67.70833333333333,1.2083333333333286,0.3937686346429927,1.0,-0.008333333333333333,1.25
dirfam5,mean,control,120,5,0.008333333333333333,0.016666666666666666,0.008333333333333333,1,0,1.0,76.79166666666667,76.75,-0.041666666666671404,0.8539232992870668,1.0,-0.008333333333333333,1.25
dirfam5,minus2,uncertain,120,5,0.7666666666666667,0.7333333333333333,-0.03333333333333344,0,4,0.125,66.5,65.625,-0.875,0.7225420730391727,1.0,-0.04166666666666677,-0.1666666666666572
dirfam5,minus2,control,120,5,0.008333333333333333,0.016666666666666666,0.008333333333333333,1,0,1.0,76.79166666666667,76.08333333333333,-0.7083333333333428,0.3990751965482372,1.0,-0.04166666666666677,-0.1666666666666572
dirfam5,plus2,uncertain,120,5,0.7666666666666667,0.8,0.033333333333333326,4,0,0.125,66.5,69.95833333333333,3.4583333333333286,0.07258010342278516,1.0,0.033333333333333326,4.708333333333329
dirfam5,plus2,control,120,5,0.008333333333333333,0.008333333333333333,0.0,0,0,1.0,76.79166666666667,75.54166666666667,-1.25,0.10880943004054568,1.0,0.033333333333333326,4.708333333333329
random_ctrl_0,mean,uncertain,120,20,0.7666666666666667,0.7666666666666667,0.0,1,1,1.0,66.5,67.91666666666667,1.4166666666666714,0.3979076689546348,1.0,0.0,1.8333333333333428
random_ctrl_0,mean,control,120,20,0.008333333333333333,0.008333333333333333,0.0,0,0,1.0,76.79166666666667,76.375,-0.4166666666666714,0.5807121621890252,1.0,0.0,1.8333333333333428
random_ctrl_0,minus2,uncertain,120,20,0.7666666666666667,0.7583333333333333,-0.008333333333333415,2,3,1.0,66.5,69.75,3.25,0.07274204006810549,1.0,-0.008333333333333415,4.75
random_ctrl_0,minus2,control,120,20,0.008333333333333333,0.008333333333333333,0.0,0,0,1.0,76.79166666666667,75.29166666666667,-1.5,0.10516238594487679,1.0,-0.008333333333333415,4.75
random_ctrl_0,plus2,uncertain,120,20,0.7666666666666667,0.7666666666666667,0.0,1,1,1.0,66.5,68.75,2.25,0.20802196646148974,1.0,0.0,2.0416666666666714
random_ctrl_0,plus2,control,120,20,0.008333333333333333,0.008333333333333333,0.0,0,0,1.0,76.79166666666667,77.0,0.2083333333333286,0.17971249487899976,1.0,0.0,2.0416666666666714
random_ctrl_1,mean,uncertain,120,20,0.7666666666666667,0.775,0.008333333333333304,2,1,1.0,66.5,69.375,2.875,0.13481751128178945,1.0,0.008333333333333304,3.375
random_ctrl_1,mean,control,120,20,0.008333333333333333,0.008333333333333333,0.0,0,0,1.0,76.79166666666667,76.29166666666667,-0.5,0.6830913983096087,1.0,0.008333333333333304,3.375
random_ctrl_1,minus2,uncertain,120,20,0.7666666666666667,0.7833333333333333,0.016666666666666607,3,1,0.625,66.5,70.0,3.5,0.09778771173180648,1.0,0.008333333333333274,3.458333333333343
random_ctrl_1,minus2,control,120,20,0.008333333333333333,0.016666666666666666,0.008333333333333333,1,0,1.0,76.79166666666667,76.83333333333333,0.04166666666665719,1.0,1.0,0.008333333333333274,3.458333333333343
random_ctrl_1,plus2,uncertain,120,20,0.7666666666666667,0.7416666666666667,-0.025000000000000022,0,3,0.25,66.5,67.83333333333333,1.3333333333333286,0.4431023319909091,1.0,-0.025000000000000022,2.0833333333333286
random_ctrl_1,plus2,control,120,20,0.008333333333333333,0.008333333333333333,0.0,0,0,1.0,76.79166666666667,76.04166666666667,-0.75,0.17397245726733168,1.0,-0.025000000000000022,2.0833333333333286
