set,condition,arm,n,n_neurons,hedge_rate_clean,hedge_rate,hedge_delta,hedge_gained,hedge_lost,hedge_delta_p,conf_clean,conf,conf_delta,conf_delta_p,conf_parsed_frac,hedge_interaction,conf_interaction
corrfreq,mean,uncertain,120,9,0.7666666666666667,0.7833333333333333,0.016666666666666607,3,1,0.625,66.5,70.33333333333333,3.8333333333333286,0.03764506651294004,1.0,0.008333333333333274,4.916666666666671
corrfreq,mean,control,120,9,0.008333333333333333,0.016666666666666666,0.008333333333333333,1,0,1.0,76.79166666666667,75.70833333333333,-1.0833333333333428,0.20245869590429433,1.0,0.008333333333333274,4.916666666666671
corrfreq,minus2,uncertain,120,9,0.7666666666666667,0.7833333333333333,0.016666666666666607,3,1,0.625,66.5,68.5,2.0,0.4362749288405292,1.0,0.008333333333333274,3.25
corrfreq,minus2,control,120,9,0.008333333333333333,0.016666666666666666,0.008333333333333333,1,0,1.0,76.79166666666667,75.54166666666667,-1.25,0.20000529271911371,1.0,0.008333333333333274,3.25
corrfreq,plus2,uncertain,120,9,0.7666666666666667,0.7583333333333333,-0.008333333333333415,2,3,1.0,66.5,68.0,1.5,0.7595928458631822,1.0,-0.016666666666666746,2.0
corrfreq,plus2,control,120,9,0.008333333333333333,0.016666666666666666,0.008333333333333333,1,0,1.0,76.79166666666667,76.29166666666667,-0.5,0.6082209420702409,1.0,-0.016666666666666746,2.0
entropy,mean,uncertain,120,20,0.7666666666666667,0.75,-0.01666666666666672,0,2,0.5,66.5,69.66666666666667,3.1666666666666714,0.04216819709715596,1.0,-0.01666666666666672,4.875000000000014
entropy,mean,control,120,20,0.008333333333333333,0.008333333333333333,0.0,0,0,1.0,76.79166666666667,75.08333333333333,-1.7083333333333428,0.07414989773822228,1.0,-0.01666666666666672,4.875000000000014
entropy,minus2,uncertain,120,20,0.7666666666666667,0.7666666666666667,0.0,1,1,1.0,66.5,68.54166666666667,2.0416666666666714,0.14932461032048971,1.0,0.0,3.7916666666666714
entropy,minus2,control,120,20,0.008333333333333333,0.008333333333333333,0.0,0,0,1.0,76.79166666666667,75.04166666666667,-1.75,0.11484960926328612,1.0,0.0,3.7916666666666714
entropy,plus2,uncertain,120,20,0.7666666666666667,0.75,-0.01666666666666672,0,2,0.5,66.5,68.58333333333333,2.0833333333333286,0.11183552183735439,1.0,-0.01666666666666672,3.0833333333333286
entropy,plus2,control,120,20,0.008333333333333333,0.008333333333333333,0.0,0,0,1.0,76.79166666666667,75.79166666666667,-1.0,0.10405923452892792,1.0,-0.01666666666666672,3.0833333333333286
freq,mean,uncertain,120,20,0.7666666666666667,0.7666666666666667,0.0,2,2,1.0,66.5,66.66666666666667,0.1666666666666714,0.878009231711079,1.0,0.0,1.8333333333333428
freq,mean,control,120,20,0.008333333333333333,0.008333333333333333,0.0,0,0,1.0,76.79166666666667,75.125,-1.6666666666666714,0.07783911077082932,1.0,0.0,1.8333333333333428
freq,minus2,uncertain,120,20,0.7666666666666667,0.7666666666666667,0.0,2,2,1.0,66.5,65.625,-0.875,0.5922445605654456,1.0,0.0,0.2916666666666714
freq,minus2,control,120,20,0.008333333333333333,0.008333333333333333,0.0,0,0,1.0,76.79166666666667,75.625,-1.1666666666666714,0.2059032107320684,1.0,0.0,0.2916666666666714
freq,plus2,uncertain,120,20,0.7666666666666667,0.7583333333333333,-0.008333333333333415,2,3,1.0,66.5,65.0,-1.5,0.28313087066234666,1.0,-0.008333333333333415,-0.2916666666666572
freq,plus2,control,120,20,0.008333333333333333,0.008333333333333333,0.0,0,0,1.0,76.79166666666667,75.58333333333333,-1.2083333333333428,0.1247727360437228,1.0,-0.008333333333333415,-0.2916666666666572
key,mean,uncertain,120,2,0.7666666666666667,0.7833333333333333,0.016666666666666607,4,2,0.6875,66.5,69.375,2.875,0.23491779237979493,1.0,0.016666666666666607,4.041666666666671
key,mean,control,120,2,0.008333333333333333,0.008333333333333333,0.0,0,0,1.0,76.79166666666667,75.625,-1.1666666666666714,0.09088878524572704,1.0,0.016666666666666607,4.041666666666671
key,minus2,uncertain,120,2,0.7666666666666667,0.7583333333333333,-0.008333333333333415,1,2,1.0,66.5,67.875,1.375,0.4385780260809998,1.0,-0.016666666666666746,2.0
key,minus2,control,120,2,0.008333333333333333,0.016666666666666666,0.008333333333333333,1,0,1.0,76.79166666666667,76.16666666666667,-0.625,0.523999076234716,1.0,-0.016666666666666746,2.0
key,plus2,uncertain,120,2,0.7666666666666667,0.7666666666666667,0.0,2,2,1.0,66.5,67.29166666666667,0.7916666666666714,0.8218886098085633,1.0,0.0,1.3750000000000142
key,plus2,control,120,2,0.008333333333333333,0.008333333333333333,0.0,0,0,1.0,76.79166666666667,76.20833333333333,-0.5833333333333428,0.15102615479062906,1.0,0.0,1.3750000000000142
random_ctrl_0,mean,uncertain,120,20,0.7666666666666667,0.775,0.008333333333333304,2,1,1.0,66.5,68.5,2.0,0.23366038889458673,1.0,0.008333333333333304,3.208333333333343
random_ctrl_0,mean,control,120,20,0.008333333333333333,0.008333333333333333,0.0,0,0,1.0,76.79166666666667,75.58333333333333,-1.2083333333333428,0.1355147945267819,1.0,0.008333333333333304,3.208333333333343
random_ctrl_0,minus2,uncertain,120,20,0.7666666666666667,0.775,0.008333333333333304,2,1,1.0,66.5,67.83333333333333,1.3333333333333286,0.29184054514378843,1.0,0.008333333333333304,2.7083333333333286
random_ctrl_0,minus2,control,120,20,0.008333333333333333,0.008333333333333333,0.0,0,0,1.0,76.79166666666667,75.41666666666667,-1.375,0.0782481864330958,1.0,0.008333333333333304,2.7083333333333286
random_ctrl_0,plus2,uncertain,120,20,0.7666666666666667,0.7583333333333333,-0.008333333333333415,1,2,1.0,66.5,68.29166666666667,1.7916666666666714,0.2924355944685362,1.0,-0.008333333333333415,3.083333333333343
random_ctrl_0,plus2,control,120,20,0.008333333333333333,0.008333333333333333,0.0,0,0,1.0,76.79166666666667,75.5,-1.2916666666666714,0.10474021664717921,1.0,-0.008333333333333415,3.083333333333343
random_ctrl_1,mean,uncertain,120,20,0.7666666666666667,0.775,0.008333333333333304,1,0,1.0,66.5,68.58333333333333,2.0833333333333286,0.07961580146011343,1.0,-2.949029909160572e-17,2.8333333333333286
random_ctrl_1,mean,control,120,20,0.008333333333333333,0.016666666666666666,0.008333333333333333,1,0,1.0,76.79166666666667,76.04166666666667,-0.75,0.44277087398776793,1.0,-2.949029909160572e-17,2.8333333333333286
random_ctrl_1,minus2,uncertain,120,20,0.7666666666666667,0.75,-0.01666666666666672,1,3,0.625,66.5,69.91666666666667,3.4166666666666714,0.041785168403922095,1.0,-0.02500000000000005,4.375000000000014
random_ctrl_1,minus2,control,120,20,0.008333333333333333,0.016666666666666666,0.008333333333333333,1,0,1.0,76.79166666666667,75.83333333333333,-0.9583333333333428,0.3034836640248423,1.0,-0.02500000000000005,4.375000000000014
random_ctrl_1,plus2,uncertain,120,20,0.7666666666666667,0.7583333333333333,-0.008333333333333415,0,1,1.0,66.5,68.29166666666667,1.7916666666666714,0.09259159575022993,1.0,-0.016666666666666746,2.1666666666666714
random_ctrl_1,plus2,control,120,20,0.008333333333333333,0.016666666666666666,0.008333333333333333,1,0,1.0,76.79166666666667,76.41666666666667,-0.375,0.5879367461735663,1.0,-0.016666666666666746,2.1666666666666714
