run,neuron_id,category,is_candidate,n_unc,n_ctrl,unc_mean,unc_dz,unc_p,unc_work_mean,unc_work_p,unc_held_mean,unc_held_p,ctrl_mean,ctrl_p,mean_abs_shift,interaction,interaction_t,interaction_p,slope,slope_p,slope_r,unc_p_fdr,ctrl_p_fdr,interaction_p_fdr,slope_p_fdr,unc_held_p_fdr
ablation_bf16_keyset_pooled,L20_N11087,ambiguity,False,120,120,-0.0004502069515486524,-0.01756758502110372,0.8487575621218939,0.0009382402169562524,0.7189140542972852,-0.0036899170113934305,0.47707614619269034,0.003325780853629115,0.1966901654917254,0.015053725894540498,-0.003775987805177767,-1.085150505407645,0.2813718628137186,0.052702335611804436,0.43107829611029624,0.0725391977288243,False,False,False,False,False
ablation_bf16_keyset_pooled,L20_N11087,contradictory_context,False,120,120,-0.0031375550044079655,-0.13693392960734938,0.13794310284485775,-0.0033781123569323977,0.18594070296485177,-0.0025762545151842885,0.528523573821309,-0.002363919210620227,0.2604869756512174,0.012009640317410189,-0.0007736357937877386,-0.26374448632137526,0.7892210778922107,-0.05072992450386527,0.4380595617071499,-0.07144808189130289,False,False,False,False,False
ablation_bf16_keyset_pooled,L20_N11087,lack_of_knowledge,False,120,120,-0.0017668068408966042,-0.09751441854202783,0.2890855457227139,-0.002854284786042711,0.13799310034498274,0.0007706416977776454,0.8458077096145192,0.0025518608279526244,0.25888705564721765,0.011609907944997106,-0.004318667668849229,-1.5494164768842609,0.11768823117688232,-0.06145889542165503,0.4376150585363663,-0.07151725771343735,False,False,False,False,False
ablation_bf16_keyset_pooled,L20_N409,ambiguity,False,120,120,0.0012678123389681148,0.05065317497636745,0.5823208839558022,0.0027579949902636646,0.2656867156642168,-0.002209280514054834,0.671816409179541,0.0030169056107600483,0.24503774811259438,0.014583734609186601,-0.0017490932717919335,-0.510822373462097,0.6120387961203879,-0.012698961985979989,0.6543152182069105,-0.04129087305280896,False,False,False,False,False
ablation_bf16_keyset_pooled,L20_N409,contradictory_context,False,120,120,-0.0033990701350072993,-0.1453602118920229,0.11634418279086045,-0.004969389976135312,0.044947752612369385,0.0002650094942913994,0.9533523323833808,0.001934920678225648,0.3386330683465827,0.012605778283129093,-0.005333990813232947,-1.8344204195207388,0.0643935606439356,0.04697302487136124,0.2999985713759124,0.0953957990899591,False,False,False,False,False
ablation_bf16_keyset_pooled,L20_N409,lack_of_knowledge,False,120,120,0.002762233217557274,0.1077369742694029,0.24268786560671968,0.0026167233784993543,0.38503074846257684,0.0031017561753590894,0.4168291585420729,0.0006997372334202054,0.7629618519074046,0.01534690956274664,0.002062495984137069,0.6259098437089768,0.5398460153984601,-0.09747940990543517,0.034231563441035805,-0.19348003138872308,False,False,False,False,False
ablation_bf16_keyset_pooled,L20_N5595,ambiguity,True,120,120,-0.0007453859473268217,-0.02856479744160905,0.7551122443877806,0.0005419973638795626,0.8297585120743963,-0.003749280340141717,0.49687515624218787,0.004859108477830889,0.09144542772861357,0.015445063573618686,-0.00560449442515771,-1.505679938837375,0.13438656134386562,-0.005136396978809401,0.7757214729984402,-0.026278167343451196,False,False,False,False,False
ablation_bf16_keyset_pooled,L20_N5595,contradictory_context,True,120,120,-0.002288120177884895,-0.08918247494799167,0.3322833858307085,-0.0029409343288058294,0.28028598570071495,-0.0007648871590693852,0.8761061946902655,-0.005787487813116359,0.0263986800659967,0.015385497237245197,0.003499367635231464,1.00110717063608,0.3120687931206879,0.009356251237162161,0.46147217065548907,0.06785881503837021,False,False,False,False,False
ablation_bf16_keyset_pooled,L20_N5595,lack_of_knowledge,True,120,120,-0.002140793204307545,-0.11227601830846043,0.22188890555472227,-0.0034720869291396195,0.1272936353182341,0.0009655588203006278,0.7065146742662867,-0.0019140736199915371,0.3633318334083296,0.012462831536928764,-0.00022671958431600791,-0.08329896686558376,0.938006199380062,0.02815717035790549,0.4582052330722435,0.06835345603942132,False,False,False,False,False
ablation_bf16_keyset_pooled,L20_N9674,ambiguity,False,120,120,0.0017342784131566585,0.07539751511027727,0.416079196040198,0.002095008268952357,0.3319334033298335,0.0008925754163000293,0.8613569321533924,0.006561723103125876,0.004149792510374482,0.013150813865164871,-0.004827444689969217,-1.5582700671083682,0.12218778122187782,0.03903757903579132,0.6571571822487745,0.04092841023332278,False,False,False,False,False
ablation_bf16_keyset_pooled,L20_N9674,contradictory_context,False,120,120,-0.003573587319503233,-0.1434632773490009,0.11869406529673517,-0.0031715925516826804,0.27233638318084097,-0.004511575111084523,0.22528873556322185,-0.0017058329501499737,0.47897605119744013,0.013388665051509896,-0.0018677543693532592,-0.5698272578965765,0.5735426457354265,-0.12414911885217254,0.14055502572743508,-0.13532905707491644,False,False,False,False,False
ablation_bf16_keyset_pooled,L20_N9674,lack_of_knowledge,False,120,120,-2.597868442535863e-05,-0.0013913934304700295,0.9874506274686266,0.00041907599994113915,0.8563071846407679,-0.0010644396146138528,0.6257187140642968,0.00035959732097883994,0.8829558522073896,0.01221932868162786,-0.00038557600540419857,-0.1324250543574677,0.8891110888911109,0.08465402065097387,0.4492770757738165,0.0697153220829639,False,False,False,False,False
ablation_bf16_keyset_pooled,L29_N13925,ambiguity,True,120,120,0.003444542363286016,0.14993269881208962,0.1016949152542373,0.0031826928967521296,0.22683865806709663,0.004055524451865083,0.2687865606719664,0.0027257015307744314,0.1584420778961052,0.011003657554586679,0.0007188408325115845,0.2524650758333707,0.8042195780421958,0.004986015658458137,0.8779674401718784,0.014164354997270475,False,False,False,False,False
ablation_bf16_keyset_pooled,L29_N13925,contradictory_context,True,120,120,9.611342102289315e-05,0.006011335467261374,0.9469026548672567,0.0014810694736384184,0.26603669816509173,-0.003135450701746666,0.4270286485675716,-0.00271249572591236,0.09794510274486276,0.007286483546098034,0.002808609146935253,1.2875853159566637,0.19568043195680432,-0.05190268238484866,0.014109989034900535,-0.2235562357197221,False,False,False,False,False
ablation_bf16_keyset_pooled,L29_N13925,lack_of_knowledge,True,120,120,-0.001557935277620945,-0.09822219770441393,0.29218539073046346,-0.0012641449769337952,0.4875256237188141,-0.002243445979224297,0.3750812459377031,-0.0003771731164306413,0.8100094995250238,0.00957468450069423,-0.0011807621611903036,-0.5673065229887492,0.5642435756424358,-0.008596656192497144,0.7722025152340988,-0.026701942411431347,False,False,False,False,False
ablation_bf16_keyset_pooled,L29_N2286,ambiguity,False,120,120,0.001153470637897649,0.05171863991733902,0.5822708864556773,0.0024097145845492648,0.3161341932903355,-0.0017777652376227892,0.7849107544622769,-0.000528441121180847,0.7886605669716514,0.009427446934084049,0.001681911759078496,0.5977930233027838,0.5548445155484452,0.03923298596693569,0.2536872047423258,0.10500941748785105,False,False,False,False,False
