neuron_id,working_mean_shift,working_p,working_n,heldout_mean_shift,heldout_p,heldout_n,replicates
L30_N5509,-0.0030700343971451125,0.4403860604599851,84,0.001641323169072469,0.6468730494088959,36,False
L29_N9228,-0.0026203865362774757,0.015833132887096816,84,0.00018385094073083665,0.4696585594501812,36,False
L26_N11322,-0.00089864344114349,0.003537623226996193,84,0.0010476580096615686,0.5290791585575789,36,False
L29_N10092,-0.0023989613123592875,0.06747324853856149,84,0.00013877823948860168,0.46011761703994125,36,False
L30_N7102,-0.004842644912146386,0.5265453518090609,84,-0.0036437283787462446,0.4890561629727017,36,False
L24_N7891,-0.0020036823337986356,0.239043398106203,84,-0.0028621016277207267,0.26481863399385475,36,False
L30_N13513,-0.0015072190158423922,0.3473161611887059,84,-0.0014767414993709987,0.9814318742428441,36,False
L30_N6621,-0.0027329283988191968,0.029195915101862792,84,-0.000541823191775216,0.2927546169667039,36,False
L30_N3533,-0.001851188905891918,4.2385625087299184e-05,84,0.002458689113457998,0.14834691344148945,36,False
L29_N11308,-0.002539028502291157,0.43511956911494554,84,-0.0023324410948488447,0.2515454127569683,36,False
L29_N10191,-0.003949164168997889,0.009321014958461852,84,-0.0004786708288722568,0.36241441484889947,36,False
L31_N2477,-0.009467845915683679,1.774113572631219e-08,84,-0.007456175155109829,0.001737168204272166,36,True
L29_N8568,-0.0029665683174417133,0.8381143489031855,84,-0.00361959222290251,0.03775702390703373,36,False
L26_N2788,-0.002837088757327625,0.33093542829325284,84,0.00497276128994094,0.05987912529963069,36,False
L23_N12156,-0.00500839004026992,0.1681813206489906,84,-0.002894630448685752,0.969057968002744,36,False
