neuron_id,wilcoxon_stat,p_value,significant_at_0.01
L23_N12156,697.5,0.02169379820482176,False
L24_N7891,625.0,0.03223746700878553,False
L26_N11322,793.0,0.139417325800535,False
L26_N2788,1035.5,0.9759155590612721,False
L29_N10092,594.0,0.006998674419910772,True
L29_N10191,586.5,0.47171019827130045,False
L29_N11308,644.5,0.5280778718503678,False
L29_N8568,400.0,0.005131738720476444,True
L29_N9228,1123.0,0.21028557814055426,False
L30_N13513,208.5,0.845234056024972,False
L30_N3533,338.0,0.6356628573009309,False
L30_N5509,214.0,0.9394586894194585,False
L30_N6621,1036.5,0.08375729479598919,False
L30_N7102,257.5,0.15450638367180283,False
L31_N2477,1226.5,0.027607092931284674,False
