neuron_id,category,n_candidate,n_control,candidate_mean_shift,control_mean_shift,diff_signed,welch_t,welch_p_two_sided,perm_p_two_sided,mean_source,significant_fdr
L20_N1001,ambiguity,120,120,-0.0011444056406617032,0.0035363748359183394,-0.004680780476580043,-1.4063395523044648,0.16096732425792978,0.1566843315668433,uncertain_prompt_mean (assumed; schema v3 has no column),False
L20_N1001,contradictory_context,120,120,-0.002507737325504426,-0.0027020813540730207,0.0001943440285685949,0.07107749888867416,0.9433957656379486,0.946905309469053,uncertain_prompt_mean (assumed; schema v3 has no column),False
L20_N1001,lack_of_knowledge,120,120,0.003485961258411401,0.0014751703788836788,0.002010790879527722,0.673871970443599,0.5010549850787976,0.505949405059494,uncertain_prompt_mean (assumed; schema v3 has no column),False
L20_N12894,ambiguity,120,120,0.0011412988106409665,-0.0010523712572952136,0.00219367006793618,0.6145221431968466,0.5394593310771718,0.545945405459454,uncertain_prompt_mean (assumed; schema v3 has no column),False
L20_N12894,contradictory_context,120,120,-0.0012683947104960654,-0.0007420389136920328,-0.0005263557968040325,-0.22487842941118658,0.8222751976628656,0.8276172382761724,uncertain_prompt_mean (assumed; schema v3 has no column),False
L20_N12894,lack_of_knowledge,120,120,0.0003986005981763168,-0.00021467609331012142,0.0006132766914864383,0.1857341549203201,0.8528125451812132,0.8615138486151385,uncertain_prompt_mean (assumed; schema v3 has no column),False
L20_N1399,ambiguity,120,120,0.0008451263109842897,0.0035587883243958086,-0.002713662013411519,-0.6675185638884226,0.5051264549923249,0.5109489051094891,uncertain_prompt_mean (assumed; schema v3 has no column),False
L20_N1399,contradictory_context,120,120,-0.00046879973572989584,0.0026884910439548397,-0.0031572907796847353,-1.4585535278342616,0.14605274391428408,0.14908509149085092,uncertain_prompt_mean (assumed; schema v3 has no column),False
L20_N1399,lack_of_knowledge,120,120,0.0020801469683647167,-0.002704524435102934,0.004784671403467651,1.4802866461027548,0.1402493800396162,0.1371862813718628,uncertain_prompt_mean (assumed; schema v3 has no column),False
L20_N2742,ambiguity,120,120,-0.002076282848914465,-0.003923895054807265,0.0018476122058928,0.5673495498167984,0.5710152296383441,0.5737426257374263,uncertain_prompt_mean (assumed; schema v3 has no column),False
L20_N2742,contradictory_context,120,120,-0.002307207059736056,-0.0020568358590632376,-0.0002503712006728183,-0.10244315204752559,0.9184912476799623,0.9224077592240776,uncertain_prompt_mean (assumed; schema v3 has no column),False
L20_N2742,lack_of_knowledge,120,120,0.002651498218377431,-0.004872147863109905,0.007523646081487336,2.053084161094765,0.04117990280536618,0.0415958404159584,uncertain_prompt_mean (assumed; schema v3 has no column),False
L20_N4769,ambiguity,120,120,-0.0018203868220249793,-0.0009658347504834334,-0.000854552071541546,-0.23917823941878,0.8111782415471371,0.8125187481251874,uncertain_prompt_mean (assumed; schema v3 has no column),False
L20_N4769,contradictory_context,120,120,-0.0016921532961229507,0.00046448553960848186,-0.0021566388357314326,-0.8806649870468435,0.379401940138663,0.386961303869613,uncertain_prompt_mean (assumed; schema v3 has no column),False
L20_N4769,lack_of_knowledge,120,120,0.001175352931022646,0.0013571579319735393,-0.00018180500095089317,-0.0581560511579794,0.9536731952360983,0.9545045495450455,uncertain_prompt_mean (assumed; schema v3 has no column),False
L20_N5595,ambiguity,120,120,0.002962168430288629,0.003143490478396407,-0.000181322048107778,-0.04534021493177929,0.9638779313175746,0.9628037196280372,uncertain_prompt_mean (assumed; schema v3 has no column),False
L20_N5595,contradictory_context,120,120,-0.001117168149600426,-0.0010545750670038017,-6.259308259662431e-05,-0.028360938199139485,0.9773980451588566,0.9762023797620238,uncertain_prompt_mean (assumed; schema v3 has no column),False
