Frequency-neuron causal test
unigram: /marimo/repo/results/unigram_logfreq_43be1456fdd4.npy

Weight-space freq_corr vs causal slope [raw d_elogu] across 72 candidates: Pearson r=0.018 (p=0.88), Spearman rho=0.163 (p=0.17); sign agreement among FREQ-NEURON-LIKE 0.64
Weight-space freq_corr vs causal slope [d_elogu BEYOND temperature-matched baseline] across 72 candidates: Pearson r=0.014 (p=0.9), Spearman rho=0.221 (p=0.062); sign agreement among FREQ-NEURON-LIKE 0.73
|causal elogu slope| per sigma: FREQ-NEURON-LIKE (n=11) 0.0027 | other candidates (n=56) 0.0051 | random controls (n=10) 0.0009
sign agreement (weight score vs causal slope) among FREQ-NEURON-LIKE: 0.64

 neuron_id  is_candidate  freq_corr  abs_freq_corr_pctile  d_elogu_beyond_temp_slope_per_sigma  d_elogu_beyond_temp_slope_p  d_elogu_slope_per_sigma  d_elogu_slope_p  d_kl_slope_per_sigma  d_kl_slope_p  d_entropy_slope_per_sigma  d_elogu_mean_ablation  d_elogu_mean_ablation_p
  L31_N271          True  -0.007147                   7.2                              -0.1876                       0.0002                  -0.1793           0.0002                0.3161        0.0002                    -0.1368               -0.02461                   0.1934
 L29_N7731          True     -0.072                  62.9                              0.01599                       0.0002                   0.0152           0.0002              -0.02637        0.0002                    0.01117              -0.001331                   0.7295
 L21_N9298          True    0.01185                  12.3                               0.0142                       0.0002                  0.01368           0.0002              -0.02489        0.0002                    0.01122              -0.007363                  0.03959
L31_N12032          True    -0.0453                  41.9                              0.01005                       0.0002                 0.009718           0.0002              -0.01715        0.0002                   0.007435              -0.002157                   0.2607
 L31_N9678          True     -0.433                  99.8                            -0.009349                       0.0002                -0.009774           0.0002              0.008643        0.0002                    0.00113               0.001732                    0.198
L31_N13189          True    -0.1547                  92.8                             0.009186                       0.0002                 0.008562           0.0002              -0.01443        0.0002                   0.005866             -0.0005174                   0.7956
 L23_N9479          True    -0.1885                  96.5                             0.006711                       0.0002                 0.007008           0.0002             -0.005605        0.0002                  -0.001402              -0.004155                    0.244
 L22_N9335          True    -0.1118                  81.5                             0.004487                       0.0002                 0.004543           0.0002             -0.007171        0.0002                   0.002628              -0.007088                  0.03119
 L29_N8335          True    -0.1236                  85.4                             0.004116                       0.0002                 0.003518           0.0002             -0.006672        0.0002                   0.003153              -0.005497                  0.04719
L23_N12156          True   -0.02259                  23.2                             0.003987                       0.0002                 0.004029           0.0002             -0.004534        0.0016                  0.0005049              -0.007095                  0.03679
L31_N13812          True    -0.6338                   100                            -0.003795                       0.0002                -0.004807           0.0002             0.0001043        0.9164                   0.004703             -0.0007244                   0.6485
 L31_N2477          True     0.4164                  99.8                             0.003092                       0.0016                 0.001134           0.2999             -0.008731        0.0002                   0.007597              -0.001342                   0.6737
