neuron_id,is_candidate,n_prompts,d_elogu_slope_per_sigma,d_elogu_slope_p,d_elogu_mean_ablation,d_elogu_mean_ablation_p,d_elogu_beyond_temp_slope_per_sigma,d_elogu_beyond_temp_slope_p,d_elogu_beyond_temp_mean_ablation,d_elogu_beyond_temp_mean_ablation_p,d_kl_slope_per_sigma,d_kl_slope_p,d_kl_mean_ablation,d_kl_mean_ablation_p,d_entropy_slope_per_sigma,d_entropy_slope_p,d_entropy_mean_ablation,d_entropy_mean_ablation_p,freq_corr,abs_freq_corr_pctile
L20_N1001,True,120,8.869568506876634e-05,0.6992601479704059,0.00013794104258219402,0.9042191561687662,7.5399875640869e-06,0.9592081583683263,-6.957054138183594e-05,0.9434113177364527,-0.00041079123814900695,0.6704659068186363,0.0008690396944681804,0.7986402719456108,0.0003220786340534686,0.714257148570286,-0.001007138192653656,0.7560487902419516,-0.0265611857175827,27.4
L20_N10638,True,120,0.00032572944959004713,0.27814437112577484,0.0012557824452718099,0.22115576884623075,0.0003940820693969727,0.052789442111577684,0.0004929224650065104,0.4953009398120376,-0.0011961221694946284,0.2509498100379924,-0.0016886393229166667,0.6972605478904219,0.0008703782533605893,0.33773245350929815,0.00043268737693627675,0.9082183563287343,0.0764406993985176,65.7
L20_N10757,True,120,0.0001390735308329264,0.6082783443311338,0.0016869703928629558,0.07698460307938412,6.457964579264326e-05,0.788242351529694,0.0007206598917643229,0.39272145570885825,-0.0010832200447718299,0.19916016796640673,-0.00010741551717122396,0.9722055588882224,0.0009441562307377655,0.20715856828634274,-0.0015797134488821029,0.5992801439712058,0.0177911259233951,18.9
L20_N12149,False,120,9.128053983052569e-05,0.7350529894021196,-0.0005646228790283203,0.6082783443311338,7.58250554402669e-05,0.7084583083383323,-0.0006553173065185547,0.4325134973005399,-0.00021221737066904738,0.7996400719856028,0.0004599809646606445,0.8950209958008398,0.00012106246625383695,0.8650269946010798,0.00010439467926820119,0.976004799040192,,
L20_N12270,True,120,-2.586841583251953e-05,0.8898220355928814,0.001230470339457194,0.20515896820635873,6.000200907389901e-07,0.9984003199360127,0.0006477832794189453,0.3703259348130374,-0.0002761115630467734,0.7668466306738653,-0.0026316086451212565,0.496500699860028,0.00030194499219457325,0.7136572685462907,0.0014010452975829442,0.6796640671865627,0.1418596655130386,90.6
L20_N12894,True,120,0.0003270884354909261,0.2559488102379524,0.000635528564453125,0.5758848230353929,0.00039632320404052733,0.07738452309538092,0.00018193721771240235,0.8326334733053389,-0.00011580884456634505,0.8848230353929214,0.001403506596883138,0.7318536292741452,-0.00021120449528098088,0.7830433913217356,-0.0020391487826903663,0.5770845830833833,-0.0076043563894927,7.7
L20_N1399,True,120,-9.598533312479652e-05,0.6800639872025595,0.0019337097803751627,0.04079184163167367,-0.00010945200920104977,0.5374925014997001,0.0009673198064168294,0.1829634073185363,-0.000287290414174398,0.7550489902019596,-0.0005617658297220866,0.8678264347130574,0.0003831895689169566,0.6196760647870426,-0.0013720255345106124,0.6574685062987402,0.0485725291073322,44.8
L20_N2742,True,120,0.0003450194994608561,0.11257748450309939,-0.00038144588470458987,0.6662667466506699,0.00023594299952189128,0.14597080583883223,-0.00018816788991292318,0.8032393521295741,-0.0007228732109069822,0.29214157168566285,0.0029271443684895835,0.40431913617276544,0.00037782881408929844,0.5946810637872425,-0.0025458982835213344,0.40871825634873027,0.1176520064473152,83.5
L20_N3833,True,120,0.00033899744351704905,0.13517296540691862,0.00042722225189208987,0.672865426914617,0.00029741724332173664,0.05638872225554889,0.00029439926147460936,0.6772645470905819,-0.0009954641262690225,0.2975404919016197,0.0001397411028544108,0.9722055588882224,0.0006564836638669173,0.4323135372925415,-0.000566956028342247,0.8460307938412317,-0.0225296393036842,23.1
L20_N4253,True,120,0.00020174185434977207,0.5236952609478105,0.001347502072652181,0.16576684663067387,0.00016496181488037114,0.506498700259948,0.0003082911173502604,0.650869826034793,8.085270722707124e-05,0.9362127574485103,0.00024067958196004232,0.9478104379124175,-0.000282650596151749,0.739252149570086,-0.0015882077316443125,0.6454709058188363,-0.2612478733062744,99.5
L20_N4769,True,120,-0.0004974722862243653,0.05578884223155369,0.000590062141418457,0.5956808638272345,-0.00028570294380187984,0.13697260547890422,0.00013287067413330077,0.885622875424915,-0.00017072061697641998,0.826634673065387,-0.001360607147216797,0.7084583083383323,0.0006681379241247972,0.3707258548290342,0.0007702911893526713,0.8032393521295741,0.1253014802932739,85.8
L20_N488,False,120,3.9486090342203805e-05,0.8670265946810638,0.0015290498733520508,0.1843631273745251,0.0001018007596333822,0.5930813837232554,0.0006633202234903971,0.488502299540092,-0.00041649540265401204,0.6898620275944811,-0.0006772279739379883,0.8700259948010398,0.00037698301797111825,0.6622675464907019,-0.0008521214127540589,0.8116376724655069,,
L20_N5554,True,120,0.000491108496983846,0.05818836232753449,0.0024382829666137694,0.01879624075184963,0.00031046072642008465,0.16716656668666266,0.0010768095652262369,0.1749650069986003,-0.0005709340174992877,0.5122975404919016,-0.0017427961031595866,0.6290741851629674,7.974241549770044e-05,0.9184163167366527,-0.0006956263134876887,0.8206358728254349,-0.0193654578179121,20.200000000000003
L20_N5595,True,120,0.0006282389163970946,0.055188962207558485,0.0016500234603881836,0.11417716456708658,0.0006637752056121825,0.017196560687862426,0.0005751291910807292,0.4809038192361528,4.2423605918884216e-05,0.9636072785442912,-0.006141054630279541,0.11357728454309138,-0.0006706863331298035,0.3743251349730054,0.004490975414713224,0.1951609678064387,0.1713341474533081,95.1
L20_N9252,True,120,-0.0006999194622039794,0.007598480303939212,0.0008932669957478841,0.37252549490101977,-0.000520422061284383,0.014397120575884824,4.596710205078125e-05,0.9424115176964607,-0.0006225705146789549,0.5092981403719257,-0.0009123802185058594,0.824635072985403,0.0013225560076534745,0.14257148570285944,1.9176925222078958e-05,0.9952009598080384,-0.1448102742433548,90.7
L21_N10092,True,120,0.00014433066050211586,0.636872625474905,0.0019243717193603515,0.09238152369526095,0.000139687458674113,0.5616876624675065,0.0009002208709716797,0.30293941211757647,0.0013661106427510581,0.15916816636672665,-0.0017598271369934082,0.6716656668666267,-0.0015103623270988462,0.059988002399520096,-0.00016459984083970388,0.9602079584083183,0.0353046059608459,34.1
L21_N12508,True,120,0.00020209948221842447,0.47190561887622473,0.001578378677368164,0.11097780443911218,0.00023680925369262693,0.23995200959808038,0.0005134105682373047,0.5008998200359928,0.0003742516040802002,0.7012597480503899,-0.003437217076619466,0.3609278144371126,-0.0005763987079262732,0.5098980203959208,0.0018587888528903325,0.5778844231153769,-0.137319728732109,89.4
L21_N3481,True,120,-0.00018363992373148595,0.5062987402519497,0.0014770984649658202,0.1951609678064387,-0.00037311712900797527,0.03179364127174565,0.0005242268244425456,0.5844831033793242,0.009843775629997253,0.0001999600079984003,-0.001821279525756836,0.614877024595081,-0.00966024361550808,0.0001999600079984003,0.0003438267856836319,0.9186162767446511,-0.0254455916583538,26.0
