Frequency-neuron causal test
unigram: /marimo/repo/results/unigram_logfreq_43be1456fdd4.npy

Weight-space freq_corr vs causal slope [raw d_elogu] across 72 candidates: Pearson r=0.387 (p=0.00078), Spearman rho=0.186 (p=0.12); sign agreement among FREQ-NEURON-LIKE 0.73
Weight-space freq_corr vs causal slope [d_elogu BEYOND temperature-matched baseline] across 72 candidates: Pearson r=0.363 (p=0.0017), Spearman rho=0.175 (p=0.14); sign agreement among FREQ-NEURON-LIKE 0.82
|causal elogu slope| per sigma: FREQ-NEURON-LIKE (n=11) 0.0008 | other candidates (n=56) 0.0004 | random controls (n=10) 0.0002
sign agreement (weight score vs causal slope) among FREQ-NEURON-LIKE: 0.73

 neuron_id  is_candidate  freq_corr  abs_freq_corr_pctile  d_elogu_beyond_temp_slope_per_sigma  d_elogu_beyond_temp_slope_p  d_elogu_slope_per_sigma  d_elogu_slope_p  d_kl_slope_per_sigma  d_kl_slope_p  d_entropy_slope_per_sigma  d_elogu_mean_ablation  d_elogu_mean_ablation_p
 L31_N9678          True     -0.433                  99.8                            -0.002811                       0.0002                -0.002846           0.0002              0.005369        0.0002                  -0.002523               0.001787                  0.03159
L29_N13254          True    0.07801                  66.6                             0.002044                       0.0002                 0.002423           0.0002             -0.007737        0.0002                   0.005313               0.003982                   0.0002
  L26_N783          True     0.1003                  78.6                            -0.001134                       0.0002                -0.001175         0.005199                0.0103        0.0002                  -0.009127             -0.0005525                   0.6619
L30_N10312          True    -0.0868                  71.9                             0.001042                       0.0002                  0.00118        0.0005999            -0.0005213        0.6113                 -0.0006585              0.0003418                   0.6935
 L31_N2477          True     0.4164                  99.8                            0.0009042                       0.0002                 0.001573           0.0002              -0.01634        0.0002                    0.01477             -0.0007984                   0.2713
L31_N13189          True    -0.1547                  92.8                            0.0008927                       0.0002                  0.00121           0.0002                0.0016       0.05699                   -0.00281              0.0005684                   0.5531
L31_N13812          True    -0.6338                   100                           -0.0008876                       0.0002               -0.0009016           0.0002              0.001635        0.0002                 -0.0007332              0.0005125                   0.6285
 L31_N6772          True    -0.0376                  35.7                            0.0008871                       0.0002                0.0006481        0.0005999             -0.003229        0.0002                    0.00258              0.0006529                  0.08798
L31_N12850          True    -0.6445                   100                           -0.0008669                       0.0002               -0.0007904           0.0002              0.001218      0.007598                 -0.0004274               -7.3e-05                   0.6677
  L30_N236          True  -0.002084                     2                           -0.0007299                       0.0002                -0.000776           0.0022              0.005951        0.0002                  -0.005175              0.0004093                   0.4819
