neuron_id,is_candidate,n_prompts,d_elogu_slope_per_sigma,d_elogu_slope_p,d_elogu_mean_ablation,d_elogu_mean_ablation_p,d_elogu_beyond_temp_slope_per_sigma,d_elogu_beyond_temp_slope_p,d_elogu_beyond_temp_mean_ablation,d_elogu_beyond_temp_mean_ablation_p,d_kl_slope_per_sigma,d_kl_slope_p,d_kl_mean_ablation,d_kl_mean_ablation_p,d_entropy_slope_per_sigma,d_entropy_slope_p,d_entropy_mean_ablation,d_entropy_mean_ablation_p,freq_corr,abs_freq_corr_pctile
L20_N1001,True,120,-0.0004026095072428387,0.6192761447710458,0.0018642822901407878,0.42351529694061185,-0.0004910290241241454,0.49870025994801037,0.0016701300938924155,0.4377124575084983,7.121364275614456e-05,0.9582083583283343,-0.0015907963116963705,0.7260547890421916,0.00033146937688191753,0.6940611877624475,-0.00027351975440979,0.9252149570085982,-0.0265611857175827,27.4
L20_N10638,True,120,0.00013494491577148462,0.8508298340331933,0.004145201047261556,0.1201759648070386,0.00012179811795552572,0.8550289942011597,0.003735796610514323,0.1297740451909618,0.0018652588129043578,0.10657868426314737,-0.006578711668650309,0.19616076784643072,-0.0020001918077468873,0.0021995600879824036,0.002433576186498006,0.4491101779644071,0.0764406993985176,65.7
L20_N10757,True,120,-0.0018649518489837643,0.00599880023995201,0.00025436083475748695,0.9286142771445711,-0.0015671690305074056,0.013597280543891222,0.0002376397450764974,0.9244151169766047,0.004146214326222738,0.0013997200559888023,-0.00021619002024332682,0.967006598680264,-0.002281240622202555,0.0033993201359728054,-3.813306490580241e-05,0.991001799640072,0.0177911259233951,18.9
L20_N12149,False,120,-0.0003196835517883302,0.6830633873225355,-0.001484227180480957,0.5722855428914218,-0.0004217386245727537,0.5612877424515097,-0.001606583595275879,0.5022995400919816,0.00046252012252807597,0.74125174965007,-0.003977227210998535,0.4241151769646071,-0.00014276901880900088,0.8758248350329934,0.005461541811625162,0.06958608278344332,,
L20_N12270,True,120,-0.001356343428293864,0.05398920215956809,-0.00020804405212402344,0.936612677464507,-0.001090043783187866,0.12297540491901619,-0.0004345496495564779,0.8728254349130175,0.0023312995831171663,0.05338932213557288,-0.0017479976018269856,0.6980603879224155,-0.0009749700625737508,0.21695660867826436,0.0019561549027760825,0.5138972205558888,0.1418596655130386,90.6
L20_N12894,True,120,0.00119745930035909,0.07838432313537293,-0.0027169386545817056,0.3093381323735253,0.0009645084540049235,0.14757048590281943,-0.0027373631795247397,0.2803439312137572,-0.002720564603805542,0.04519096180763847,0.0038359483083089192,0.4349130173965207,0.0015231182177861532,0.07738452309538092,-0.0011188844839731852,0.7194561087782444,-0.0076043563894927,7.7
L20_N1399,True,120,1.5721718470255706e-05,0.9828034393121375,0.0025804678599039713,0.3109378124375125,3.601312637329093e-05,0.9618076384723055,0.002905400594075521,0.21375724855028994,0.00029623409112294506,0.8332333533293341,-0.0032516241073608397,0.41291741651669667,-0.0003119736909866334,0.709258148370326,0.0006710966428120931,0.7848430313937212,0.0485725291073322,44.8
L20_N2742,True,120,0.0006593585014343263,0.41871625674865026,-0.0006325085957845052,0.8260347930413917,0.0007864534854888916,0.32793441311737653,0.0004465659459431966,0.858628274345131,-0.00031572580337524485,0.8196360727854429,3.949801127115885e-05,0.99500099980004,-0.0003436302145322164,0.6672665466906619,0.0005929370721181234,0.8530293941211757,0.1176520064473152,83.5
L20_N3833,True,120,0.0009129424889882406,0.21055788842231554,0.0021932204564412434,0.47470505898820237,0.0008754193782806393,0.21015796840631873,0.002127416928609212,0.46010797840431916,-0.002464245756467183,0.028994201159768047,-0.006785734494527181,0.19956008798240352,0.0015512759486834206,0.020795840831833633,0.004592474301656087,0.14637072585482905,-0.0225296393036842,23.1
L20_N4253,True,120,0.0012463311354319255,0.09078184363127374,-0.0019537687301635744,0.44931013797240554,0.0010935803254445394,0.1205758848230354,-0.0023203929265340167,0.33473305338932213,-0.0003955592711766567,0.7608478304339132,0.0027535279591878255,0.5098980203959208,-0.0008507132530212401,0.2903419316136773,-0.0007996718088785807,0.7608478304339132,-0.2612478733062744,99.5
L20_N4769,True,120,0.00022790233294169127,0.759248150369926,-0.00012652079264322916,0.9614077184563088,0.00046725670496622714,0.5018996200759848,-0.0006899515787760417,0.7718456308738252,-0.0009615431229273476,0.49350129974005197,-0.004188275337219239,0.3499300139972006,0.000733641783396403,0.3825234953009398,0.004315018653869629,0.1267746450709858,0.1253014802932739,85.8
L20_N488,False,120,0.0011486649513244628,0.13457308538292342,-0.0031176010767618814,0.27894421115776846,0.0013881544272104898,0.060787842431513694,-0.0032323916753133138,0.19196160767846432,-0.0006279021501541135,0.6808638272345531,0.004464423656463623,0.44211157768446313,-0.0005207528670628862,0.592881423715257,-0.0013468762238820393,0.7116576684663067,,
