Frequency-neuron causal test
unigram: /marimo/repo/results/unigram_logfreq_43be1456fdd4.npy

Weight-space freq_corr vs causal slope [raw d_elogu] across 72 candidates: Pearson r=0.023 (p=0.84), Spearman rho=0.057 (p=0.63); sign agreement among FREQ-NEURON-LIKE 0.73
Weight-space freq_corr vs causal slope [d_elogu BEYOND temperature-matched baseline] across 72 candidates: Pearson r=0.031 (p=0.8), Spearman rho=0.076 (p=0.52); sign agreement among FREQ-NEURON-LIKE 0.73
|causal elogu slope| per sigma: FREQ-NEURON-LIKE (n=11) 0.0028 | other candidates (n=56) 0.0041 | random controls (n=10) 0.0007
sign agreement (weight score vs causal slope) among FREQ-NEURON-LIKE: 0.73

 neuron_id  is_candidate  freq_corr  abs_freq_corr_pctile  d_elogu_beyond_temp_slope_per_sigma  d_elogu_beyond_temp_slope_p  d_elogu_slope_per_sigma  d_elogu_slope_p  d_kl_slope_per_sigma  d_kl_slope_p  d_entropy_slope_per_sigma  d_elogu_mean_ablation  d_elogu_mean_ablation_p
  L31_N271          True  -0.007147                   7.2                              -0.1412                       0.0002                  -0.1555           0.0002                0.2939        0.0002                    -0.1384               -0.06377                   0.0002
 L31_N9678          True     -0.433                  99.8                             -0.01423                       0.0002                 -0.01478           0.0002               0.01194        0.0002                   0.002842               0.001971                   0.3957
 L29_N7731          True     -0.072                  62.9                             0.008891                       0.0002                  0.00979           0.0002              -0.01876        0.0002                   0.008972              -0.001988                   0.4555
L31_N13189          True    -0.1547                  92.8                             0.006469                       0.0002                 0.006887           0.0002              -0.01192        0.0002                   0.005029               0.003138                   0.1516
 L30_N1777          True    -0.5041                   100                            -0.006465                       0.0002                -0.005716           0.0002              0.009398        0.0002                  -0.003683             -0.0009653                   0.7045
 L21_N9298          True    0.01185                  12.3                             0.006292                       0.0002                 0.006767           0.0002               -0.0112        0.0002                   0.004433               -0.00078                   0.7686
L31_N12032          True    -0.0453                  41.9                             0.004825                       0.0002                 0.005397           0.0002              -0.01129        0.0002                   0.005893               0.005967                 0.003799
 L23_N9479          True    -0.1885                  96.5                             0.004101                       0.0002                 0.004342           0.0002             -0.004927     0.0005999                  0.0005856             -0.0004469                    0.866
 L31_N3300          True     0.0212                  22.2                             0.002645                       0.0002                  0.00243           0.0002             -0.003715        0.0012                   0.001285               0.001168                   0.5257
L31_N13812          True    -0.6338                   100                            -0.002452                       0.0002                -0.002329           0.0002            -0.0007263        0.4905                   0.003056               0.002043                  0.05799
L27_N10181          True   0.005268                   5.5                             0.002234                    0.0009998                 0.002064         0.002999             -0.003616      0.005199                   0.001552               0.003311                   0.2218
L31_N12850          True    -0.6445                   100                             -0.00212                       0.0002                -0.002024           0.0012             -0.001026        0.3165                    0.00305             -0.0005102                   0.5655
L29_N12010          True    -0.1014                  78.8                             0.002078                     0.004799                 0.001985           0.0134              -0.02178        0.0002                     0.0198               0.004418                  0.07778
 L20_N5595          True     0.1713                  95.1                             0.002077                     0.004799                 0.001889           0.0188              -0.00298       0.04939                   0.001091                0.00216                   0.4379
 L29_N8335          True    -0.1236                  85.4                              0.00187                     0.002999                 0.001863         0.002799             -0.003343      0.006199                    0.00148               0.002166                   0.3465
 L22_N9335          True    -0.1118                  81.5                              0.00186                     0.005599                 0.001762         0.009198             -0.002652        0.0218                    0.00089               0.003827                   0.1296
 L30_N1457          True     0.4705                  99.9                             0.001652                       0.0108                 0.001683           0.0166              0.006093        0.0002                  -0.007775               0.001023                   0.6841
 L31_N6772          True    -0.0376                  35.7                             0.001627                    0.0009998                 0.001765           0.0012            -0.0004438        0.6187                  -0.001321                0.00195                   0.1226
L20_N10757          True    0.01779                  18.9                            -0.001567                       0.0136                -0.001865         0.005999              0.004146        0.0014                  -0.002281              0.0002544                   0.9286
 L30_N5509          True     0.1508                    92                             0.001505                       0.0184                 0.001371          0.03179             -0.007478        0.0002                   0.006106              1.637e-05                   0.9956
 L21_N5643          True    0.08574                  71.3                             0.001494                      0.03339                  0.00147          0.05519             -0.002231        0.1182                  0.0007616              -0.002028                   0.4059
L29_N11909          True      -0.54                   100                             -0.00145                      0.04879                -0.001358          0.06319                0.0186        0.0002                   -0.01725               0.005089                  0.03739
 L21_N6169          True    0.02836                    29                            -0.001425                      0.05759                -0.001355          0.08918              0.002141        0.1268                  -0.000786               0.003323                   0.2158
  L20_N488         False        NaN                   NaN                             0.001388                      0.06079                 0.001149           0.1346            -0.0006279        0.6809                 -0.0005208              -0.003118                   0.2789
L23_N12156          True   -0.02259                  23.2                             0.001334                      0.04059                 0.001514          0.03299               -0.0023       0.05239                  0.0007858               0.002499                   0.3637
L28_N11622          True    0.06984                  61.8                            -0.001319                      0.05819                -0.001323          0.06539              0.001466        0.2595                 -0.0001423              0.0009238                   0.7001
L21_N10092          True     0.0353                  34.1                              0.00127                      0.09538                 0.001638          0.05239             -0.001925        0.2324                  0.0002865             -0.0005709                    0.814
L28_N14203          True    -0.1615                  94.2                             0.001225                      0.07219                 0.001258          0.09438             -0.001841        0.1778                  0.0005826               0.001277                   0.5947
L29_N11308          True    0.06137                  55.6                             0.001203                      0.02539                 0.001174          0.04039             -0.001724       0.07698                  0.0005499              0.0004447                   0.8248
 L28_N1424         False        NaN                   NaN                             0.001106                      0.06079                0.0008097           0.1874              -0.00237       0.05259                   0.001561               0.002238                   0.3745
 L20_N4253          True    -0.2612                  99.5                             0.001094                       0.1206                 0.001246          0.09078            -0.0003956        0.7608                 -0.0008507              -0.001954                   0.4493
L20_N12270          True     0.1419                  90.6                             -0.00109                        0.123                -0.001356          0.05399              0.002331       0.05339                  -0.000975              -0.000208                   0.9366
L20_N12894          True  -0.007604                   7.7                            0.0009645                       0.1476                 0.001197          0.07838             -0.002721       0.04519                   0.001523              -0.002717                   0.3093
L29_N10191          True     0.1556                    93                            0.0009623                       0.1386                0.0008921            0.165             -0.008045        0.0002                   0.007153               0.004253                  0.09438
 L24_N7717          True  -0.009241                   9.6                            0.0009599                       0.1538                0.0007478           0.2883             0.0006707        0.5965                  -0.001419              -0.003335                   0.2382
 L21_N3582         False        NaN                   NaN                            0.0009145                       0.1492                0.0009712            0.143             0.0007705        0.5307                  -0.001742              0.0002583                   0.9318
 L30_N3533          True    0.04401                  40.8                            0.0008986                        0.155                0.0008629           0.1882              0.004021     0.0005999                  -0.004884              -0.001492                   0.5937
 L31_N1679         False        NaN                   NaN                            -0.000886                      0.06919               -0.0009149          0.06739             0.0007712        0.3679                  0.0001437               0.001821                   0.2661
 L20_N3833          True   -0.02253                  23.1                            0.0008754                       0.2102                0.0009129           0.2106             -0.002464       0.02899                   0.001551               0.002193                   0.4747
L30_N13513          True  -0.008043                   8.7                            0.0008301                       0.1388                0.0007362           0.2028            -1.583e-05         0.989                 -0.0007204              -0.001364                   0.6023
L30_N12135         False        NaN                   NaN                            0.0008232                        0.117                0.0007428           0.1782            -0.0006953        0.5259                 -4.741e-05               0.001924                   0.3661
L29_N13254          True    0.07801                  66.6                            0.0008141                       0.2058                 0.000905           0.1682            -0.0006363        0.5415                 -0.0002687               0.004154                  0.07299
 L31_N3330          True    -0.4468                  99.8                            0.0007991                      0.07578                0.0009669          0.06199             -0.003636     0.0003999                   0.002669              -0.001612                   0.1984
 L31_N2477          True     0.4164                  99.8                            0.0007975                       0.2503                0.0001829           0.7942             -0.002494       0.02579                   0.002311               0.005877                 0.009198
 L20_N2742          True     0.1177                  83.5                            0.0007865                       0.3279                0.0006594           0.4187            -0.0003157        0.8196                 -0.0003436             -0.0006325                    0.826
L21_N12508          True    -0.1373                  89.4                            0.0007849                        0.237                0.0008481           0.2314             -0.001997        0.1206                   0.001149              -0.003281                   0.1784
 L24_N7891          True     0.1499                  91.6                            0.0007775                       0.2352                 0.001002           0.1624             -0.001066        0.4209                  6.352e-05              0.0005651                   0.8412
  L29_N987          True   -0.02616                  26.8                            0.0007505                       0.2765                 0.001072           0.1424             -0.003677      0.008598                   0.002606               0.002586                   0.2765
 L30_N1824         False        NaN                   NaN                           -0.0007453                        0.177               -0.0008061           0.1714              0.001686        0.1026                 -0.0008795              0.0003459                   0.8566
L30_N10312          True    -0.0868                  71.9                            0.0007417                       0.2448                0.0008791            0.195             0.0001652        0.8988                  -0.001044              0.0006205                   0.7828
 L29_N8568          True     0.1545                  92.7                           -0.0006304                       0.3243               -0.0004751           0.4691              0.002855        0.0134                   -0.00238               0.004002                   0.1186
 L26_N2788          True   -0.09167                  74.3                              0.00062                       0.4145                 0.000665           0.4083             -0.002874       0.04559                   0.002209             -0.0003558                   0.8884
 L20_N9252          True    -0.1448                  90.7                            0.0006092                       0.3703                0.0006832           0.3755             -0.002183        0.1296                     0.0015             -0.0008373                   0.7291
L23_N13240          True     -0.139                  90.1                            -0.000571                       0.4669                -0.001117           0.1842              0.006227     0.0003999                  -0.005111              0.0009175                   0.7331
 L29_N6912         False        NaN                   NaN                           -0.0005675                       0.3461               -0.0006023           0.3277              0.001123        0.2943                 -0.0005206              0.0005226                    0.803
 L30_N7102          True    -0.2711                  99.5                           -0.0005274                       0.3425               -0.0007282           0.2426              0.005483        0.0002                  -0.004755              0.0001717                   0.9424
L26_N10829          True   -0.03097                  30.7                            0.0005156                       0.4283                0.0005886           0.3751            -0.0005596        0.6359                 -2.893e-05             -6.611e-05                   0.9766
 L20_N1001          True   -0.02656                  27.4                            -0.000491                       0.4987               -0.0004026           0.6193             7.121e-05        0.9582                  0.0003315               0.001864                   0.4235
 L20_N4769          True     0.1253                  85.8                            0.0004673                       0.5019                0.0002279           0.7592            -0.0009615        0.4935                  0.0007336             -0.0001265                   0.9614
L23_N12855          True    0.03842                  36.4                            0.0004542                       0.4999                0.0005906           0.4005             -0.001102        0.3587                  0.0005119               0.001176                   0.6727
 L23_N2286         False        NaN                   NaN                           -0.0004309                       0.5587               -0.0001048           0.9064             -0.003376        0.0244                   0.003481              0.0001352                   0.9608
L20_N12149         False        NaN                   NaN                           -0.0004217                       0.5613               -0.0003197           0.6831             0.0004625        0.7413                 -0.0001428              -0.001484                   0.5723
  L30_N236          True  -0.002084                     2                           -0.0003872                       0.5047               -0.0002612           0.6785             0.0005793        0.6197                 -0.0003181              0.0002803                   0.9064
L26_N11322          True     0.1779                  95.6                           -0.0003824                       0.5537               -0.0004658           0.4773            -0.0001626         0.886                  0.0006284               0.003415                   0.1858
L29_N13925          True    -0.0963                  76.8                            0.0003463                       0.5029                0.0004891           0.3481            -0.0008743        0.3617                  0.0003852               0.002968                   0.1518
 L24_N4012         False        NaN                   NaN                            0.0003423                       0.5857                0.0003491           0.6095             -0.000957        0.4085                  0.0006079              -0.001958                   0.4903
 L24_N3356          True     0.0945                  75.6                            0.0003192                       0.6345               -7.324e-05           0.9232            -0.0001518        0.9174                   0.000225                0.00232                   0.3401
L27_N12404          True    -0.2092                  98.5                           -0.0003084                       0.6523                -0.000588           0.4159               0.00118        0.3727                 -0.0005921               0.002655                   0.3185
L29_N10092          True    -0.4099                  99.8                            0.0003031                       0.6323                0.0001821           0.7892            -0.0001269        0.9148                 -5.521e-05               0.003916                  0.08978
 L25_N5252          True    0.09303                  74.9                           -0.0002847                       0.6669               -0.0003629           0.5711             0.0001559         0.904                  0.0002069              -0.001611                   0.5409
 L21_N5870          True     0.1218                    85                           -0.0002542                       0.6911               -9.174e-05           0.8988             0.0003738        0.7834                 -0.0002821              0.0007762                    0.775
L30_N13098          True    -0.1396                  90.2                           -0.0002477                       0.6499               -0.0001313           0.8254             -0.001444         0.169                   0.001576               0.002213                   0.3205
  L26_N783          True     0.1003                  78.6                            0.0002421                       0.7043                0.0003573           0.6011             -0.001355        0.2715                  0.0009972               0.001396                   0.5579
L26_N11628          True    0.02703                  27.6                            -0.000197                       0.7283               -0.0004157           0.5157             0.0008243        0.5307                 -0.0004085               0.003257                     0.18
L30_N13647          True     0.1676                  94.6                           -0.0001924                       0.7485               -0.0002196           0.7261              0.001264        0.2819                  -0.001044               0.001402                   0.5291
 L30_N6621          True    -0.1317                  87.6                            0.0001754                        0.784               -0.0002714           0.6775             -0.007124        0.0002                   0.007395             -0.0008783                   0.7119
 L21_N3481          True   -0.02545                    26                           -0.0001732                       0.8232               -0.0001077           0.8928            -0.0004368        0.7756                  0.0005446              -0.002333                   0.3559
L20_N10638          True    0.07644                  65.7                            0.0001218                        0.855                0.0001349           0.8508              0.001865        0.1066                     -0.002               0.004145                   0.1202
  L22_N623          True   -0.02598                  26.7                           -0.0001128                       0.8808                -0.000137           0.8584              0.001585        0.2226                  -0.001448               0.003031                   0.2619
 L29_N9228          True     0.2063                  98.4                            9.456e-05                        0.894                 9.83e-05           0.8764             0.0005119        0.6677                 -0.0006102              0.0004985                   0.8422
 L20_N5554          True   -0.01937                  20.2                            6.533e-05                       0.9266               -4.203e-05           0.9534              0.001101        0.4463                  -0.001059               0.001898                   0.5051
 L20_N1399          True    0.04857                  44.8                            3.601e-05                       0.9618                1.572e-05           0.9828             0.0002962        0.8332                  -0.000312                0.00258                   0.3109
