neuron_id,layer,neuron_idx,kind,matched_to,w_norm,logit_var,nullfrac_k16,nullfrac_k64,nullfrac_k256,nullfrac_bottom10pct,w_norm_pctile_random,w_norm_pctile_matched,logit_var_pctile_random,logit_var_pctile_matched,nullfrac_bottom10pct_pctile_random,nullfrac_bottom10pct_pctile_matched,nullfrac_k16_pctile_random,nullfrac_k16_pctile_matched,nullfrac_k64_pctile_random,nullfrac_k64_pctile_matched,nullfrac_k256_pctile_random,nullfrac_k256_pctile_matched
L21_N3481,21,3481,candidate,,1.6449124813079834,0.00017512546037323773,0.004102512262761593,0.0233966913074255,0.10830499231815338,0.41396215558052063,7.199999999999999,4.0,2.8000000000000003,4.0,95.0,90.0,74.3,68.0,93.5,92.0,94.89999999999999,90.0
L23_N13240,23,13240,candidate,,1.8835324048995972,0.00017160025890916586,0.006049224175512791,0.03256876766681671,0.14782555401325226,0.47381749749183655,69.1,100.0,2.0,0.0,97.2,100.0,91.7,94.0,96.3,100.0,97.1,100.0
L21_N6169,21,6169,candidate,,1.630139946937561,0.0001823407073970884,0.002382442820817232,0.011614990420639515,0.05143903195858002,0.2857021987438202,6.7,12.0,6.0,10.0,25.8,32.0,24.2,16.0,31.0,22.0,32.0,34.0
L27_N10181,27,10181,candidate,,1.6422953605651855,0.00018673521117307246,0.0037578479386866093,0.0218571275472641,0.08454401791095734,0.37876200675964355,7.199999999999999,30.0,9.1,54.0,93.0,60.0,66.5,46.0,92.5,64.0,91.5,57.99999999999999
L31_N9678,31,9678,candidate,,1.3992900848388672,0.0002755902532953769,0.07650534063577652,0.3547358214855194,0.5339359641075134,0.7632668018341064,2.1999999999999997,40.0,99.9,100.0,100.0,96.0,99.8,98.0,100.0,98.0,100.0,96.0
L22_N9335,22,9335,candidate,,1.606977939605713,0.0001842238416429609,0.008397824130952358,0.022625461220741272,0.09162656217813492,0.37073448300361633,6.1,14.000000000000002,7.1,16.0,92.2,76.0,96.39999999999999,92.0,92.9,80.0,92.7,78.0
L26_N783,26,783,candidate,,1.379679560661316,0.0001745815679896623,0.008933570235967636,0.030584638938307762,0.16241323947906494,0.4916153848171234,2.0,24.0,2.8000000000000003,4.0,97.5,96.0,96.89999999999999,94.0,96.1,86.0,97.5,94.0
L27_N12404,27,12404,candidate,,1.5308692455291748,0.0001931271399371326,0.004893645644187927,0.026242896914482117,0.09425501525402069,0.3915366530418396,4.3999999999999995,16.0,45.1,60.0,93.7,70.0,85.3,70.0,94.5,72.0,93.2,68.0
L31_N12850,31,12850,candidate,,1.3420616388320923,0.0008736202144064009,0.15828655660152435,0.2376873791217804,0.36478230357170105,0.6475830674171448,1.5,48.0,100.0,100.0,99.4,90.0,99.9,100.0,99.7,98.0,99.6,92.0
L22_N623,22,623,candidate,,1.6407129764556885,0.00017662251775618643,0.02791423164308071,0.047774750739336014,0.10293477773666382,0.3950112760066986,7.199999999999999,16.0,3.1,2.0,93.8,96.0,99.5,100.0,97.7,100.0,94.5,94.0
L20_N12270,20,12270,candidate,,1.8699513673782349,0.000193067331565544,0.007549062371253967,0.01872842386364937,0.07153251767158508,0.3235894441604614,63.0,92.0,44.800000000000004,57.99999999999999,83.7,88.0,95.19999999999999,100.0,88.3,90.0,87.5,92.0
L30_N236,30,236,candidate,,1.7299851179122925,0.0001758825674187392,0.010863229632377625,0.042256493121385574,0.1449529379606247,0.47645607590675354,10.9,42.0,3.0,30.0,97.3,74.0,97.7,82.0,97.2,80.0,97.0,76.0
L31_N3330,31,3330,candidate,,1.461992621421814,0.0003210635914001614,0.06377722322940826,0.1457670032978058,0.2710016369819641,0.5767865777015686,3.2,44.0,99.9,96.0,98.7,68.0,99.8,98.0,99.3,86.0,98.7,70.0
L26_N10829,26,10829,candidate,,1.2632423639297485,0.00018711610755417496,0.004990119952708483,0.023226048797369003,0.07889668643474579,0.3574904799461365,1.0,20.51282051282051,9.5,23.076923076923077,90.2,71.7948717948718,86.2,66.66666666666666,93.5,76.92307692307693,89.8,69.23076923076923
L20_N10638,20,10638,candidate,,1.708707571029663,0.00018205842934548855,0.004546061158180237,0.022734742611646652,0.09939825534820557,0.40469714999198914,9.700000000000001,8.0,5.800000000000001,2.0,94.39999999999999,98.0,80.30000000000001,76.0,93.0,94.0,93.8,98.0
L20_N9252,20,9252,candidate,,1.272482991218567,0.00017899628437589854,0.01964966394007206,0.12876026332378387,0.19949550926685333,0.49802371859550476,1.0,32.0,4.3999999999999995,14.000000000000002,97.5,98.0,98.9,100.0,99.3,100.0,97.8,98.0
L24_N7717,24,7717,candidate,,1.775623083114624,0.00017613389354664832,0.01592092216014862,0.08622607588768005,0.15297073125839233,0.43372371792793274,15.6,8.0,3.0,4.0,95.5,98.0,98.6,100.0,98.5,100.0,97.2,98.0
L20_N10757,20,10757,candidate,,1.779220461845398,0.00019350694492459297,0.003941759001463652,0.017197150737047195,0.054064009338617325,0.2896042764186859,16.400000000000002,18.0,50.4,57.99999999999999,32.7,22.0,71.2,72.0,84.6,84.0,44.800000000000004,38.0
L20_N5554,20,5554,candidate,,1.8305563926696777,0.00019093880837317556,0.0020160386338829994,0.012566938064992428,0.05341462045907974,0.2947241961956024,34.1,70.0,22.3,30.0,42.5,20.0,12.2,4.0,43.8,18.0,40.699999999999996,20.0
L31_N271,31,271,candidate,,1.4275920391082764,0.00011673742847051471,0.02081400714814663,0.10552642494440079,0.5938850045204163,0.8201367855072021,2.7,54.0,0.0,0.0,100.0,100.0,99.1,84.0,99.1,76.0,100.0,100.0
L28_N14203,28,14203,candidate,,1.6402251720428467,0.00014836077752988786,0.002647387096658349,0.012781978584825993,0.13073523342609406,0.6476955413818359,7.199999999999999,28.000000000000004,0.3,4.0,99.4,94.0,32.300000000000004,22.0,46.9,36.0,96.5,76.0
L31_N13812,31,13812,candidate,,1.1419481039047241,0.0007714653038419783,0.10250002145767212,0.1619308888912201,0.2782174348831177,0.5760936141014099,0.3,22.0,100.0,100.0,98.6,74.0,99.9,88.0,99.5,88.0,98.8,74.0
