Stolfo weight criteria -- 41 candidates vs 1000 random neurons (layers [20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31], seed 42) and a +/-10% norm-matched null (up to 50 per candidate)

neuron         w_norm    pR |  logit_var    pR    pM |  nullfrac_k64    pR    pM |    b10%    pR    pM | nM   verdict
L21_N3481       1.645   7.2 |    0.00018   2.8   4.0 |       0.02340  93.5  92.0 |  0.4140  95.0  90.0 | 4636 -
L23_N13240      1.884  69.1 |    0.00017   2.0   0.0 |       0.03257  96.3 100.0 |  0.4738  97.2 100.0 | 13617 -
L21_N6169       1.630   6.7 |    0.00018   6.0  10.0 |       0.01161  31.0  22.0 |  0.2857  25.8  32.0 | 3320 -
L27_N10181      1.642   7.2 |    0.00019   9.1  54.0 |       0.02186  92.5  64.0 |  0.3788  93.0  60.0 | 1612 -
L31_N9678       1.399   2.2 |    0.00028  99.9 100.0 |       0.35474 100.0  98.0 |  0.7633 100.0  96.0 | 2009 -
L22_N9335       1.607   6.1 |    0.00018   7.1  16.0 |       0.02263  92.9  80.0 |  0.3707  92.2  76.0 | 1846 -
L26_N783        1.380   2.0 |    0.00017   2.8   4.0 |       0.03058  96.1  86.0 |  0.4916  97.5  96.0 | 156  -
L27_N12404      1.531   4.4 |    0.00019  45.1  60.0 |       0.02624  94.5  72.0 |  0.3915  93.7  70.0 | 703  -
L31_N12850      1.342   1.5 |    0.00087 100.0 100.0 |       0.23769  99.7  98.0 |  0.6476  99.4  90.0 | 1794 -
L22_N623        1.641   7.2 |    0.00018   3.1   2.0 |       0.04777  97.7 100.0 |  0.3950  93.8  96.0 | 3397 -
L20_N12270      1.870  63.0 |    0.00019  44.8  58.0 |       0.01873  88.3  90.0 |  0.3236  83.7  88.0 | 13339 -
L30_N236        1.730  10.9 |    0.00018   3.0  30.0 |       0.04226  97.2  80.0 |  0.4765  97.3  74.0 | 2634 -
L31_N3330       1.462   3.2 |    0.00032  99.9  96.0 |       0.14577  99.3  86.0 |  0.5768  98.7  68.0 | 2112 -
L26_N10829      1.263   1.0 |    0.00019   9.5  23.1 |       0.02323  93.5  76.9 |  0.3575  90.2  71.8 | 39   -
L20_N10638      1.709   9.7 |    0.00018   5.8   2.0 |       0.02273  93.0  94.0 |  0.4047  94.4  98.0 | 13669 -
L20_N9252       1.272   1.0 |    0.00018   4.4  14.0 |       0.12876  99.3 100.0 |  0.4980  97.5  98.0 | 74   -
L24_N7717       1.776  15.6 |    0.00018   3.0   4.0 |       0.08623  98.5 100.0 |  0.4337  95.5  98.0 | 14036 -
L20_N10757      1.779  16.4 |    0.00019  50.4  58.0 |       0.01720  84.6  84.0 |  0.2896  32.7  22.0 | 13848 -
L20_N5554       1.831  34.1 |    0.00019  22.3  30.0 |       0.01257  43.8  18.0 |  0.2947  42.5  20.0 | 13632 -
L31_N271        1.428   2.7 |    0.00012   0.0   0.0 |       0.10553  99.1  76.0 |  0.8201 100.0 100.0 | 2050 -
L28_N14203      1.640   7.2 |    0.00015   0.3   4.0 |       0.01278  46.9  36.0 |  0.6477  99.4  94.0 | 1579 -
L31_N13812      1.142   0.3 |    0.00077 100.0 100.0 |       0.16193  99.5  88.0 |  0.5761  98.6  74.0 | 683  -
L26_N11628      1.809  22.7 |    0.00019   8.4   4.0 |       0.00823   1.9   0.0 |  0.2833  21.2  18.0 | 13826 -
L31_N13189      1.626   6.4 |    0.00021  96.7  88.0 |       0.10782  99.1  86.0 |  0.4981  97.5  74.0 | 2195 -
L31_N3300       1.183   0.6 |    0.00012   0.0   6.0 |       0.03831  96.8  72.0 |  0.8328 100.0  96.0 | 921  -
L29_N8335       1.636   7.1 |    0.00017   1.5  14.0 |       0.10228  99.0  92.0 |  0.5667  98.5  92.0 | 1594 -
L21_N5643       1.724  10.6 |    0.00019  55.4  54.0 |       0.00990  12.0   4.0 |  0.2949  42.8  36.0 | 13736 -
L29_N13254      1.829  33.5 |    0.00018   6.0   8.0 |       0.03217  96.3  92.0 |  0.4424  96.2  94.0 | 12031 -
L29_N12010      2.145  97.1 |    0.00020  77.1  72.0 |       0.04066  97.0 100.0 |  0.4679  97.1 100.0 | 10120 -
L29_N7731       1.694   9.0 |    0.00014   0.3   0.0 |       0.06130  98.2  92.0 |  0.6864  99.7 100.0 | 2167 -
L21_N9298       1.625   6.3 |    0.00017   1.5   2.0 |       0.04235  97.2  94.0 |  0.5320  98.0  98.0 | 3040 -
L31_N12032      1.883  68.9 |    0.00018   3.6  14.0 |       0.13932  99.3 100.0 |  0.5824  98.9  98.0 | 2867 -
L21_N5870       1.674   8.1 |    0.00019  32.7  54.0 |       0.01693  83.3  82.0 |  0.3322  87.0  80.0 | 10934 -
L21_N10092      1.531   4.4 |    0.00016   0.5   4.0 |       0.04441  97.6  98.0 |  0.6134  99.2 100.0 | 837  -
L23_N9479       1.512   3.9 |    0.00019  57.9  60.0 |       0.10549  99.1  94.0 |  0.5066  97.5  88.0 | 475  -
L21_N12508      1.728  10.8 |    0.00018   3.7   4.0 |       0.01687  82.9  84.0 |  0.4279  95.5  98.0 | 13758 -
L20_N3833       1.586   5.3 |    0.00018   7.1  24.0 |       0.02597  94.5  92.0 |  0.3876  93.5  86.0 | 1973 -
L29_N987        1.468   3.2 |    0.00018   3.6  20.0 |       0.02385  93.8  76.0 |  0.3963  94.1  72.0 | 769  -
L20_N4253       1.646   7.2 |    0.00020  85.7  94.0 |       0.09086  98.6 100.0 |  0.4807  97.4  96.0 | 5716 -
L24_N3356       1.439   2.8 |    0.00018   2.9  14.0 |       0.05178  97.9  90.0 |  0.4631  96.9  86.0 | 200  -
L25_N5252       1.604   6.1 |    0.00018   7.1  28.0 |       0.02933  95.7  84.0 |  0.3829  93.0  72.0 | 1118 -

pR = percentile vs random null; pM = percentile vs norm-matched null; nM = number of eligible norm-matched neurons in that layer.
Verdict rule (random null): w_norm > p90, logit_var < p10, nullfrac_k64 > p90.
