neuron_id,layer,neuron_idx,kind,matched_to,w_norm,logit_var,nullfrac_k16,nullfrac_k64,nullfrac_k256,nullfrac_bottom10pct,w_norm_pctile_random,w_norm_pctile_matched,logit_var_pctile_random,logit_var_pctile_matched,nullfrac_bottom10pct_pctile_random,nullfrac_bottom10pct_pctile_matched,nullfrac_k16_pctile_random,nullfrac_k16_pctile_matched,nullfrac_k64_pctile_random,nullfrac_k64_pctile_matched,nullfrac_k256_pctile_random,nullfrac_k256_pctile_matched
L30_N1457,30,1457,candidate,,1.7921836376190186,0.0003712294274009764,0.036301854997873306,0.062244780361652374,0.14896537363529205,0.46442726254463196,21.2,40.0,100.0,98.0,92.60000000000001,84.0,99.1,96.0,96.7,92.0,93.30000000000001,86.0
L29_N11909,29,11909,candidate,,1.4002130031585693,0.000407436367822811,0.018736323341727257,0.04091189429163933,0.15094994008541107,0.49084368348121643,4.1000000000000005,46.0,100.0,100.0,93.8,94.0,97.7,100.0,94.69999999999999,90.0,93.30000000000001,92.0
L29_N13925,29,13925,candidate,,1.759651780128479,0.00018996652215719223,0.00837883073836565,0.01826743595302105,0.06622637808322906,0.3300256133079529,17.1,24.0,22.6,46.0,81.39999999999999,62.0,94.3,88.0,84.39999999999999,70.0,78.9,64.0
L30_N1777,30,1777,candidate,,1.3926440477371216,0.00034830725053325295,0.06324393302202225,0.11942911148071289,0.24011121690273285,0.5526402592658997,3.8,56.00000000000001,100.0,98.0,96.1,90.0,99.2,98.0,98.2,98.0,96.39999999999999,90.0
L23_N12855,23,12855,candidate,,1.5160382986068726,0.0001693260855972767,0.00864377710968256,0.049141813069581985,0.1468668282032013,0.47250592708587646,6.5,16.0,4.9,16.0,92.9,74.0,94.8,86.0,95.6,86.0,93.10000000000001,74.0
L30_N13647,30,13647,candidate,,1.4138262271881104,0.00015661011275369674,0.11159324645996094,0.1894814670085907,0.3015715181827545,0.6086655259132385,4.3999999999999995,50.0,2.1999999999999997,10.0,97.39999999999999,90.0,99.7,98.0,98.9,96.0,97.7,92.0
L20_N12894,20,12894,candidate,,1.4780532121658325,0.00017572780780028552,0.006638424005359411,0.026739241555333138,0.10714777559041977,0.42023026943206787,5.7,28.000000000000004,7.000000000000001,12.0,90.9,86.0,91.5,78.0,91.10000000000001,80.0,90.8,82.0
L20_N1399,20,1399,candidate,,1.807371973991394,0.00019606015121098608,0.0022051173727959394,0.012819144874811172,0.04990101605653763,0.2839677631855011,24.099999999999998,32.0,75.1,84.0,26.900000000000002,12.0,21.0,12.0,50.3,28.000000000000004,32.0,12.0
L28_N11622,28,11622,candidate,,1.7808135747909546,0.00018259798525832593,0.008544591255486012,0.025943001732230186,0.08160515129566193,0.3653542995452881,19.6,14.000000000000002,10.5,6.0,86.9,90.0,94.6,98.0,90.9,92.0,86.3,90.0
L31_N6772,31,6772,candidate,,1.7656874656677246,0.00016757594130467623,0.01871570013463497,0.15080201625823975,0.3233772814273834,0.633643388748169,17.5,44.0,4.3999999999999995,8.0,97.7,96.0,97.7,92.0,98.5,94.0,97.8,96.0
