Stolfo weight criteria -- 17 candidates vs 1000 random neurons (layers [20, 23, 28, 29, 30, 31], seed 42) and a +/-10% norm-matched null (up to 50 per candidate)

neuron         w_norm    pR |  logit_var    pR    pM |  nullfrac_k64    pR    pM |    b10%    pR    pM | nM   verdict
L30_N1457       1.792  21.2 |    0.00037 100.0  98.0 |       0.06224  96.7  92.0 |  0.4644  92.6  84.0 | 3399 -
L29_N11909      1.400   4.1 |    0.00041 100.0 100.0 |       0.04091  94.7  90.0 |  0.4908  93.8  94.0 | 579  -
L29_N13925      1.760  17.1 |    0.00019  22.6  46.0 |       0.01827  84.4  70.0 |  0.3300  81.4  62.0 | 3459 -
L30_N1777       1.393   3.8 |    0.00035 100.0  98.0 |       0.11943  98.2  98.0 |  0.5526  96.1  90.0 | 1168 -
L23_N12855      1.516   6.5 |    0.00017   4.9  16.0 |       0.04914  95.6  86.0 |  0.4725  92.9  74.0 | 493  -
L30_N13647      1.414   4.4 |    0.00016   2.2  10.0 |       0.18948  98.9  96.0 |  0.6087  97.4  90.0 | 1205 -
L20_N12894      1.478   5.7 |    0.00018   7.0  12.0 |       0.02674  91.1  80.0 |  0.4202  90.9  86.0 | 507  -
L20_N1399       1.807  24.1 |    0.00020  75.1  84.0 |       0.01282  50.3  28.0 |  0.2840  26.9  12.0 | 13752 -
L28_N11622      1.781  19.6 |    0.00018  10.5   6.0 |       0.02594  90.9  92.0 |  0.3654  86.9  90.0 | 12679 -
L31_N6772       1.766  17.5 |    0.00017   4.4   8.0 |       0.15080  98.5  94.0 |  0.6336  97.7  96.0 | 2253 -
L20_N2742       1.844  41.7 |    0.00020  76.5  86.0 |       0.01237  45.6  32.0 |  0.2954  48.4  20.0 | 13557 -
L31_N3330       1.462   5.4 |    0.00032  99.9  98.0 |       0.14577  98.5  90.0 |  0.5768  96.8  64.0 | 2115 -
L20_N1001       1.420   4.5 |    0.00019  18.7  30.0 |       0.01930  86.0  64.0 |  0.3578  85.8  62.0 | 273  -
L20_N4769       1.764  17.5 |    0.00020  84.6  84.0 |       0.01720  81.7  92.0 |  0.3090  68.3  74.0 | 13882 -
L30_N13098      1.800  22.6 |    0.00018  10.2  26.0 |       0.02592  90.9  70.0 |  0.4136  90.4  72.0 | 3553 -
L30_N10312      1.514   6.5 |    0.00017   5.7  12.0 |       0.06332  96.7  88.0 |  0.4846  93.5  78.0 | 1478 -
L20_N5595       1.442   5.2 |    0.00020  89.5  88.0 |       0.01494  70.5  28.0 |  0.3539  85.3  56.0 | 352  -

pR = percentile vs random null; pM = percentile vs norm-matched null; nM = number of eligible norm-matched neurons in that layer.
Verdict rule (random null): w_norm > p90, logit_var < p10, nullfrac_k64 > p90.
