Token-frequency neuron score: candidates vs 1000 random neurons (layers [20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31], seed 42)
random null |corr|: median 0.054, 95th pct 0.171, 99th 0.219

neuron       freq_corr    pct     slope  verdict  sets
L29_N11909      -0.540  100.0   -0.0110  FREQ-NEURON-LIKE candidate_neurons
L30_N1777       -0.504  100.0   -0.0094  FREQ-NEURON-LIKE candidate_neurons
L31_N13812      -0.634  100.0   -0.0145  FREQ-NEURON-LIKE candidate_neurons_bf16
L31_N12850      -0.645  100.0   -0.0184  FREQ-NEURON-LIKE candidate_neurons_bf16
L30_N1457       +0.471   99.9   +0.0117  FREQ-NEURON-LIKE candidate_neurons
L31_N3330       -0.447   99.8   -0.0084  FREQ-NEURON-LIKE candidate_neurons|candidate_neurons_bf16
L29_N10092      -0.410   99.8   -0.0079  FREQ-NEURON-LIKE candidates_old15
L31_N2477       +0.416   99.8   +0.0057  FREQ-NEURON-LIKE candidates_old15
L31_N9678       -0.433   99.8   -0.0073  FREQ-NEURON-LIKE candidate_neurons_bf16
L30_N7102       -0.271   99.5   -0.0050  FREQ-NEURON-LIKE candidates_old15
L20_N4253       -0.261   99.5   -0.0044  FREQ-NEURON-LIKE candidate_neurons_bf16
L27_N12404      -0.209   98.5   -0.0032  elevated         candidate_neurons_bf16
L29_N9228       +0.206   98.4   +0.0035  elevated         candidates_old15
L23_N9479       -0.189   96.5   -0.0029  elevated         candidate_neurons_bf16
L26_N11322      +0.178   95.6   +0.0027  elevated         candidates_old15
L20_N5595       +0.171   95.1   +0.0025  elevated         candidate_neurons
L30_N13647      +0.168   94.6   +0.0021  -                candidate_neurons
L28_N14203      -0.162   94.2   -0.0023  -                candidate_neurons_bf16
L29_N10191      +0.156   93.0   +0.0025  -                candidates_old15
L31_N13189      -0.155   92.8   -0.0026  -                candidate_neurons_bf16
L29_N8568       +0.154   92.7   +0.0024  -                candidates_old15
L30_N5509       +0.151   92.0   +0.0018  -                candidates_old15
L24_N7891       +0.150   91.6   +0.0025  -                candidates_old15
L20_N9252       -0.145   90.7   -0.0018  -                candidate_neurons_bf16
L20_N12270      +0.142   90.6   +0.0027  -                candidate_neurons_bf16
L30_N13098      -0.140   90.2   -0.0024  -                candidate_neurons
L23_N13240      -0.139   90.1   -0.0025  -                candidate_neurons_bf16
L21_N12508      -0.137   89.4   -0.0023  -                candidate_neurons_bf16
L30_N6621       -0.132   87.6   -0.0020  -                candidates_old15
L20_N4769       +0.125   85.8   +0.0022  -                candidate_neurons
L29_N8335       -0.124   85.4   -0.0019  -                candidate_neurons_bf16
L21_N5870       +0.122   85.0   +0.0020  -                candidate_neurons_bf16
L20_N2742       +0.118   83.5   +0.0022  -                candidate_neurons
L22_N9335       -0.112   81.5   -0.0018  -                candidate_neurons_bf16
L29_N12010      -0.101   78.8   -0.0022  -                candidate_neurons_bf16
L26_N783        +0.100   78.6   +0.0013  -                candidate_neurons_bf16
L29_N13925      -0.096   76.8   -0.0017  -                candidate_neurons
L24_N3356       +0.095   75.6   +0.0013  -                candidate_neurons_bf16
L25_N5252       +0.093   74.9   +0.0015  -                candidate_neurons_bf16
L26_N2788       -0.092   74.3   -0.0014  -                candidates_old15
L30_N10312      -0.087   71.9   -0.0012  -                candidate_neurons
L21_N5643       +0.086   71.3   +0.0015  -                candidate_neurons_bf16
L29_N13254      +0.078   66.6   +0.0014  -                candidate_neurons_bf16
L20_N10638      +0.076   65.7   +0.0013  -                candidate_neurons_bf16
L29_N7731       -0.072   62.9   -0.0011  -                candidate_neurons_bf16
L28_N11622      +0.070   61.8   +0.0012  -                candidate_neurons
L29_N11308      +0.061   55.6   +0.0012  -                candidates_old15
L20_N1399       +0.049   44.8   +0.0009  -                candidate_neurons
L31_N12032      -0.045   41.9   -0.0008  -                candidate_neurons_bf16
L30_N3533       +0.044   40.8   +0.0007  -                candidates_old15
L23_N12855      +0.038   36.4   +0.0005  -                candidate_neurons
L31_N6772       -0.038   35.7   -0.0006  -                candidate_neurons
L21_N10092      +0.035   34.1   +0.0005  -                candidate_neurons_bf16
L26_N10829      -0.031   30.7   -0.0004  -                candidate_neurons_bf16
L21_N6169       +0.028   29.0   +0.0005  -                candidate_neurons_bf16
L26_N11628      +0.027   27.6   +0.0005  -                candidate_neurons_bf16
L20_N1001       -0.027   27.4   -0.0004  -                candidate_neurons
L29_N987        -0.026   26.8   -0.0004  -                candidate_neurons_bf16
L22_N623        -0.026   26.7   -0.0004  -                candidate_neurons_bf16
L21_N3481       -0.025   26.0   -0.0004  -                candidate_neurons_bf16
L23_N12156      -0.023   23.2   -0.0003  -                candidates_old15
L20_N3833       -0.023   23.1   -0.0004  -                candidate_neurons_bf16
L31_N3300       +0.021   22.2   +0.0002  -                candidate_neurons_bf16
L20_N5554       -0.019   20.2   -0.0004  -                candidate_neurons_bf16
L20_N10757      +0.018   18.9   +0.0003  -                candidate_neurons_bf16
L21_N9298       +0.012   12.3   +0.0002  -                candidate_neurons_bf16
L24_N7717       -0.009    9.6   -0.0002  -                candidate_neurons_bf16
L30_N13513      -0.008    8.7   -0.0001  -                candidates_old15
L20_N12894      -0.008    7.7   -0.0001  -                candidate_neurons
L31_N271        -0.007    7.2   -0.0001  -                candidate_neurons_bf16
L27_N10181      +0.005    5.5   +0.0001  -                candidate_neurons_bf16
L30_N236        -0.002    2.0   -0.0000  -                candidate_neurons_bf16
