pair,layer,positions,rec
0,0,last,0.009688565986202687
0,0,all,0.009202259716737878
0,1,last,-0.009575822244563971
0,1,all,-0.009091903225295782
0,2,last,-0.018953970811082483
0,2,all,-0.009304677431055536
0,3,last,-0.009489703363941657
0,3,all,-0.009219270044609467
0,4,last,0.00016622750780843795
0,4,all,-0.01979089392118942
0,5,last,-0.00018775020663990894
0,5,all,-0.028938228159874128
0,6,last,-0.00021409421469200087
0,6,all,-0.04667919501811029
0,7,last,0.009724018992063835
0,7,all,-0.02733524114255517
0,8,last,-0.018807140881342253
0,8,all,-0.03886522895100884
0,9,last,-0.018464500264886472
0,9,all,0.02774584817637349
0,10,last,0.057864351556986576
0,10,all,0.05791782596139083
0,11,last,0.01950421793875475
0,11,all,-0.057226553198574025
0,12,last,-0.04643804530118995
0,12,all,-0.01899183915243668
0,13,last,-0.014798226945278674
0,13,all,-0.01964274398251694
0,14,last,-0.04532327435349309
0,14,all,-0.09113874352693599
0,15,last,-0.038178562176806694
0,15,all,-0.2035962585479589
0,16,last,-0.06976216313102898
0,16,all,0.07025786861303263
0,17,last,-0.06788570022059784
0,17,all,0.18582040038979022
0,18,last,0.047724960392476666
0,18,all,0.16571649583987952
0,19,last,-0.18296141083078937
0,19,all,0.1050816702164765
0,20,last,-0.03471058977353131
0,20,all,0.18860500136031133
0,21,last,0.19500975959370087
0,21,all,0.3207660182217965
0,22,last,-0.07141014279323009
0,22,all,0.0056133707505624155
0,23,last,0.029285540297302896
0,23,all,0.048371146892756546
0,24,last,0.20767147250713014
0,24,all,0.2425580166628004
0,25,last,0.18239384443698478
0,25,all,0.19141761273313945
0,26,last,0.20766754056562983
0,26,all,0.21540144481437254
0,27,last,0.17613424973908057
0,27,all,0.17613424973908057
1,0,last,0.010404852971352692
1,0,all,0.03083439724532634
1,1,last,0.01040367399859052
1,1,all,0.030345598941267246
1,2,last,0.00093665582816723
1,2,all,0.01925235898663336
1,3,last,0.010905174783377542
1,3,all,0.04441125741761647
1,4,last,0.00043458457268883354
1,4,all,0.026935819556165055
1,5,last,0.0021397975319650416
1,5,all,-0.09259543684677421
1,6,last,0.009957166588451966
1,6,all,0.02708463634385486
1,7,last,0.010905688206999779
1,7,all,-0.01909576478185115
1,8,last,0.009560347175532101
1,8,all,0.07077220415023894
1,9,last,0.01951760884243263
1,9,all,0.18227378607497396
1,10,last,0.029156281643890402
1,10,all,0.05086835812621143
1,11,last,0.03033069064053267
1,11,all,0.03710550549284361
1,12,last,-0.018477983054472364
1,12,all,-0.11294340381188135
1,13,last,-0.08034811566780069
1,13,all,-0.6921027060980826
1,14,last,-0.02134030073275249
1,14,all,-0.09292708949104944
1,15,last,0.04805699298851587
1,15,all,-0.05282404575038032
1,16,last,-0.021897517488397054
1,16,all,0.45660061497120846
1,17,last,-0.031772479250222
1,17,all,0.4153201387392328
1,18,last,-0.002473751074695474
1,18,all,0.6185179198060065
1,19,last,-0.010789064981993187
1,19,all,0.17610531025875734
1,20,last,-0.09405587984807148
1,20,all,0.0379387349846647
1,21,last,-0.0029747004044808345
1,21,all,0.05651916506746301
1,22,last,0.03624605336490901
1,22,all,0.13554948393034455
1,23,last,-0.002316187069737931
1,23,all,0.04708235332014798
1,24,last,-0.013346827373838362
1,24,all,0.016557512487650975
1,25,last,0.09888628338021303
1,25,all,0.10823647866088774
1,26,last,0.11622805995867548
1,26,all,0.11623115000825376
1,27,last,0.1063295567729865
1,27,all,0.1063295567729865
2,0,last,2.841380525510487e-06
2,0,all,6.89870477590855e-05
2,1,last,-1.4323900649191101e-05
2,1,all,0.017499126672445978
2,2,last,1.6103941978407966e-05
2,2,all,-0.017449954075351555
2,3,last,0.008762232550566148
2,3,all,0.06122891730122702
2,4,last,0.008761739487474957
2,4,all,0.017552318987283846
2,5,last,1.071367598148366e-05
2,5,all,0.0525789568879255
2,6,last,0.008756098511431663
2,6,all,0.035109927956546064
2,7,last,0.008743245443054501
2,7,all,0.017521774146634608
2,8,last,-0.01746575716527432
2,8,all,-0.024973896278897144
2,9,last,-0.01744626863766994
2,9,all,0.05268139283437092
2,10,last,0.026264422064078596
2,10,all,-0.008664397133471585
2,11,last,4.2211214806921965e-05
2,11,all,-0.13555010543485646
2,12,last,0.008746387675635655
2,12,all,-0.08139981079581361
2,13,last,0.017660533800298066
2,13,all,-0.25352038063334087
2,14,last,0.017521548507592875
2,14,all,-0.08755631355045264
2,15,last,-0.00011631274751192633
2,15,all,-0.22436176597248425
2,16,last,-0.0695010284251457
2,16,all,-0.07869247657509484
2,17,last,-0.05250912160450953
2,17,all,-0.0436833257001874
2,18,last,-0.13825068719832634
2,18,all,0.05276140276716868
2,19,last,-0.024919141204770248
2,19,all,0.1661813073380666
2,20,last,-0.3151267251953727
